Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Бичурская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87					
1	"Число избирателей, внесенных в список"	19154	914	897	982	795	701	605	1276	1269	653	238	280	248	736	116	873	133	50	266	333	65	365	375	138	492	254	480	220	134	1434	407	346	470	289	776	213	310	784	237					
2	Число полученных избирательных бюллетеней	19467	926	916	1004	823	708	608	1251	1329	665	249	286	250	759	118	889	133	50	266	342	70	369	392	143	506	257	479	221	139	1457	408	350	476	292	777	224	315	785	235					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10173	437	405	435	338	367	265	583	614	309	110	185	160	376	82	428	101	35	185	190	42	269	236	91	237	147	307	114	102	783	251	175	273	203	464	141	195	343	195					
5	"Число избирательных бюллетеней, выданных вне помещения"	1621	43	41	45	86	45	104	138	75	62	33	11	16	44	7	58	11	4	18	21	9	25	20	10	50	13	49	26	10	93	61	53	85	28	109	44	38	26	10					
6	Число погашенных избирательных бюллетеней	7673	446	470	524	399	296	239	530	640	294	106	90	74	339	29	403	21	11	63	131	19	75	136	42	219	97	123	81	27	581	96	122	118	61	204	39	82	416	30					
7	Число избирательных бюллетеней в переносных ящиках	1621	43	41	45	86	45	104	138	75	62	33	11	16	44	7	58	11	4	18	21	9	25	20	10	50	13	49	26	10	93	61	53	85	28	109	44	38	26	10					
8	Число бюллетеней в стационарных ящиках для голосования	10172	437	405	435	338	367	265	583	614	309	110	185	160	376	82	428	101	35	185	190	42	269	235	91	237	147	307	114	102	783	251	175	273	203	464	141	195	343	195					
9	Число недействительных избирательных бюллетеней	167	5	9	7	11	7	11	7	15	4	0	3	3	7	0	11	0	0	3	9	0	1	5	3	1	3	2	4	1	7	3	1	9	0	8	3	1	3	0					
10	Число действительных избирательных бюллетеней	11626	475	437	473	413	405	358	714	674	367	143	193	173	413	89	475	112	39	200	202	51	293	250	98	286	157	354	136	111	869	309	227	349	231	565	182	232	366	205					
11	Число полученных открепительных  удостоверений	700	30	30	30	30	30	30	40	40	24	10	10	10	20	10	26	10	10	10	15	10	15	15	10	15	10	15	10	10	40	15	15	15	10	30	10	10	20	10					
12	Число выданных открепительных удостоверений	214	6	8	15	6	6	3	16	13	9	7	2	2	14	0	3	0	0	10	3	2	2	11	3	6	1	0	0	2	22	3	0	0	1	9	10	10	1	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	90	6	1	6	0	2	2	15	4	4	1	2	0	1	0	4	2	2	1	1	1	1	1	1	1	2	1	1	1	8	1	4	1	1	6	1	1	1	2					
14	Число неиспользованных открепительных удостоверений	486	24	22	15	24	24	27	24	27	15	3	8	8	6	10	23	10	10	0	12	8	13	4	7	9	9	15	10	8	18	12	15	15	9	21	0	0	19	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	253	8	10	13	10	7	14	19	17	6	3	4	6	6	2	9	4	0	1	1	0	2	1	0	6	2	8	5	3	26	4	4	12	6	10	0	1	20	3					
		2.15%	1.67%	2.24%	2.71%	2.36%	1.70%	3.79%	2.64%	2.47%	1.62%	2.10%	2.04%	3.41%	1.43%	2.25%	1.85%	3.57%	0.00%	0.49%	0.47%	0.00%	0.68%	0.39%	0.00%	2.09%	1.25%	2.25%	3.57%	2.68%	2.97%	1.28%	1.75%	3.35%	2.60%	1.75%	0.00%	0.43%	5.42%	1.46%					
19	. Малышкин Олег Александрович	249	8	13	7	12	9	16	10	10	10	2	3	5	7	0	17	3	0	5	14	2	3	7	1	2	18	11	3	1	14	4	3	4	8	4	3	0	9	1					
		2.11%	1.67%	2.91%	1.46%	2.83%	2.18%	4.34%	1.39%	1.45%	2.70%	1.40%	1.53%	2.84%	1.67%	0.00%	3.50%	2.68%	0.00%	2.46%	6.64%	3.92%	1.02%	2.75%	0.99%	0.70%	11.25%	3.09%	2.14%	0.89%	1.60%	1.28%	1.32%	1.12%	3.46%	0.70%	1.62%	0.00%	2.44%	0.49%					
20	. Миронов Сергей Михайлович	104	5	3	6	5	2	5	7	4	4	1	2	4	1	0	0	0	0	1	4	0	2	4	0	7	1	3	1	0	8	3	5	0	0	9	1	0	6	0					
		0.88%	1.04%	0.67%	1.25%	1.18%	0.49%	1.36%	0.97%	0.58%	1.08%	0.70%	1.02%	2.27%	0.24%	0.00%	0.00%	0.00%	0.00%	0.49%	1.90%	0.00%	0.68%	1.57%	0.00%	2.44%	0.62%	0.84%	0.71%	0.00%	0.91%	0.96%	2.19%	0.00%	0.00%	1.57%	0.54%	0.00%	1.63%	0.00%					
21	. Путин Владимир Владимирович	6593	283	243	272	211	186	191	423	336	220	65	137	105	236	51	203	83	27	108	100	44	163	168	56	136	66	179	89	71	538	121	128	204	143	297	107	196	230	177					
		55.91%	58.96%	54.48%	56.67%	49.76%	45.15%	51.76%	58.67%	48.77%	59.30%	45.45%	69.90%	59.66%	56.19%	57.30%	41.77%	74.11%	69.23%	53.20%	47.39%	86.27%	55.44%	65.88%	55.45%	47.39%	41.25%	50.28%	63.57%	63.39%	61.42%	38.78%	56.14%	56.98%	61.90%	51.83%	57.84%	84.12%	62.33%	86.34%					
