Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Ононская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726					
1	"Число избирателей, внесенных в список"	9022	2415	675	388	327	49	129	679	129	383	111	407	59	568	239	607	566	291	328	96	454	122					
2	Число полученных избирательных бюллетеней	8393	2200	650	360	300	50	124	630	131	350	107	390	63	520	230	560	530	260	300	95	420	123					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5228	1336	365	241	197	29	78	350	84	194	65	267	45	295	116	375	311	178	214	64	320	104					
5	"Число избирательных бюллетеней, выданных вне помещения"	826	50	69	63	36	9	17	46	20	23	11	27	3	70	43	127	92	29	14	22	42	13					
6	Число погашенных избирательных бюллетеней	2339	814	216	56	67	12	29	234	27	133	31	96	15	155	71	58	127	53	72	9	58	6					
7	Число избирательных бюллетеней в переносных ящиках	826	50	69	63	36	9	17	46	20	23	11	27	3	70	43	127	92	29	14	22	42	13					
8	Число бюллетеней в стационарных ящиках для голосования	5228	1336	365	241	197	29	78	350	84	194	65	267	45	295	116	375	311	178	214	64	320	104					
9	Число недействительных избирательных бюллетеней	57	13	3	1	5	0	0	6	1	2	2	1	0	4	3	1	3	2	3	0	6	1					
10	Число действительных избирательных бюллетеней	5997	1373	431	303	228	38	95	390	103	215	74	293	48	361	156	501	400	205	225	86	356	116					
11	Число полученных открепительных  удостоверений	146	18	8	4	8	4	4	8	4	8	4	8	4	8	8	8	8	8	8	4	8	4					
12	Число выданных открепительных удостоверений	46	13	8	1	0	0	1	5	0	0	0	2	0	2	2	5	1	1	3	1	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	24	6	1	1	0	1	0	3	0	1	1	0	1	4	0	0	2	0	0	1	2	0					
14	Число неиспользованных открепительных удостоверений	100	5	0	3	8	4	3	3	4	8	4	6	4	6	6	3	7	7	5	3	7	4					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	91	24	15	5	2	0	1	5	1	5	0	8	0	2	2	4	1	1	6	1	8	0					
		1.50%	1.73%	3.46%	1.64%	0.86%	0.00%	1.05%	1.26%	0.96%	2.30%	0.00%	2.72%	0.00%	0.55%	1.26%	0.80%	0.25%	0.48%	2.63%	1.16%	2.21%	0.00%					
19	. Малышкин Олег Александрович	95	21	4	6	1	3	0	9	3	11	1	7	0	3	2	3	10	3	6	1	1	0					
		1.57%	1.52%	0.92%	1.97%	0.43%	7.89%	0.00%	2.27%	2.88%	5.07%	1.32%	2.38%	0.00%	0.82%	1.26%	0.60%	2.48%	1.45%	2.63%	1.16%	0.28%	0.00%					
20	. Миронов Сергей Михайлович	29	9	1	0	0	0	0	1	1	1	0	1	0	1	2	2	2	1	1	0	5	1					
		0.48%	0.65%	0.23%	0.00%	0.00%	0.00%	0.00%	0.25%	0.96%	0.46%	0.00%	0.34%	0.00%	0.27%	1.26%	0.40%	0.50%	0.48%	0.44%	0.00%	1.38%	0.85%					
21	. Путин Владимир Владимирович	4875	1127	349	252	189	34	92	300	88	154	61	209	41	332	146	421	336	132	151	76	287	98					
		80.53%	81.31%	80.41%	82.89%	81.12%	89.47%	96.84%	75.76%	84.62%	70.97%	80.26%	71.09%	85.42%	90.96%	91.82%	83.86%	83.37%	63.77%	66.23%	88.37%	79.28%	83.76%					
22	. Хакамада Ирина Муцуовна	85	22	7	3	4	0	1	4	0	4	0	2	0	1	1	15	11	1	5	1	3	0					
		1.40%	1.59%	1.61%	0.99%	1.72%	0.00%	1.05%	1.01%	0.00%	1.84%	0.00%	0.68%	0.00%	0.27%	0.63%	2.99%	2.73%	0.48%	2.19%	1.16%	0.83%	0.00%					
23	. Харитонов Николай Михайлович	764	155	52	28	32	1	1	64	9	40	10	61	6	20	3	52	34	66	54	7	52	17					
		12.62%	11.18%	11.98%	9.21%	13.73%	2.63%	1.05%	16.16%	8.65%	18.43%	13.16%	20.75%	12.50%	5.48%	1.89%	10.36%	8.44%	31.88%	23.68%	8.14%	14.36%	14.53%					
																												
24	Против всех	58	15	3	9	0	0	0	7	1	0	2	5	1	2	0	4	6	1	2	0	0	0					
		0.96%	1.08%	0.69%	2.96%	0.00%	0.00%	0.00%	1.77%	0.96%	0.00%	2.63%	1.70%	2.08%	0.55%	0.00%	0.80%	1.49%	0.48%	0.88%	0.00%	0.00%	0.00%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
