Выборы Президента Российской Федерации																																																												
																																																												
Наименование Избирательной комиссии:    Куюргазинская																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854	УИК №2855	УИК №2856	УИК №2857	УИК №2858	УИК №2859	УИК №2860	УИК №2861	УИК №2862	УИК №2863	УИК №2864	УИК №2865	УИК №2866	УИК №2867	УИК №2868	УИК №2869	УИК №2870	УИК №2871	УИК №2872	УИК №2873	УИК №2874	УИК №2875	УИК №2876	УИК №2877	УИК №2878	УИК №2879	УИК №2880	УИК №2881					
1	"Число избирателей, внесенных в список"	17728	848	892	932	1008	842	951	142	131	128	366	119	275	247	379	233	619	54	280	498	203	187	220	321	111	481	106	111	170	412	111	255	140	449	244	117	612	181	120	432	110	148	202	162	903	256	84	230	106	336	663	186	263	152					
2	Число полученных избирательных бюллетеней	17802	862	887	934	1007	813	953	144	131	127	365	116	270	244	382	239	615	60	285	510	204	196	220	329	113	482	105	113	170	425	100	247	148	433	259	116	618	188	123	437	110	148	200	161	904	258	81	242	111	343	660	189	266	159					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16334	756	827	787	924	756	897	140	114	127	357	114	270	236	351	230	606	53	276	477	193	187	211	300	111	424	100	101	128	340	96	204	104	399	223	116	540	181	107	373	108	133	192	161	833	254	79	221	104	307	633	186	240	147					
5	"Число избирательных бюллетеней, выданных вне помещения"	937	90	48	60	64	4	30	2	9	0	6	0	0	7	28	3	4	0	4	21	6	0	9	21	0	38	4	10	34	57	4	24	34	34	13	0	69	0	11	59	0	11	6	0	25	0	0	9	0	26	27	0	21	5					
6	Число погашенных избирательных бюллетеней	531	16	12	87	19	53	26	2	8	0	2	2	0	1	3	6	5	7	5	12	5	9	0	8	2	20	1	2	8	28	0	19	10	0	23	0	9	7	5	5	2	4	2	0	46	4	2	12	7	10	0	3	5	7					
7	Число избирательных бюллетеней в переносных ящиках	937	90	48	60	64	4	30	2	9	0	6	0	0	7	28	3	4	0	4	21	6	0	9	21	0	38	4	10	34	57	4	24	34	34	13	0	69	0	11	59	0	11	6	0	25	0	0	9	0	26	27	0	21	5					
8	Число бюллетеней в стационарных ящиках для голосования	16334	756	827	787	924	756	897	140	114	127	357	114	270	236	351	230	606	53	276	477	193	187	211	300	111	424	100	101	128	340	96	204	104	399	223	116	540	181	107	373	108	133	192	161	833	254	79	221	104	307	633	186	240	147					
9	Число недействительных избирательных бюллетеней	31	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	13	0	0	1	0	0	1	0	0	2	0	0	2					
10	Число действительных избирательных бюллетеней	17240	846	875	844	988	757	927	142	123	127	363	114	270	243	379	233	609	53	280	498	198	187	220	321	111	462	104	111	161	397	100	225	138	433	236	116	609	181	118	432	108	131	198	161	857	254	79	229	104	333	658	186	261	150					
11	Число полученных открепительных  удостоверений	250	15	15	14	10	20	4	3	5	3	2	3	4	3	3	3	10	2	3	4	3	3	3	3	3	3	2	2	3	4	3	3	2	3	4	2	10	4	5	4	3	3	3	5	6	3	3	3	8	4	3	3	4	4					
12	Число выданных открепительных удостоверений	93	1	4	14	7	17	4	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	3	0	0	2	2	3	0	7	0	0	4	0	0	1	0	2	2	1	1	3	4	3	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	146	1	8	2	4	34	7	2	1	1	2	1	1	0	3	0	3	0	8	3	1	1	2	3	2	3	2	0	1	3	10	2	1	4	2	0	4	0	0	2	1	2	3	0	3	1	2	3	1	1	2	0	1	2					
14	Число неиспользованных открепительных удостоверений	157	14	11	0	3	3	0	2	5	3	2	3	3	3	3	2	10	2	3	3	3	3	3	3	2	2	2	2	2	1	3	3	0	1	1	2	3	4	5	0	3	3	2	5	4	1	2	2	5	0	0	3	4	3					
