Выборы Президента Российской Федерации												
												
Наименование Избирательной комиссии:    Колтушская												
												
Итоги голосования 												
												
		Сумма	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228					
1	"Число избирателей, внесенных в список"	7330	2092	1955	2022	926	335					
2	Число полученных избирательных бюллетеней	6400	1800	1700	1800	800	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3701	1027	972	1101	470	131					
5	"Число избирательных бюллетеней, выданных вне помещения"	201	17	68	26	51	39					
6	Число погашенных избирательных бюллетеней	2498	756	660	673	279	130					
7	Число избирательных бюллетеней в переносных ящиках	201	17	68	26	51	39					
8	Число бюллетеней в стационарных ящиках для голосования	3698	1027	972	1101	467	131					
9	Число недействительных избирательных бюллетеней	17	3	6	5	3	0					
10	Число действительных избирательных бюллетеней	3882	1041	1034	1122	515	170					
11	Число полученных открепительных  удостоверений	109	20	30	30	21	8					
12	Число выданных открепительных удостоверений	64	10	11	28	13	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	37	18	6	5	6	2					
14	Число неиспользованных открепительных удостоверений	45	10	19	2	8	6					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"												
18	. Глазьев Сергей Юрьевич	165	36	33	69	26	1					
		4.23%	3.45%	3.17%	6.12%	5.02%	0.59%					
19	. Малышкин Олег Александрович	43	11	14	9	8	1					
		1.10%	1.05%	1.35%	0.80%	1.54%	0.59%					
20	. Миронов Сергей Михайлович	49	12	19	12	6	0					
		1.26%	1.15%	1.83%	1.06%	1.16%	0.00%					
21	. Путин Владимир Владимирович	2970	804	810	835	377	144					
		76.17%	77.01%	77.88%	74.09%	72.78%	84.71%					
22	. Хакамада Ирина Муцуовна	179	41	24	66	43	5					
		4.59%	3.93%	2.31%	5.86%	8.30%	2.94%					
23	. Харитонов Николай Михайлович	322	93	95	90	33	11					
		8.26%	8.91%	9.13%	7.99%	6.37%	6.47%					
												
24	Против всех	154	44	39	41	22	8					
		3.95%	4.21%	3.75%	3.64%	4.25%	4.71%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
