Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																							
Дата голосования: 04.12.2011																																							
																																							
Наименование Избирательной комиссии:    Урус-Мартановская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296					
1	"Число избирателей, внесенных в список избирателей"	57379	2243	2615	1932	2325	2507	1394	2287	1794	1585	2596	2590	1634	984	2738	1910	877	1376	1271	1276	1287	1015	2196	2010	2228	1153	2398	2311	2471	1214	1144	1168	850					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	57412	2244	2616	1935	2326	2508	1395	2288	1795	1586	2597	2591	1635	985	2739	1911	878	1377	1272	1277	1288	1016	2197	2011	2229	1154	2399	2312	2472	1215	1145	1169	850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	541	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	56375	2232	2579	1785	2312	2485	1380	2271	1780	1570	2573	2572	1620	977	2716	1898	870	1365	1262	1265	1275	1009	2181	1993	2212	1147	2370	2300	2445	1205	1130	1160	436					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	103	0	20	0	4	5	2	3	2	4	5	0	5	0	4	0	0	2	0	3	3	0	0	4	2	0	20	0	15	0	0	0	0					
6	Число погашенных избирательных бюллетеней	393	12	17	18	10	18	13	14	13	12	19	19	10	8	19	13	8	10	10	9	10	7	16	14	15	7	9	12	12	10	15	9	5					
7	Число избирательных бюллетеней в переносных ящиках для голосования	644	0	20	132	4	5	2	3	2	4	5	0	5	0	4	0	0	2	0	3	3	0	0	4	2	0	20	0	15	0	0	0	409					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	56375	2232	2579	1785	2312	2485	1380	2271	1780	1570	2573	2572	1620	977	2716	1898	870	1365	1262	1265	1275	1009	2181	1993	2212	1147	2370	2300	2445	1205	1130	1160	436					
9	Число недействительных избирательных бюллетеней	48	0	4	1	3	5	3	1	2	2	4	2	4	1	2	3	1	1	0	2	1	0	1	3	2	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	56971	2232	2595	1916	2313	2485	1379	2273	1780	1572	2574	2570	1621	976	2718	1895	869	1366	1262	1266	1277	1009	2180	1994	2212	1147	2390	2300	2460	1205	1130	1160	845					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	199	6	7	6	7	7	6	6	5	5	7	7	5	5	7	6	5	6	6	6	6	6	6	6	6	5	7	6	7	5	5	5	14					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	26	1	1	0	2	4	1	0	0	0	0	5	2	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	3	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	173	5	6	6	5	3	5	6	5	5	7	2	3	4	6	5	5	5	6	6	6	6	6	6	5	5	7	5	4	5	5	4	14					
