Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Ровенская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040					
1	"Число избирателей, внесенных в список"	12306	1486	1300	1055	106	330	228	1114	140	555	540	475	211	293	1113	233	862	1082	472	111	503	97					
2	Число полученных избирательных бюллетеней	12500	1490	1280	1075	120	345	245	1115	140	575	535	480	220	295	1145	255	875	1120	475	110	500	105					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8559	861	699	561	91	203	202	833	138	435	432	391	176	244	818	128	567	682	442	102	464	90					
5	"Число избирательных бюллетеней, выданных вне помещения"	949	70	82	79	0	46	12	57	0	38	25	41	7	21	153	14	36	224	14	5	20	5					
6	Число погашенных избирательных бюллетеней	2992	559	499	435	29	96	31	225	2	102	78	48	37	30	174	113	272	214	19	3	16	10					
7	Число избирательных бюллетеней в переносных ящиках	949	70	82	79	0	46	12	57	0	38	25	41	7	21	153	14	36	224	14	5	20	5					
8	Число бюллетеней в стационарных ящиках для голосования	8559	861	699	561	91	203	202	833	138	435	432	391	176	244	818	128	567	682	442	102	464	90					
9	Число недействительных избирательных бюллетеней	110	12	7	1	2	10	3	5	0	8	5	3	0	1	14	1	16	13	2	1	6	0					
10	Число действительных избирательных бюллетеней	9398	919	774	639	89	239	211	885	138	465	452	429	183	264	957	141	587	893	454	106	478	95					
11	Число полученных открепительных  удостоверений	292	40	20	17	10	10	10	25	5	10	10	5	0	10	20	8	15	50	5	2	10	10					
12	Число выданных открепительных удостоверений	217	34	19	13	6	10	1	25	0	8	6	3	0	0	17	5	14	50	0	0	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	66	7	8	13	0	2	0	1	0	0	2	3	0	0	4	0	6	7	5	5	1	2					
14	Число неиспользованных открепительных удостоверений	75	6	1	4	4	0	9	0	5	2	4	2	0	10	3	3	1	0	5	2	4	10					
15	"Число открепительных удостоверений, выданных в ТИК"	8	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	271	42	22	17	1	5	12	31	8	15	15	3	1	11	27	5	20	14	11	2	9	0					
		2.85%	4.51%	2.82%	2.66%	1.10%	2.01%	5.61%	3.48%	5.80%	3.17%	3.28%	0.69%	0.55%	4.15%	2.78%	3.52%	3.32%	1.55%	2.41%	1.87%	1.86%	0.00%					
19	. Малышкин Олег Александрович	202	21	6	9	3	5	8	20	4	18	12	10	0	4	13	2	21	9	26	2	9	0					
		2.12%	2.26%	0.77%	1.41%	3.30%	2.01%	3.74%	2.25%	2.90%	3.81%	2.63%	2.31%	0.00%	1.51%	1.34%	1.41%	3.48%	0.99%	5.70%	1.87%	1.86%	0.00%					
20	. Миронов Сергей Михайлович	71	10	5	5	0	1	2	10	0	6	1	3	1	4	6	2	2	5	3	0	5	0					
		0.75%	1.07%	0.64%	0.78%	0.00%	0.40%	0.93%	1.12%	0.00%	1.27%	0.22%	0.69%	0.55%	1.51%	0.62%	1.41%	0.33%	0.55%	0.66%	0.00%	1.03%	0.00%					
21	. Путин Владимир Владимирович	6369	623	492	435	74	176	138	577	113	277	324	317	143	194	681	87	423	571	292	63	300	69					
		66.99%	66.92%	63.00%	67.97%	81.32%	70.68%	64.49%	64.83%	81.88%	58.56%	70.90%	73.38%	78.14%	73.21%	70.13%	61.27%	70.15%	63.02%	64.04%	58.88%	61.98%	72.63%					
22	. Хакамада Ирина Муцуовна	203	21	17	17	2	5	5	17	0	8	9	10	8	8	13	5	10	21	6	1	18	2					
		2.14%	2.26%	2.18%	2.66%	2.20%	2.01%	2.34%	1.91%	0.00%	1.69%	1.97%	2.31%	4.37%	3.02%	1.34%	3.52%	1.66%	2.32%	1.32%	0.93%	3.72%	2.11%					
23	. Харитонов Николай Михайлович	1969	160	196	131	8	42	40	203	12	117	66	78	24	38	185	38	104	245	104	33	124	21					
		20.71%	17.19%	25.10%	20.47%	8.79%	16.87%	18.69%	22.81%	8.70%	24.74%	14.44%	18.06%	13.11%	14.34%	19.05%	26.76%	17.25%	27.04%	22.81%	30.84%	25.62%	22.11%					
																												
24	Против всех	313	42	36	25	1	5	6	27	1	24	25	8	6	5	32	2	7	28	12	5	13	3					
		3.29%	4.51%	4.61%	3.91%	1.10%	2.01%	2.80%	3.03%	0.72%	5.07%	5.47%	1.85%	3.28%	1.89%	3.30%	1.41%	1.16%	3.09%	2.63%	4.67%	2.69%	3.16%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
