Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Медногорская городская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743					
1	"Число избирателей, внесенных в список"	26183	2001	1808	1922	1551	840	1561	1993	1570	1281	1338	1754	935	936	1100	1383	1003	1581	775	311	200	169	171					
2	Число полученных избирательных бюллетеней	26220	2040	1840	1800	1540	840	1560	2000	1580	1300	1370	1740	930	940	1100	1430	1020	1540	790	310	200	170	180					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14646	1111	1050	972	921	488	954	1172	806	699	821	911	497	557	576	805	440	780	465	216	157	147	101					
5	"Число избирательных бюллетеней, выданных вне помещения"	1000	32	27	207	67	20	42	61	70	22	41	53	34	59	45	67	21	50	25	12	16	8	21					
6	Число погашенных избирательных бюллетеней	10574	897	763	621	552	332	564	767	704	579	508	776	399	324	479	558	559	710	300	82	27	15	58					
7	Число избирательных бюллетеней в переносных ящиках	1000	32	27	207	67	20	42	61	70	22	41	53	34	59	45	67	21	50	25	12	16	8	21					
8	Число бюллетеней в стационарных ящиках для голосования	14646	1111	1050	972	921	488	954	1172	806	699	821	911	497	557	576	805	440	780	465	216	157	147	101					
9	Число недействительных избирательных бюллетеней	155	10	10	8	10	6	7	13	9	11	9	13	8	5	3	13	6	3	7	0	2	2	0					
10	Число действительных избирательных бюллетеней	15491	1133	1067	1171	978	502	989	1220	867	710	853	951	523	611	618	859	455	827	483	228	171	153	122					
11	Число полученных открепительных  удостоверений	498	40	35	50	25	15	30	48	30	20	20	25	20	20	20	20	20	30	10	5	5	5	5					
12	Число выданных открепительных удостоверений	111	17	9	6	7	1	11	12	10	8	1	5	2	1	4	1	3	4	4	0	5	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	37	2	2	3	3	0	3	1	2	2	4	3	1	0	0	2	0	3	0	3	3	0	0					
14	Число неиспользованных открепительных удостоверений	387	23	26	44	18	14	19	36	20	12	19	20	18	19	16	19	17	26	6	5	0	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	665	51	53	41	49	32	50	54	24	31	63	42	16	27	16	43	8	32	19	12	2	0	0					
		4.25%	4.46%	4.92%	3.48%	4.96%	6.30%	5.02%	4.38%	2.74%	4.30%	7.31%	4.36%	3.01%	4.38%	2.58%	4.93%	1.74%	3.86%	3.88%	5.26%	1.16%	0.00%	0.00%					
19	. Малышкин Олег Александрович	571	43	34	32	23	16	25	41	43	31	18	47	28	28	24	26	34	45	22	5	4	2	0					
		3.65%	3.76%	3.16%	2.71%	2.33%	3.15%	2.51%	3.33%	4.91%	4.30%	2.09%	4.88%	5.27%	4.55%	3.86%	2.98%	7.38%	5.42%	4.49%	2.19%	2.31%	1.29%	0.00%					
20	. Миронов Сергей Михайлович	163	11	14	17	11	3	9	7	16	7	8	11	3	8	11	11	4	4	4	0	3	0	1					
		1.04%	0.96%	1.30%	1.44%	1.11%	0.59%	0.90%	0.57%	1.83%	0.97%	0.93%	1.14%	0.56%	1.30%	1.77%	1.26%	0.87%	0.48%	0.82%	0.00%	1.73%	0.00%	0.82%					
21	. Путин Владимир Владимирович	7480	550	504	577	449	269	522	642	437	346	380	471	230	296	264	329	208	403	224	119	82	85	93					
		47.81%	48.12%	46.80%	48.94%	45.45%	52.95%	52.41%	52.07%	49.89%	47.99%	44.08%	48.86%	43.31%	48.05%	42.51%	37.73%	45.12%	48.55%	45.71%	52.19%	47.40%	54.84%	76.23%					
22	. Хакамада Ирина Муцуовна	332	26	27	28	18	10	30	35	18	11	12	16	9	5	15	21	10	11	11	7	10	1	1					
		2.12%	2.27%	2.51%	2.37%	1.82%	1.97%	3.01%	2.84%	2.05%	1.53%	1.39%	1.66%	1.69%	0.81%	2.42%	2.41%	2.17%	1.33%	2.24%	3.07%	5.78%	0.65%	0.82%					
23	. Харитонов Николай Михайлович	5800	403	400	438	400	158	324	411	308	253	344	338	216	230	263	401	181	308	185	83	66	64	26					
		37.07%	35.26%	37.14%	37.15%	40.49%	31.10%	32.53%	33.33%	35.16%	35.09%	39.91%	35.06%	40.68%	37.34%	42.35%	45.99%	39.26%	37.11%	37.76%	36.40%	38.15%	41.29%	21.31%					
																													
24	Против всех	480	49	35	38	28	14	29	30	21	31	28	26	21	17	25	28	10	24	18	2	4	1	1					
		3.07%	4.29%	3.25%	3.22%	2.83%	2.76%	2.91%	2.43%	2.40%	4.30%	3.25%	2.70%	3.95%	2.76%	4.03%	3.21%	2.17%	2.89%	3.67%	0.88%	2.31%	0.65%	0.82%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
