Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Братская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196					
1	"Число избирателей, внесенных в список"	46502	908	318	71	241	149	586	2136	115	58	901	1753	193	232	343	469	2374	241	340	412	970	292	1537	571	734	699	933	421	1518	404	293	1384	495	251	681	256	209	561	96	534	519	59	562	636	327	300	98	1399	305	2126	1372	2093	430	2507	2896	2263	2344	1587					
2	Число полученных избирательных бюллетеней	46215	909	294	71	236	149	581	2142	117	60	908	1789	190	232	341	467	2324	238	347	403	943	307	1592	567	716	694	936	423	1508	396	293	1378	497	240	680	253	207	555	104	532	527	61	550	631	322	298	103	1382	298	2151	1353	2071	392	2458	2884	2226	2321	1568					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	24555	449	167	42	145	99	375	1092	86	45	526	940	118	131	213	300	989	166	221	218	586	187	847	422	413	388	459	214	768	214	238	634	311	145	335	142	142	307	71	294	335	42	328	410	207	244	78	668	204	1097	596	1020	208	1149	1411	973	1312	834					
5	"Число избирательных бюллетеней, выданных вне помещения"	1266	25	28	0	30	12	35	21	0	0	43	80	17	8	12	11	53	0	15	20	0	6	53	11	14	34	28	11	47	0	0	21	0	0	40	0	0	48	0	5	14	0	0	0	0	0	0	28	9	62	44	64	51	80	62	49	43	32					
6	Число погашенных избирательных бюллетеней	20394	435	99	29	61	38	171	1029	31	15	339	769	55	93	116	156	1282	72	111	165	357	114	692	134	289	272	449	198	693	182	55	723	186	95	305	111	65	200	33	233	178	19	222	221	115	54	25	686	85	992	713	987	133	1229	1411	1204	966	702					
7	Число избирательных бюллетеней в переносных ящиках	1266	25	28	0	30	12	35	21	0	0	43	80	17	8	12	11	53	0	15	20	0	6	53	11	14	34	28	11	47	0	0	21	0	0	40	0	0	48	0	5	14	0	0	0	0	0	0	28	9	62	44	64	51	80	62	49	43	32					
8	Число бюллетеней в стационарных ящиках для голосования	24551	449	167	42	145	99	375	1092	86	45	526	940	118	131	213	300	988	166	221	218	586	187	847	422	413	388	459	214	768	214	238	634	311	145	335	142	142	306	71	294	335	42	328	410	207	244	78	668	204	1097	594	1020	208	1149	1411	973	1312	834					
9	Число недействительных избирательных бюллетеней	231	6	6	1	4	1	2	5	0	0	6	7	0	2	4	4	6	2	2	1	11	0	8	5	6	3	7	1	7	2	0	1	3	0	5	0	1	0	3	7	6	0	6	4	1	4	2	8	3	2	6	13	2	6	9	14	10	6					
10	Число действительных избирательных бюллетеней	25586	468	189	41	171	110	408	1108	86	45	563	1013	135	137	221	307	1035	164	234	237	575	193	892	428	421	419	480	224	808	212	238	654	308	145	370	142	141	354	68	292	343	42	322	406	206	240	76	688	210	1157	632	1071	257	1223	1464	1008	1345	860					
11	Число полученных открепительных  удостоверений	499	7	3	2	3	2	7	15	2	2	13	20	3	3	4	5	15	3	4	4	15	3	15	5	10	8	10	5	10	5	8	15	5	3	10	3	4	7	3	7	6	2	7	7	4	6	3	15	3	20	14	22	5	25	30	25	25	12					
12	Число выданных открепительных удостоверений	151	3	1	0	0	0	5	6	0	0	10	6	0	1	3	5	9	0	1	0	1	0	2	4	0	4	4	0	3	0	4	7	5	0	2	0	0	4	0	0	6	0	0	0	0	3	0	3	3	6	4	8	1	5	7	1	9	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	134	2	2	0	0	2	1	8	0	0	2	9	0	1	2	1	9	0	1	0	5	1	9	0	3	9	5	1	3	0	1	3	1	5	1	0	2	3	1	2	1	0	1	0	0	0	0	2	2	5	1	8	0	1	4	7	3	4					
14	Число неиспользованных открепительных удостоверений	348	4	2	2	3	2	2	9	2	2	3	14	3	2	1	0	6	3	3	4	14	3	13	1	10	4	6	5	7	5	4	8	0	3	8	3	4	3	3	7	0	2	7	7	4	3	3	12	0	14	10	14	4	20	23	24	16	7					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																
18	. Глазьев Сергей Юрьевич	859	19	3	0	3	1	22	30	1	2	25	33	2	4	14	4	25	1	14	2	15	1	30	8	7	28	18	6	29	21	8	11	1	2	10	1	4	14	1	10	2	0	6	8	6	4	6	21	5	42	22	44	9	50	57	44	61	42					
