Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Балахтинская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853	УИК  854	УИК  855	УИК  856	УИК  857	УИК  858	УИК  859	УИК  860	УИК  861	УИК  862	УИК  863	УИК  864	УИК  865	УИК  866	УИК  867	УИК  868	УИК  869	УИК  870	УИК  871	УИК  872	УИК  873	УИК  874	УИК  875	УИК  876	УИК  877	УИК  878	УИК  879	УИК  880	УИК  881	УИК  882	УИК  883	УИК  884					
1	"Число избирателей, внесенных в список"	17550	1076	793	1132	660	625	1032	372	134	119	406	180	772	171	154	1116	536	110	90	237	180	548	114	240	329	92	821	156	110	200	464	157	111	1363	193	163	144	574	187	114	163	556	60	627	62	34	73					
2	Число полученных избирательных бюллетеней	17302	1068	779	1109	652	624	1004	335	133	119	402	183	767	167	145	1070	534	107	90	233	183	551	114	231	329	90	822	154	110	196	464	156	110	1350	189	159	140	568	189	111	161	556	58	623	62	33	72					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10243	568	374	540	338	352	444	195	90	105	223	109	419	115	113	643	332	77	76	173	166	327	82	192	231	61	518	113	110	149	279	110	72	624	101	134	118	318	146	92	127	347	54	353	50	26	57					
5	"Число избирательных бюллетеней, выданных вне помещения"	967	53	38	87	31	20	98	73	28	0	9	32	57	13	6	34	51	7	0	7	0	26	12	6	13	0	23	2	0	0	37	13	13	91	12	0	0	36	0	0	0	9	0	30	0	0	0					
6	Число погашенных избирательных бюллетеней	6092	447	367	482	283	252	462	67	15	14	170	42	291	39	26	393	151	23	14	53	17	198	20	33	85	29	281	39	0	47	148	33	25	635	76	25	22	214	43	19	34	200	4	240	12	7	15					
7	Число избирательных бюллетеней в переносных ящиках	967	53	38	87	31	20	98	73	28	0	9	32	57	13	6	34	51	7	0	7	0	26	12	6	13	0	23	2	0	0	37	13	13	91	12	0	0	36	0	0	0	9	0	30	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	10243	568	374	540	338	352	444	195	90	105	223	109	419	115	113	643	332	77	76	173	166	327	82	192	231	61	518	113	110	149	279	110	72	624	101	134	118	318	146	92	127	347	54	353	50	26	57					
9	Число недействительных избирательных бюллетеней	119	2	4	10	4	5	4	1	4	1	3	4	7	1	0	3	3	1	3	2	0	7	0	2	5	3	4	4	0	2	4	0	1	4	2	1	2	2	2	1	2	6	1	1	1	0	0					
10	Число действительных избирательных бюллетеней	11091	619	408	617	365	367	538	267	114	104	229	137	469	127	119	674	380	83	73	178	166	346	94	196	239	58	537	111	110	147	312	123	84	711	111	133	116	352	144	91	125	350	53	382	49	26	57					
11	Число полученных открепительных  удостоверений	185	10	10	10	10	10	10	4	2	2	4	2	5	2	2	15	5	2	1	2	2	5	2	2	4	2	6	2	2	2	5	2	2	8	2	2	2	5	2	2	2	5	1	5	1	1	1					
12	Число выданных открепительных удостоверений	45	7	3	8	5	1	0	0	0	0	0	0	2	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	71	2	4	3	0	0	1	0	0	0	1	0	0	1	1	34	0	1	2	1	0	1	0	1	0	2	0	1	0	0	0	0	1	0	2	3	1	1	0	1	1	0	2	1	0	2	0					
14	Число неиспользованных открепительных удостоверений	140	3	7	2	5	9	10	4	2	2	4	2	3	2	2	6	5	2	1	2	2	4	2	2	4	2	6	2	2	2	5	2	2	0	2	2	2	5	2	2	2	4	1	5	1	1	1					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
