Выборы Президента Российской Федерации																																											
																																											
"Наименование Избирательной комиссии:    Тула, Зареченская"																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596					
1	"Число избирателей, внесенных в список"	81541	2028	145	2605	2594	2037	2128	2041	1985	2657	2398	2361	3011	2207	2063	2178	2428	2445	2283	2639	2395	2567	2800	2143	2298	2078	2257	2297	2325	2430	2040	2663	2494	2632	2272	2084	1533					
2	Число полученных избирательных бюллетеней	82059	2000	200	2645	2628	2053	2154	2070	1990	2726	2435	2361	2891	2207	2074	2098	2449	2454	2280	2667	2417	2633	2835	2167	2310	2084	2272	2292	2359	2481	2062	2700	2567	2668	2303	2041	1486					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	41149	1146	145	1272	1273	874	879	1118	1100	1336	1099	1218	1999	1173	1036	1152	1161	1198	1284	1292	1128	1307	1452	1092	1152	1091	1216	1094	1229	1134	1059	1358	1144	1350	1059	906	623					
5	"Число избирательных бюллетеней, выданных вне помещения"	2246	112	0	26	49	58	116	31	45	50	71	34	38	37	82	102	68	73	49	54	97	65	50	54	112	43	22	30	32	52	39	47	80	40	82	159	147					
6	Число погашенных избирательных бюллетеней	38664	742	55	1347	1306	1121	1159	921	845	1340	1265	1109	854	997	956	844	1220	1183	947	1321	1192	1261	1333	1021	1046	950	1034	1168	1098	1295	964	1295	1343	1278	1162	976	716					
7	Число избирательных бюллетеней в переносных ящиках	2246	112	0	26	49	58	116	31	45	50	71	34	38	37	82	102	68	73	49	54	97	65	50	54	112	43	22	30	32	52	39	47	80	40	82	159	147					
8	Число бюллетеней в стационарных ящиках для голосования	41086	1146	145	1272	1273	870	879	1117	1100	1336	1099	1218	1999	1136	1036	1152	1161	1198	1284	1292	1128	1302	1452	1092	1149	1088	1216	1094	1229	1131	1056	1358	1143	1348	1059	905	623					
9	Число недействительных избирательных бюллетеней	276	13	0	7	3	3	7	4	9	7	5	8	5	38	1	14	4	7	10	11	5	9	17	4	6	3	7	10	4	3	7	11	6	3	6	9	10					
10	Число действительных избирательных бюллетеней	43056	1245	145	1291	1319	925	988	1144	1136	1379	1165	1244	2032	1135	1117	1240	1225	1264	1323	1335	1220	1358	1485	1142	1255	1128	1231	1114	1257	1180	1088	1394	1217	1385	1135	1055	760					
