18	Сурайкин Максим Александрович	502	1	6	3	2	10	8	10	3	2	36	6	4	4	3	10	9	7	4	5	4	10	4	6	6	8	4	6	5	8	8	10	7	4	1	8	12	9	1	2	9	2	3	4	1	31	0	0	3	1	1	9	3	4	3	7	5	1	2	2	4	3	21	4	3	6	2	1	5	6	2	4	2	4	6	3	4	7	16	7	4	7	5	5	3	3	6	6	5	0	0	1									
		0.72%	0.29%	0.69%	0.60%	0.31%	1.24%	0.92%	1.01%	0.39%	0.36%	2.97%	0.84%	0.44%	0.50%	0.33%	1.25%	1.01%	1.02%	0.55%	0.68%	0.56%	1.21%	0.62%	0.78%	0.81%	0.91%	0.53%	0.86%	0.73%	1.07%	0.49%	1.36%	0.75%	0.54%	0.14%	0.95%	1.79%	0.76%	0.13%	0.28%	1.03%	0.24%	0.44%	0.40%	0.20%	2.84%	0.00%	0.00%	0.61%	0.24%	0.15%	1.79%	0.59%	0.57%	0.47%	1.17%	0.95%	0.13%	0.09%	0.27%	0.53%	0.45%	2.11%	0.55%	0.41%	0.84%	0.44%	0.11%	0.51%	0.70%	0.21%	0.39%	0.54%	0.54%	0.66%	0.29%	0.96%	1.00%	2.48%	0.46%	0.65%	1.26%	0.65%	0.73%	0.60%	0.55%	0.74%	0.93%	0.74%	0.00%	0.00%	0.10%									
19	Титов Борис Юрьевич	571	6	8	4	7	5	7	10	5	1	40	5	13	6	9	5	8	5	1	11	5	9	5	8	8	5	6	3	7	5	13	2	11	4	2	6	7	10	5	6	5	4	3	0	3	23	3	1	7	4	4	3	2	4	3	4	3	2	0	5	5	3	2	5	7	11	4	5	12	10	8	11	5	8	6	1	3	1	4	11	5	6	4	13	3	5	12	3	4	10	5	13									
		0.82%	1.72%	0.92%	0.81%	1.10%	0.62%	0.80%	1.01%	0.66%	0.18%	3.29%	0.70%	1.42%	0.75%	1.00%	0.62%	0.90%	0.73%	0.14%	1.50%	0.69%	1.09%	0.78%	1.03%	1.08%	0.57%	0.79%	0.43%	1.02%	0.67%	0.80%	0.27%	1.17%	0.54%	0.28%	0.72%	1.04%	0.85%	0.63%	0.83%	0.57%	0.48%	0.44%	0.00%	0.60%	2.11%	0.54%	0.22%	1.43%	0.95%	0.59%	0.60%	0.39%	0.57%	0.47%	0.67%	0.57%	0.26%	0.00%	0.66%	0.66%	0.45%	0.20%	0.69%	0.95%	1.55%	0.88%	0.54%	1.22%	1.16%	0.86%	1.09%	1.36%	1.08%	0.66%	0.10%	0.72%	0.14%	0.62%	0.73%	0.81%	1.08%	0.52%	1.89%	0.60%	0.92%	1.49%	0.47%	0.59%	1.64%	1.21%	1.24%									
20	Явлинский Григорий Алексеевич	612	8	8	3	5	10	10	9	6	5	8	5	7	9	3	5	10	11	10	10	4	6	7	11	18	9	0	6	6	7	19	3	7	5	5	6	4	7	6	6	9	6	6	3	4	67	2	1	4	4	9	3	8	4	5	4	4	5	5	1	0	8	2	4	7	7	1	7	6	9	4	8	1	1	15	2	6	6	6	13	4	7	6	4	6	3	6	5	4	2	0	14									
		0.88%	2.29%	0.92%	0.60%	0.79%	1.24%	1.15%	0.91%	0.79%	0.90%	0.66%	0.70%	0.77%	1.12%	0.33%	0.62%	1.12%	1.60%	1.36%	1.36%	0.56%	0.73%	1.09%	1.42%	2.44%	1.02%	0.00%	0.86%	0.87%	0.93%	1.17%	0.41%	0.75%	0.67%	0.71%	0.72%	0.60%	0.59%	0.75%	0.83%	1.03%	0.73%	0.87%	0.30%	0.80%	6.15%	0.36%	0.22%	0.82%	0.95%	1.32%	0.60%	1.57%	0.57%	0.79%	0.67%	0.76%	0.64%	0.23%	0.13%	0.00%	1.19%	0.20%	0.55%	0.95%	0.98%	0.22%	0.75%	0.61%	1.05%	0.43%	0.79%	0.27%	0.14%	1.65%	0.19%	1.45%	0.86%	0.93%	0.86%	0.65%	1.26%	0.78%	0.58%	1.20%	0.55%	0.74%	0.78%	0.59%	0.33%	0.00%	1.34%									
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
