Выборы Президента Российской Федерации																																																														
																																																														
Наименование Избирательной комиссии:    Апшеронская																																																														
																																																														
Итоги голосования 																																																														
																																																														
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355					
1	"Число избирателей, внесенных в список"	66823	2633	2751	2728	343	1401	1945	2311	2501	2554	2877	2018	1930	1995	448	1537	1536	1516	2536	2346	2300	237	378	961	950	653	761	219	586	1161	1440	245	1285	156	587	1157	140	398	319	184	1681	58	505	1750	270	78	61	1487	654	820	1020	1852	599	192	1546	2227					
2	Число полученных избирательных бюллетеней	66629	2505	2631	2664	316	1172	1861	2182	2439	2471	2742	1944	1857	1899	431	1622	1535	1635	2537	2293	2249	275	430	998	1056	758	832	234	572	1290	1444	240	1288	166	631	1271	155	410	352	204	1828	75	502	1671	270	73	56	1447	643	801	1012	2050	651	212	1504	2243					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	37640	1386	1408	1230	202	568	1099	1168	1331	1570	1453	1141	1104	1020	246	931	970	865	1343	1348	1246	138	274	536	595	431	630	170	363	669	726	182	711	83	379	786	107	200	237	147	1003	58	280	840	215	60	31	993	415	409	642	1243	390	156	821	1091					
5	"Число избирательных бюллетеней, выданных вне помещения"	3076	42	50	89	14	231	36	79	46	88	92	37	23	82	13	86	85	59	112	109	78	26	19	83	120	78	52	11	36	17	43	6	22	19	21	113	14	68	42	13	155	0	97	76	6	0	5	73	30	69	36	95	43	12	42	83					
6	Число погашенных избирательных бюллетеней	25913	1077	1173	1345	100	373	726	935	1062	813	1197	766	730	797	172	605	480	711	1082	836	925	111	137	379	341	249	150	53	173	604	675	52	555	64	231	372	34	142	73	44	670	17	125	755	49	13	20	381	198	323	334	712	218	44	641	1069					
7	Число избирательных бюллетеней в переносных ящиках	3075	42	50	89	14	231	36	79	46	88	91	37	23	82	13	86	85	59	112	109	78	26	19	83	120	78	52	11	36	17	43	6	22	19	21	113	14	68	42	13	155	0	97	76	6	0	5	73	30	69	36	95	43	12	42	83					
8	Число бюллетеней в стационарных ящиках для голосования	37489	1386	1358	1230	202	568	1099	1168	1331	1570	1453	1141	1104	1020	246	928	893	865	1343	1348	1246	138	274	536	595	431	630	170	363	669	726	182	707	83	379	786	107	200	237	147	1003	58	280	840	215	60	31	993	415	408	642	1243	390	156	820	1076					
9	Число недействительных избирательных бюллетеней	415	17	3	8	0	13	9	5	4	16	19	10	13	15	0	14	8	9	23	23	13	2	5	3	5	5	0	1	3	15	11	4	10	9	4	10	1	4	0	0	16	0	2	6	0	0	0	10	11	13	4	11	11	9	8	0					
10	Число действительных избирательных бюллетеней	40149	1411	1405	1311	216	786	1126	1242	1373	1642	1525	1168	1114	1087	259	1000	970	915	1432	1434	1311	162	288	616	710	504	682	180	396	671	758	184	719	93	396	889	120	264	279	160	1142	58	375	910	221	60	36	1056	434	464	674	1327	422	159	854	1159					
