Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Юргамышская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153					
1	"Число избирателей, внесенных в список"	17967	456	177	510	126	988	94	664	104	711	228	893	64	116	334	660	195	110	632	356	301	384	652	347	240	101	520	161	163	976	1013	872	759	1379	758	650	1139	134					
2	Число полученных избирательных бюллетеней	16361	420	178	462	176	886	96	598	100	640	201	797	66	118	302	654	192	123	576	314	272	345	578	315	223	126	467	160	162	856	880	791	685	1222	671	577	998	134					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9509	279	113	268	126	538	78	341	65	372	111	479	61	101	165	357	135	69	294	143	188	232	326	225	170	97	286	83	98	493	433	395	366	583	312	319	704	104					
5	"Число избирательных бюллетеней, выданных вне помещения"	1451	56	36	43	0	78	9	29	7	69	54	48	0	3	46	33	20	10	77	94	40	62	148	32	18	4	57	64	26	39	47	43	21	33	33	20	41	11					
6	Число погашенных избирательных бюллетеней	5401	85	29	151	50	270	9	228	28	199	36	270	5	14	91	264	37	44	205	77	44	51	104	58	35	25	124	13	38	324	400	353	298	606	326	238	253	19					
7	Число избирательных бюллетеней в переносных ящиках	1451	56	36	43	0	78	9	29	7	69	54	48	0	3	46	33	20	10	77	94	40	62	148	32	18	4	57	64	26	39	47	43	21	33	33	20	41	11					
8	Число бюллетеней в стационарных ящиках для голосования	9508	279	113	268	126	538	78	341	65	372	111	479	61	101	165	357	135	69	294	143	188	232	326	225	170	97	285	83	98	493	433	395	366	583	312	319	704	104					
9	Число недействительных избирательных бюллетеней	82	4	0	1	1	3	0	7	0	3	0	3	0	2	0	3	0	0	3	1	0	0	8	0	0	2	3	1	0	3	0	3	3	7	5	6	10	0					
10	Число действительных избирательных бюллетеней	10877	331	149	310	125	613	87	363	72	438	165	524	61	102	211	387	155	79	368	236	228	294	466	257	188	99	339	146	124	529	480	435	384	609	340	333	735	115					
