Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Кыштымская городская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138					
1	"Число избирателей, внесенных в список"	33994	2623	2760	2632	1495	529	105	256	283	2510	2474	2696	2815	2132	447	2701	2584	2471	1164	1317					
2	Число полученных избирательных бюллетеней	31289	2400	2500	2410	1350	500	99	250	300	2300	2300	2400	2500	2000	480	2500	2400	2300	1100	1200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20792	1532	1845	1505	701	349	67	160	234	1443	1512	1582	1554	1185	330	1754	1864	1694	740	741					
5	"Число избирательных бюллетеней, выданных вне помещения"	1746	99	69	113	131	34	18	46	36	112	115	100	299	116	22	71	71	95	66	133					
6	Число погашенных избирательных бюллетеней	8751	769	586	792	518	117	14	44	30	745	673	718	647	699	128	675	465	511	294	326					
7	Число избирательных бюллетеней в переносных ящиках	1745	99	69	113	131	34	18	46	36	112	115	99	299	116	22	71	71	95	66	133					
8	Число бюллетеней в стационарных ящиках для голосования	20791	1532	1845	1504	701	349	67	160	234	1443	1512	1582	1554	1185	330	1754	1864	1694	740	741					
9	Число недействительных избирательных бюллетеней	227	6	19	10	10	5	1	1	5	15	17	14	30	10	6	14	26	26	10	2					
10	Число действительных избирательных бюллетеней	22309	1625	1895	1607	822	378	84	205	265	1540	1610	1667	1823	1291	346	1811	1909	1763	796	872					
11	Число полученных открепительных  удостоверений	460	30	30	30	25	10	10	20	25	25	25	30	30	25	10	30	30	25	25	25					
12	Число выданных открепительных удостоверений	187	9	13	16	2	8	4	10	25	17	12	10	6	10	7	11	12	5	4	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	215	5	4	3	2	29	8	12	11	6	5	5	11	6	58	4	20	12	6	8					
14	Число неиспользованных открепительных удостоверений	273	21	17	14	23	2	6	10	0	8	13	20	24	15	3	19	18	20	21	19					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	0	2	1	0	0	0	1	1	2	0	1	2	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	883	78	85	66	32	17	0	6	9	47	67	70	69	44	19	61	97	75	12	29					
		3.92%	4.78%	4.44%	4.08%	3.85%	4.44%	0.00%	2.91%	3.33%	3.02%	4.12%	4.16%	3.72%	3.38%	5.40%	3.34%	5.01%	4.19%	1.49%	3.32%					
19	. Малышкин Олег Александрович	1154	95	80	96	50	17	5	3	23	82	79	69	132	47	10	85	88	76	54	63					
		5.12%	5.82%	4.18%	5.94%	6.01%	4.44%	5.88%	1.46%	8.52%	5.27%	4.86%	4.10%	7.12%	3.61%	2.84%	4.66%	4.55%	4.25%	6.70%	7.21%					
20	. Миронов Сергей Михайлович	174	12	25	13	8	3	1	1	2	6	9	10	10	12	5	13	25	10	2	7					
		0.77%	0.74%	1.31%	0.80%	0.96%	0.78%	1.18%	0.49%	0.74%	0.39%	0.55%	0.59%	0.54%	0.92%	1.42%	0.71%	1.29%	0.56%	0.25%	0.80%					
21	. Путин Владимир Владимирович	14213	1029	1176	974	583	286	53	174	155	972	1009	1083	1213	865	235	1163	1171	1107	525	440					
		63.07%	63.09%	61.44%	60.24%	70.07%	74.67%	62.35%	84.47%	57.41%	62.51%	62.02%	64.43%	65.46%	66.49%	66.76%	63.73%	60.52%	61.88%	65.14%	50.34%					
22	. Хакамада Ирина Муцуовна	821	54	77	79	23	8	0	3	5	61	76	56	51	40	15	68	93	70	21	21					
		3.64%	3.31%	4.02%	4.89%	2.76%	2.09%	0.00%	1.46%	1.85%	3.92%	4.67%	3.33%	2.75%	3.07%	4.26%	3.73%	4.81%	3.91%	2.61%	2.40%					
23	. Харитонов Николай Михайлович	3466	218	242	257	97	34	24	14	52	285	241	257	267	196	46	261	279	279	145	272					
		15.38%	13.37%	12.64%	15.89%	11.66%	8.88%	28.24%	6.80%	19.26%	18.33%	14.81%	15.29%	14.41%	15.07%	13.07%	14.30%	14.42%	15.60%	17.99%	31.12%					
																										
24	Против всех	1598	139	210	122	29	13	1	4	19	87	129	122	81	87	16	160	156	146	37	40					
		7.09%	8.52%	10.97%	7.54%	3.49%	3.39%	1.18%	1.94%	7.04%	5.59%	7.93%	7.26%	4.37%	6.69%	4.55%	8.77%	8.06%	8.16%	4.59%	4.58%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
