Выборы Президента Российской Федерации																																																																				
																																																																				
Наименование Избирательной комиссии:    Зеленодольская																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611					
		1.39%	1.53%	3.91%	5.30%	2.95%	1.38%	2.23%	1.44%	0.61%	0.70%	1.21%	0.91%	0.73%	0.87%	0.95%	0.36%	0.54%	0.00%	0.69%	0.73%	1.27%	0.94%	2.05%	1.17%	1.61%	1.66%	1.08%	1.27%	1.94%	2.00%	2.75%	1.38%	2.00%	1.59%	1.46%	1.50%	1.77%	2.38%	0.00%	1.83%	0.00%	0.00%	1.12%	0.33%	0.00%	0.78%	1.09%	0.65%	2.26%	0.73%	0.74%	4.74%	1.78%	0.53%	1.50%	0.00%	0.00%	2.04%	0.82%	0.38%	0.00%	1.28%					
20	. Миронов Сергей Михайлович	342	5	2	7	6	10	2	8	2	5	5	26	2	2	14	0	1	1	4	2	2	13	22	11	14	3	10	6	6	13	9	8	8	1	1	12	11	10	1	2	0	0	3	3	0	7	6	30	0	7	0	5	0	1	0	4	0	2	5	1	0	1					
		0.86%	1.28%	0.87%	2.65%	0.29%	0.81%	0.21%	0.96%	0.41%	1.16%	1.01%	1.57%	0.36%	0.25%	1.02%	0.00%	0.54%	0.55%	0.92%	0.36%	0.51%	0.68%	1.88%	0.76%	1.50%	0.50%	0.98%	0.69%	0.97%	0.96%	1.24%	1.38%	1.07%	0.18%	0.49%	1.20%	0.81%	0.85%	0.85%	0.52%	0.00%	0.00%	0.84%	0.98%	0.00%	0.91%	1.30%	1.62%	0.00%	0.85%	0.00%	1.82%	0.00%	0.53%	0.00%	0.87%	0.00%	2.04%	0.82%	0.38%	0.00%	0.64%					
21	. Путин Владимир Владимирович	32168	293	179	181	1680	1014	767	637	429	378	409	1281	451	669	1137	497	176	161	387	495	353	1547	827	1209	720	468	779	723	469	1007	540	405	574	435	179	757	1126	863	110	348	297	113	314	247	99	657	397	1631	157	640	111	215	147	154	359	390	326	75	554	239	242	144					
		81.31%	74.94%	77.83%	68.56%	82.60%	82.31%	81.51%	76.65%	87.20%	87.70%	82.29%	77.45%	82.30%	83.21%	82.81%	89.23%	94.62%	88.95%	88.97%	90.00%	89.59%	80.95%	70.74%	83.32%	77.25%	77.74%	76.22%	83.20%	75.89%	74.43%	74.38%	69.71%	76.53%	76.99%	86.89%	75.93%	83.10%	73.45%	93.22%	91.10%	98.67%	96.58%	88.20%	80.46%	67.35%	85.66%	86.30%	88.11%	88.70%	78.14%	81.62%	78.47%	86.98%	81.05%	89.97%	84.97%	83.16%	76.53%	90.82%	90.53%	78.83%	92.31%					
22	. Хакамада Ирина Муцуовна	1053	15	8	1	54	27	30	38	16	12	11	67	33	14	31	8	1	2	6	7	2	111	31	47	26	30	30	12	19	51	27	35	26	8	4	18	24	20	3	3	1	2	1	9	5	19	12	32	0	8	0	2	1	3	0	5	22	1	5	5	12	0					
		2.66%	3.84%	3.48%	0.38%	2.65%	2.19%	3.19%	4.57%	3.25%	2.78%	2.21%	4.05%	6.02%	1.74%	2.26%	1.44%	0.54%	1.10%	1.38%	1.27%	0.51%	5.81%	2.65%	3.24%	2.79%	4.98%	2.94%	1.38%	3.07%	3.77%	3.72%	6.02%	3.47%	1.42%	1.94%	1.81%	1.77%	1.70%	2.54%	0.79%	0.33%	1.71%	0.28%	2.93%	3.40%	2.48%	2.61%	1.73%	0.00%	0.98%	0.00%	0.73%	0.59%	1.58%	0.00%	1.09%	5.61%	1.02%	0.82%	1.89%	3.91%	0.00%					
23	. Харитонов Николай Михайлович	3007	20	16	39	169	74	68	66	21	17	34	144	26	60	108	32	2	11	11	33	24	95	145	65	76	49	95	92	69	129	64	67	47	53	8	115	116	112	2	14	2	0	23	41	13	52	28	76	8	88	21	29	16	26	31	44	18	12	35	3	47	6					
		7.60%	5.12%	6.96%	14.77%	8.31%	6.01%	7.23%	7.94%	4.27%	3.94%	6.84%	8.71%	4.74%	7.46%	7.87%	5.75%	1.08%	6.08%	2.53%	6.00%	6.09%	4.97%	12.40%	4.48%	8.15%	8.14%	9.30%	10.59%	11.17%	9.53%	8.82%	11.53%	6.27%	9.38%	3.88%	11.53%	8.56%	9.53%	1.69%	3.66%	0.66%	0.00%	6.46%	13.36%	8.84%	6.78%	6.09%	4.11%	4.52%	10.74%	15.44%	10.58%	9.47%	13.68%	7.77%	9.59%	4.59%	12.24%	5.74%	1.14%	15.31%	3.85%					
																																																																				
