Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																									
Дата голосования: 04.12.2011																																									
																																									
Наименование Избирательной комиссии:    Ахвахская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	47	8	5	0	0	0	0	1	6	0	0	2	0	0	2	2	1	2	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0					
		0.40%	0.53%	1.25%	0.00%	0.00%	0.00%	0.00%	0.92%	2.99%	0.00%	0.00%	0.38%	0.00%	0.00%	0.50%	0.24%	0.16%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	54	4	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0					
		0.46%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.19%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	14.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	11	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0					
		0.09%	0.00%	1.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	875	273	76	2	6	25	3	8	16	4	15	49	34	70	35	21	15	39	20	6	3	10	19	8	7	6	46	7	2	3	2	10	15	11	9					
		7.53%	18.21%	19.05%	1.28%	9.84%	7.14%	7.69%	7.34%	7.96%	8.00%	6.00%	9.33%	8.27%	18.97%	8.68%	2.55%	2.41%	11.54%	6.17%	2.24%	3.53%	8.40%	6.11%	1.39%	1.92%	1.99%	14.56%	3.15%	2.82%	2.63%	3.57%	2.57%	2.23%	2.41%	2.45%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	13	1	1	0	0	0	0	0	0	0	0	2	0	0	2	1	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0					
		0.11%	0.07%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.50%	0.12%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10570	1182	310	154	55	325	36	100	178	46	232	468	377	299	360	800	606	291	301	261	82	108	292	568	357	296	196	215	69	111	54	379	658	445	359					
		90.96%	78.85%	77.69%	98.72%	90.16%	92.86%	92.31%	91.74%	88.56%	92.00%	92.80%	89.14%	91.73%	81.03%	89.33%	97.09%	97.27%	86.09%	92.90%	97.39%	96.47%	90.76%	93.89%	98.61%	98.08%	98.01%	62.03%	96.85%	97.18%	97.37%	96.43%	97.43%	97.77%	97.59%	97.55%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	31	23	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0					
		0.27%	1.53%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
