Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Михайловская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154					
1	"Число избирателей, внесенных в список"	20101	1069	84	154	158	202	781	888	703	131	1195	371	613	297	1091	173	54	402	315	177	801	135	177	1438	294	1003	55	152	294	182	500	753	276	912	280	1030	1039	265	157	1204	296					
2	Число полученных избирательных бюллетеней	20241	1078	84	153	158	202	782	876	700	132	1211	375	616	305	1099	175	55	420	322	179	809	136	185	1441	296	1009	54	150	295	183	500	763	281	912	286	1033	1047	271	156	1206	306					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10535	548	42	85	43	123	334	436	344	82	577	186	254	151	508	100	32	165	173	99	432	87	93	684	126	528	42	111	196	146	376	448	165	416	117	542	644	153	96	679	172					
5	"Число избирательных бюллетеней, выданных вне помещения"	1493	92	24	23	71	20	70	56	27	0	40	31	63	32	90	11	18	58	29	11	24	9	23	91	42	77	1	10	25	15	19	57	13	114	61	29	9	2	5	74	27					
6	Число погашенных избирательных бюллетеней	8212	438	18	45	44	59	378	384	329	50	594	158	299	122	501	64	5	197	120	69	353	40	68	666	128	404	11	29	74	22	105	258	103	382	108	462	394	116	55	453	107					
7	Число избирательных бюллетеней в переносных ящиках	1493	92	24	23	71	20	70	56	27	0	40	31	63	32	90	11	18	58	29	11	24	9	23	91	42	77	1	10	25	15	19	57	13	114	61	29	9	2	5	74	27					
8	Число бюллетеней в стационарных ящиках для голосования	10534	548	42	85	43	123	334	436	344	82	577	186	254	151	508	100	32	165	173	98	432	87	93	684	126	528	42	111	196	146	376	448	165	416	117	542	644	153	96	679	172					
9	Число недействительных избирательных бюллетеней	113	6	0	0	0	1	5	1	4	1	8	3	0	0	6	1	0	2	1	0	8	2	0	8	0	11	0	2	2	1	1	5	2	6	2	11	0	2	1	8	2					
10	Число действительных избирательных бюллетеней	11914	634	66	108	114	142	399	491	367	81	609	214	317	183	592	110	50	221	201	109	448	94	116	767	168	594	43	119	219	160	394	500	176	524	176	560	653	153	100	745	197					
11	Число полученных открепительных  удостоверений	390	20	5	5	5	6	20	10	10	6	20	7	10	6	20	6	6	7	6	5	15	6	5	20	6	15	5	5	7	6	10	15	6	15	15	6	15	6	6	20	6					
12	Число выданных открепительных удостоверений	83	9	0	0	1	1	1	4	3	0	11	0	2	0	8	0	0	2	1	0	8	0	4	4	0	4	0	1	0	0	1	7	1	0	2	0	4	1	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	52	1	2	2	2	1	2	3	1	0	1	1	0	0	1	0	0	0	1	0	2	1	1	2	1	0	4	2	0	3	0	2	1	8	0	0	1	0	2	4	0					
14	Число неиспользованных открепительных удостоверений	307	11	5	5	4	5	19	6	7	6	9	7	8	6	12	6	6	5	5	5	7	6	1	16	6	11	5	4	7	6	9	8	5	15	13	6	11	5	6	17	6					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	310	17	1	6	4	3	18	17	6	3	12	1	9	7	8	4	4	7	3	1	12	0	3	31	2	11	0	8	5	3	7	7	4	19	12	19	13	0	1	16	6					
		2.58%	2.66%	1.52%	5.56%	3.51%	2.10%	4.46%	3.46%	1.62%	3.66%	1.94%	0.46%	2.84%	3.83%	1.34%	3.60%	8.00%	3.14%	1.49%	0.92%	2.63%	0.00%	2.59%	4.00%	1.19%	1.82%	0.00%	6.61%	2.26%	1.86%	1.77%	1.39%	2.25%	3.58%	6.74%	3.33%	1.99%	0.00%	0.99%	2.12%	3.02%					
19	. Малышкин Олег Александрович	353	14	2	4	3	6	9	7	8	2	22	3	6	8	2	2	1	8	13	0	20	8	6	24	9	12	1	5	9	9	15	27	8	9	4	27	11	4	5	16	4					
		2.94%	2.19%	3.03%	3.70%	2.63%	4.20%	2.23%	1.42%	2.16%	2.44%	3.57%	1.38%	1.89%	4.37%	0.33%	1.80%	2.00%	3.59%	6.44%	0.00%	4.39%	8.33%	5.17%	3.10%	5.36%	1.98%	2.33%	4.13%	4.07%	5.59%	3.80%	5.35%	4.49%	1.70%	2.25%	4.73%	1.68%	2.58%	4.95%	2.12%	2.01%					
20	. Миронов Сергей Михайлович	56	2	0	0	0	2	3	2	1	1	0	5	2	0	2	0	0	1	3	0	1	2	0	3	3	2	0	0	2	0	2	1	1	5	1	1	3	0	1	0	4					
		0.47%	0.31%	0.00%	0.00%	0.00%	1.40%	0.74%	0.41%	0.27%	1.22%	0.00%	2.30%	0.63%	0.00%	0.33%	0.00%	0.00%	0.45%	1.49%	0.00%	0.22%	2.08%	0.00%	0.39%	1.79%	0.33%	0.00%	0.00%	0.90%	0.00%	0.51%	0.20%	0.56%	0.94%	0.56%	0.18%	0.46%	0.00%	0.99%	0.00%	2.01%					
21	. Путин Владимир Владимирович	7615	350	35	63	50	89	253	352	245	66	362	164	218	80	390	77	22	171	112	91	312	65	71	492	121	366	29	69	135	91	299	247	103	325	104	322	449	123	76	468	158					
		63.32%	54.69%	53.03%	58.33%	43.86%	62.24%	62.62%	71.54%	66.04%	80.49%	58.67%	75.58%	68.77%	43.72%	65.22%	69.37%	44.00%	76.68%	55.45%	83.49%	68.42%	67.71%	61.21%	63.48%	72.02%	60.50%	67.44%	57.02%	61.09%	56.52%	75.70%	48.91%	57.87%	61.32%	58.43%	56.39%	68.76%	79.35%	75.25%	62.15%	79.40%					
22	. Хакамада Ирина Муцуовна	183	13	0	0	2	2	10	8	13	0	9	3	0	0	9	2	0	3	1	4	7	0	6	12	5	6	0	1	6	3	5	8	2	8	2	9	11	2	2	7	2					
		1.52%	2.03%	0.00%	0.00%	1.75%	1.40%	2.48%	1.63%	3.50%	0.00%	1.46%	1.38%	0.00%	0.00%	1.51%	1.80%	0.00%	1.35%	0.50%	3.67%	1.54%	0.00%	5.17%	1.55%	2.98%	0.99%	0.00%	0.83%	2.71%	1.86%	1.27%	1.58%	1.12%	1.51%	1.12%	1.58%	1.68%	1.29%	1.98%	0.93%	1.01%					
23	. Харитонов Николай Михайлович	3169	225	28	32	49	37	100	96	84	9	193	33	76	87	175	24	22	30	61	12	91	18	28	180	26	184	13	35	57	53	59	196	54	145	53	164	157	24	14	223	22					
		26.35%	35.16%	42.42%	29.63%	42.98%	25.87%	24.75%	19.51%	22.64%	10.98%	31.28%	15.21%	23.97%	47.54%	29.26%	21.62%	44.00%	13.45%	30.20%	11.01%	19.96%	18.75%	24.14%	23.23%	15.48%	30.41%	30.23%	28.93%	25.79%	32.92%	14.94%	38.81%	30.34%	27.36%	29.78%	28.72%	24.04%	15.48%	13.86%	29.61%	11.06%					
																																															
24	Против всех	228	13	0	3	6	3	6	9	10	0	11	5	6	1	6	1	1	1	8	1	5	1	2	25	2	13	0	1	5	1	7	14	4	13	0	18	9	0	1	15	1					
		1.90%	2.03%	0.00%	2.78%	5.26%	2.10%	1.49%	1.83%	2.70%	0.00%	1.78%	2.30%	1.89%	0.55%	1.00%	0.90%	2.00%	0.45%	3.96%	0.92%	1.10%	1.04%	1.72%	3.23%	1.19%	2.15%	0.00%	0.83%	2.26%	0.62%	1.77%	2.77%	2.25%	2.45%	0.00%	3.15%	1.38%	0.00%	0.99%	1.99%	0.50%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
