Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Лакская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	63	2	1	1	1	0	6	0	3	0	1	0	1	0	0	1	0	2	4	12	3	8	2	0	0	0	0	0	0	1	7	4	2	1	0	0					
		1.02%	0.79%	0.51%	0.77%	0.50%	0.00%	2.34%	0.00%	0.69%	0.00%	1.10%	0.00%	0.82%	0.00%	0.00%	1.54%	0.00%	0.67%	1.27%	4.55%	2.86%	4.88%	1.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.20%	3.95%	3.48%	0.79%	1.25%	0.00%	0.00%					
21	. Путин Владимир Владимирович	5822	239	197	124	187	60	241	252	418	33	88	36	115	96	35	63	148	269	297	232	102	156	111	94	109	50	135	28	1090	79	156	100	243	78	89	72					
		94.28%	94.84%	99.49%	95.38%	93.50%	93.75%	94.14%	96.92%	95.65%	100.00%	96.70%	94.74%	94.26%	92.31%	100.00%	96.92%	93.67%	90.27%	94.59%	87.88%	97.14%	95.12%	92.50%	97.92%	94.78%	90.91%	90.00%	96.55%	94.70%	95.18%	88.14%	86.96%	96.43%	97.50%	97.80%	98.63%					
22	. Хакамада Ирина Муцуовна	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.00%	0.00%	0.00%	1.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	247	10	0	5	9	3	9	8	13	0	2	2	4	7	0	1	6	26	13	20	0	0	7	2	3	2	14	1	43	3	14	11	7	1	1	0					
		4.00%	3.97%	0.00%	3.85%	4.50%	4.69%	3.52%	3.08%	2.97%	0.00%	2.20%	5.26%	3.28%	6.73%	0.00%	1.54%	3.80%	8.72%	4.14%	7.58%	0.00%	0.00%	5.83%	2.08%	2.61%	3.64%	9.33%	3.45%	3.74%	3.61%	7.91%	9.57%	2.78%	1.25%	1.10%	0.00%					
																																										
24	Против всех	7	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0					
		0.11%	0.00%	0.00%	0.00%	0.00%	1.56%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.87%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
