Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Кожевниковская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511					
		14.81%	13.02%	17.59%	7.02%	15.52%	17.95%	3.15%	15.38%	9.49%	7.86%	9.15%	8.97%	17.48%	17.74%	16.79%	18.31%	16.67%	31.51%	17.39%	8.75%	14.88%	12.38%	4.62%	14.47%	11.11%	19.70%	28.36%	16.04%	16.67%	10.53%	11.34%	4.62%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	163	2	2	0	3	2	1	2	1	8	2	2	21	39	12	18	2	0	5	0	0	12	0	11	4	3	2	4	1	3	1	0					
		1.66%	0.93%	0.93%	0.00%	0.57%	1.03%	0.79%	1.10%	0.40%	1.97%	1.31%	1.38%	2.19%	3.76%	1.75%	2.77%	0.93%	0.00%	1.98%	0.00%	0.00%	1.88%	0.00%	2.04%	2.96%	1.12%	1.49%	1.26%	0.46%	1.32%	0.52%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5641	116	119	178	326	131	109	98	188	294	114	112	476	466	347	290	117	37	138	90	105	413	45	304	75	155	68	167	141	145	117	160					
		57.61%	53.95%	55.09%	73.55%	62.45%	67.18%	85.83%	53.85%	74.31%	72.24%	74.51%	77.24%	49.53%	44.94%	50.66%	44.62%	54.17%	50.68%	54.55%	56.25%	62.50%	64.73%	69.23%	56.40%	55.56%	57.62%	50.75%	52.52%	65.28%	63.60%	60.31%	82.05%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	36	1	1	1	1	0	0	2	2	1	0	0	5	2	5	6	0	0	0	0	0	4	0	0	0	1	0	2	1	1	0	0					
		0.37%	0.47%	0.46%	0.41%	0.19%	0.00%	0.00%	1.10%	0.79%	0.25%	0.00%	0.00%	0.52%	0.19%	0.73%	0.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.37%	0.00%	0.63%	0.46%	0.44%	0.00%	0.00%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
