Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																					
Дата голосования: 04.12.2011																					
																					
Наименование Избирательной комиссии:    Краснознаменская ТИК																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336					
1	"Число избирателей, внесенных в список избирателей"	9962	1520	1490	813	611	383	401	414	329	303	366	621	532	590	1589					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10300	1600	1600	800	600	400	400	400	400	300	400	600	600	600	1600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4765	830	666	366	251	128	227	250	144	133	134	355	310	328	643					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	593	77	51	23	23	48	29	32	36	14	21	48	64	72	55					
6	Число погашенных избирательных бюллетеней	4941	693	883	411	326	224	144	118	220	153	245	196	226	200	902					
7	Число избирательных бюллетеней в переносных ящиках для голосования	593	77	51	23	23	48	29	32	36	14	21	48	64	72	55					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4763	830	664	366	251	128	227	250	144	133	134	355	310	328	643					
9	Число недействительных избирательных бюллетеней	91	10	9	22	5	0	2	3	0	3	8	6	9	4	10					
10	Число действительных избирательных бюллетеней	5265	897	706	367	269	176	254	279	180	144	147	397	365	396	688					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	153	20	21	10	8	6	0	12	8	11	3	11	14	12	17					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	139	20	19	10	8	0	0	12	8	9	2	11	14	12	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	101	14	16	2	4	1	3	16	4	5	2	4	2	17	11					
14	Число погашенных неиспользованных открепительных удостоверений	14	0	2	0	0	6	0	0	0	2	1	0	0	0	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	1	1	0	2	0	0	0	0	0	0	0	0	3	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	596	127	132	28	26	29	20	30	22	9	21	31	24	19	78					
		11.13%	14.00%	18.46%	7.20%	9.49%	16.48%	7.81%	10.64%	12.22%	6.12%	13.55%	7.69%	6.42%	4.75%	11.17%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	738	129	103	29	38	38	22	49	26	24	19	63	36	49	113					
		13.78%	14.22%	14.41%	7.46%	13.87%	21.59%	8.59%	17.38%	14.44%	16.33%	12.26%	15.63%	9.63%	12.25%	16.19%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	58	11	13	2	3	0	1	2	0	1	2	5	4	2	12					
		1.08%	1.21%	1.82%	0.51%	1.09%	0.00%	0.39%	0.71%	0.00%	0.68%	1.29%	1.24%	1.07%	0.50%	1.72%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	972	220	186	48	19	35	38	68	21	53	44	43	36	57	104					
		18.15%	24.26%	26.01%	12.34%	6.93%	19.89%	14.84%	24.11%	11.67%	36.05%	28.39%	10.67%	9.63%	14.25%	14.90%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	106	37	11	6	2	1	5	3	3	1	5	8	6	3	15					
		1.98%	4.08%	1.54%	1.54%	0.73%	0.57%	1.95%	1.06%	1.67%	0.68%	3.23%	1.99%	1.60%	0.75%	2.15%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2767	365	257	254	181	73	167	125	108	54	55	247	256	262	363					
		51.66%	40.24%	35.94%	65.30%	66.06%	41.48%	65.23%	44.33%	60.00%	36.73%	35.48%	61.29%	68.45%	65.50%	52.01%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	28	8	4	0	0	0	1	2	0	2	1	0	3	4	3					
		0.52%	0.88%	0.56%	0.00%	0.00%	0.00%	0.39%	0.71%	0.00%	1.36%	0.65%	0.00%	0.80%	1.00%	0.43%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
