Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Центральная №30																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №1558	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1807					
1	"Число избирателей, внесенных в список"	71943	239	2654	1667	1599	2051	2759	2353	2775	2033	2434	2201	1741	1398	2551	1922	2059	1997	2064	2315	2338	2496	1912	2268	2456	2456	2195	2632	1921	1969	1916	1964	1755	2067	2272	330	184					
2	Число полученных избирательных бюллетеней	62695	240	2300	1400	1400	1500	2400	1900	2200	1600	2100	2000	1500	1200	2200	1700	1800	1500	1800	2000	2100	2200	1700	2100	2200	2300	2000	2300	1700	2000	1700	1600	1600	1800	2100	330	225					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	40344	237	2149	956	872	848	1727	1407	1384	1183	1686	1222	911	782	1308	1050	1103	1184	1081	1265	1223	1298	990	1187	1266	1297	1217	1345	1090	1181	1079	1176	972	1124	1106	302	136					
5	"Число избирательных бюллетеней, выданных вне помещения"	1542	0	9	39	16	433	23	36	185	24	87	20	29	13	28	11	24	16	17	43	34	24	26	46	52	20	35	30	24	22	16	44	17	32	19	0	48					
6	Число погашенных избирательных бюллетеней	20809	3	142	405	512	219	650	457	631	393	327	758	560	405	864	639	673	300	702	692	843	878	684	867	882	983	748	925	586	797	605	380	611	644	975	28	41					
7	Число избирательных бюллетеней в переносных ящиках	1541	0	9	39	16	433	23	36	185	24	86	20	29	13	28	11	24	16	17	43	34	24	26	46	52	20	35	30	24	22	16	44	17	32	19	0	48					
8	Число бюллетеней в стационарных ящиках для голосования	40187	237	2141	954	871	844	1721	1404	1383	1179	1600	1222	911	782	1307	1047	1094	1181	1079	1260	1220	1296	990	1187	1265	1297	1215	1345	1090	1181	1077	1173	972	1122	1102	302	136					
9	Число недействительных избирательных бюллетеней	211	2	19	7	3	6	8	11	5	4	6	6	8	7	7	4	12	8	5	5	8	3	6	2	4	3	8	6	2	9	3	5	4	4	10	1	0					
10	Число действительных избирательных бюллетеней	41517	235	2131	986	884	1271	1736	1429	1563	1199	1680	1236	932	788	1328	1054	1106	1189	1091	1298	1246	1317	1010	1231	1313	1314	1242	1369	1112	1194	1090	1212	985	1150	1111	301	184					
11	Число полученных открепительных  удостоверений	3862	0	322	100	100	100	130	120	120	100	120	120	100	80	120	100	110	120	120	120	120	130	100	120	130	130	110	130	100	100	100	100	80	100	110	0	0					
12	Число выданных открепительных удостоверений	1064	0	317	12	29	29	33	33	21	22	15	22	23	16	18	17	21	21	26	24	16	21	24	18	24	33	36	28	19	32	30	25	15	22	22	0	0					
