Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Мещанский район																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №3013	УИК №3014	УИК №3015					
1	"Число избирателей, внесенных в список"	36350	883	2103	1947	2646	2171	2354	2402	2080	1408	2287	2337	2027	2236	2196	2224	988	2069	954	560	478					
2	Число полученных избирательных бюллетеней	31570	580	1850	1710	2400	1830	1840	2090	1910	1250	2010	1890	1830	1820	1930	1940	865	1825	800	700	500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21967	480	1006	965	1408	1225	1557	1568	1070	800	1388	1561	1403	1441	1155	1333	523	1393	653	560	478					
5	"Число избирательных бюллетеней, выданных вне помещения"	690	33	22	26	38	35	39	35	36	20	23	26	60	31	37	52	110	67	0	0	0					
6	Число погашенных избирательных бюллетеней	8913	67	822	719	954	570	244	487	804	430	599	303	367	348	738	555	232	365	147	140	22					
7	Число избирательных бюллетеней в переносных ящиках	690	33	22	26	38	35	39	35	36	20	23	26	60	31	37	52	110	67	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	21915	479	1003	965	1403	1225	1539	1568	1070	796	1388	1554	1403	1433	1155	1330	523	1393	650	560	478					
9	Число недействительных избирательных бюллетеней	213	2	11	6	9	3	10	19	3	9	8	13	38	13	8	12	3	13	15	5	13					
10	Число действительных избирательных бюллетеней	22392	510	1014	985	1432	1257	1568	1584	1103	807	1403	1567	1425	1451	1184	1370	630	1447	635	555	465					
11	Число полученных открепительных  удостоверений	885	45	50	50	55	55	55	55	55	50	55	55	55	55	55	60	25	55	0	0	0					
12	Число выданных открепительных удостоверений	527	16	32	29	42	32	23	44	34	20	20	30	23	28	50	53	17	34	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1402	151	74	41	19	183	180	125	43	35	63	85	37	29	44	23	25	81	40	83	41					
14	Число неиспользованных открепительных удостоверений	358	29	18	21	13	23	32	11	21	30	35	25	32	27	5	7	8	21	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	20	0	2	2	0	1	1	2	0	0	3	0	5	1	0	1	0	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	1767	43	70	85	139	89	132	114	81	62	125	164	102	98	87	114	41	114	49	27	31					
		7.82%	8.40%	6.83%	8.58%	9.65%	7.06%	8.37%	7.11%	7.32%	7.60%	8.86%	10.38%	6.97%	6.69%	7.30%	8.25%	6.48%	7.81%	7.54%	4.82%	6.49%					
19	. Малышкин Олег Александрович	199	11	7	10	12	17	14	10	8	6	7	11	14	14	12	6	7	12	6	7	8					
		0.88%	2.15%	0.68%	1.01%	0.83%	1.35%	0.89%	0.62%	0.72%	0.74%	0.50%	0.70%	0.96%	0.96%	1.01%	0.43%	1.11%	0.82%	0.92%	1.25%	1.67%					
20	. Миронов Сергей Михайлович	112	1	12	7	13	5	6	11	4	0	5	11	6	7	4	6	2	5	4	1	2					
		0.50%	0.20%	1.17%	0.71%	0.90%	0.40%	0.38%	0.69%	0.36%	0.00%	0.35%	0.70%	0.41%	0.48%	0.34%	0.43%	0.32%	0.34%	0.62%	0.18%	0.42%					
21	. Путин Владимир Владимирович	14064	342	565	580	768	812	972	1026	697	484	830	905	977	898	714	857	444	978	475	411	329					
		62.22%	66.80%	55.12%	58.53%	53.30%	64.44%	61.60%	64.00%	63.02%	59.31%	58.82%	57.28%	66.78%	61.34%	59.90%	62.01%	70.14%	66.99%	73.08%	73.39%	68.83%					
22	. Хакамада Ирина Муцуовна	2607	47	180	153	166	143	203	151	164	103	174	181	129	191	183	164	50	159	18	29	19					
		11.53%	9.18%	17.56%	15.44%	11.52%	11.35%	12.86%	9.42%	14.83%	12.62%	12.33%	11.46%	8.82%	13.05%	15.35%	11.87%	7.90%	10.89%	2.77%	5.18%	3.97%					
23	. Харитонов Николай Михайлович	1908	32	82	56	185	105	104	156	106	76	156	156	103	145	80	105	42	86	56	33	44					
		8.44%	6.25%	8.00%	5.65%	12.84%	8.33%	6.59%	9.73%	9.58%	9.31%	11.06%	9.87%	7.04%	9.90%	6.71%	7.60%	6.64%	5.89%	8.62%	5.89%	9.21%					
																											
24	Против всех	1735	34	98	94	149	86	137	116	43	76	106	139	94	98	104	118	44	93	27	47	32					
		7.68%	6.64%	9.56%	9.49%	10.34%	6.83%	8.68%	7.24%	3.89%	9.31%	7.51%	8.80%	6.43%	6.69%	8.72%	8.54%	6.95%	6.37%	4.15%	8.39%	6.69%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
