Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																										
Дата голосования: 04.12.2011																																																										
																																																										
Наименование Избирательной комиссии:    Ртищевская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	665	10	12	20	25	26	20	17	20	30	10	30	30	27	18	25	25	52	30	0	47	5	3	5	3	10	3	3	5	5	10	5	6	3	12	3	3	5	5	5	10	8	3	10	6	5	13	10	3	15	5	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	559	8	12	20	25	26	9	17	20	26	7	25	29	27	16	23	25	52	27	0	47	4	0	1	1	5	2	1	5	3	7	4	5	0	11	3	1	1	0	3	4	5	1	5	5	5	12	6	2	11	1	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	278	1	10	3	12	5	6	3	5	12	5	14	7	5	8	4	3	8	4	73	18	2	2	3	1	1	1	2	1	6	2	2	1	4	2	4	2	4	1	1	4	2	1	4	2	3	1	2	2	3	4	2					
14	Число погашенных неиспользованных открепительных удостоверений	106	2	0	0	0	0	11	0	0	4	3	5	1	0	2	2	0	0	3	0	0	1	3	4	2	5	1	2	0	2	3	1	1	3	1	0	2	4	5	2	6	3	2	5	1	0	1	4	1	4	4	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	35	0	2	1	1	1	1	0	1	0	1	1	0	2	2	1	2	1	1	0	9	0	0	0	0	0	1	0	0	0	0	2	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1998	29	70	29	112	139	47	87	81	22	40	97	87	60	57	197	112	84	25	1	128	10	4	4	10	16	11	12	18	19	16	5	17	15	29	16	13	8	31	32	43	9	7	11	9	7	22	35	8	21	30	6					
		5.45%	7.11%	5.79%	2.64%	7.69%	12.26%	2.76%	8.28%	6.46%	1.82%	7.80%	5.74%	5.50%	4.62%	4.30%	10.78%	6.08%	4.60%	1.82%	0.68%	14.16%	1.68%	2.94%	0.93%	5.21%	4.43%	5.70%	4.94%	6.57%	4.90%	2.18%	1.20%	5.92%	5.86%	4.32%	4.98%	5.00%	2.22%	7.83%	7.75%	5.95%	4.27%	3.85%	3.12%	3.08%	2.42%	3.04%	6.65%	5.67%	2.40%	9.01%	2.70%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1366	11	50	19	8	84	55	8	16	22	42	32	7	40	57	128	93	63	31	1	183	20	2	6	6	5	7	2	10	8	15	19	5	23	20	13	20	19	14	19	18	12	14	17	7	4	19	26	5	19	29	13					
		3.73%	2.70%	4.13%	1.73%	0.55%	7.41%	3.23%	0.76%	1.28%	1.82%	8.19%	1.89%	0.44%	3.08%	4.30%	7.00%	5.05%	3.45%	2.26%	0.68%	20.24%	3.35%	1.47%	1.39%	3.13%	1.39%	3.63%	0.82%	3.65%	2.06%	2.05%	4.56%	1.74%	8.98%	2.98%	4.05%	7.69%	5.28%	3.54%	4.60%	2.49%	5.69%	7.69%	4.82%	2.40%	1.38%	2.62%	4.94%	3.55%	2.17%	8.71%	5.86%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	113	1	1	1	3	12	6	0	2	0	3	7	1	3	12	2	0	11	3	0	17	2	0	1	1	2	1	0	2	1	1	1	0	0	3	0	0	0	0	1	2	0	0	1	2	0	2	0	0	4	0	1					
		0.31%	0.25%	0.08%	0.09%	0.21%	1.06%	0.35%	0.00%	0.16%	0.00%	0.58%	0.41%	0.06%	0.23%	0.90%	0.11%	0.00%	0.60%	0.22%	0.00%	1.88%	0.34%	0.00%	0.23%	0.52%	0.55%	0.52%	0.00%	0.73%	0.26%	0.14%	0.24%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.24%	0.28%	0.00%	0.00%	0.28%	0.68%	0.00%	0.28%	0.00%	0.00%	0.46%	0.00%	0.45%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2286	20	99	121	20	182	124	23	77	137	58	81	134	54	58	167	72	101	39	1	142	25	10	10	8	5	24	22	12	10	28	31	18	12	23	11	8	45	20	28	28	15	7	18	7	9	25	35	1	31	30	20					
		6.24%	4.90%	8.18%	11.03%	1.37%	16.05%	7.28%	2.19%	6.15%	11.31%	11.31%	4.79%	8.46%	4.16%	4.37%	9.14%	3.91%	5.53%	2.84%	0.68%	15.71%	4.19%	7.35%	2.31%	4.17%	1.39%	12.44%	9.05%	4.38%	2.58%	3.82%	7.43%	6.27%	4.69%	3.42%	3.43%	3.08%	12.50%	5.05%	6.78%	3.87%	7.11%	3.85%	5.10%	2.40%	3.11%	3.45%	6.65%	0.71%	3.55%	9.01%	9.01%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	155	1	2	1	0	9	3	5	4	1	4	12	3	7	14	5	0	5	9	0	22	3	0	0	1	0	1	2	5	0	1	1	0	0	4	1	0	0	2	0	3	3	0	2	2	0	4	5	0	5	2	1					
		0.42%	0.25%	0.17%	0.09%	0.00%	0.79%	0.18%	0.48%	0.32%	0.08%	0.78%	0.71%	0.19%	0.54%	1.06%	0.27%	0.00%	0.27%	0.66%	0.00%	2.43%	0.50%	0.00%	0.00%	0.52%	0.00%	0.52%	0.82%	1.82%	0.00%	0.14%	0.24%	0.00%	0.00%	0.60%	0.31%	0.00%	0.00%	0.51%	0.00%	0.41%	1.42%	0.00%	0.57%	0.68%	0.00%	0.55%	0.95%	0.00%	0.57%	0.60%	0.45%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	30485	331	980	924	1306	687	1465	919	1068	1029	359	1456	1347	1120	1114	1310	1565	1552	1249	144	393	536	120	411	166	327	147	198	222	350	671	360	245	205	593	280	215	288	324	332	622	170	151	301	264	269	649	421	124	787	240	179					
		83.17%	81.13%	80.99%	84.23%	89.70%	60.58%	85.97%	87.44%	85.24%	84.97%	69.98%	86.15%	85.09%	86.29%	84.01%	71.66%	84.96%	84.99%	90.97%	97.30%	43.47%	89.78%	88.24%	95.14%	86.46%	90.58%	76.17%	81.48%	81.02%	90.21%	91.54%	86.33%	85.37%	80.08%	88.24%	87.23%	82.69%	80.00%	81.82%	80.39%	86.03%	80.57%	82.97%	85.27%	90.41%	93.08%	89.64%	80.04%	87.94%	90.05%	72.07%	80.63%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	70	1	2	0	0	10	2	0	2	0	1	3	2	4	2	3	0	5	3	0	5	0	0	0	0	0	2	5	0	0	1	0	0	0	0	0	0	0	4	1	1	0	3	2	1	0	1	1	1	2	0	0					
		0.19%	0.25%	0.17%	0.00%	0.00%	0.88%	0.12%	0.00%	0.16%	0.00%	0.19%	0.18%	0.13%	0.31%	0.15%	0.16%	0.00%	0.27%	0.22%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	1.04%	2.06%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.01%	0.24%	0.14%	0.00%	1.65%	0.57%	0.34%	0.00%	0.14%	0.19%	0.71%	0.23%	0.00%	0.00%					
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
