Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Чулымская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286					
1	"Число избирателей, внесенных в список"	20377	1038	1174	1386	1031	1146	771	1247	764	590	436	494	57	72	459	112	91	285	338	593	525	26	63	1114	57	310	79	586	32	372	119	52	350	495	132	107	50	85	682	120	98	87	417	52	852	146	818	217	91	70	89					
2	Число полученных избирательных бюллетеней	20300	990	1100	1280	1010	1100	740	1190	720	540	480	500	60	75	480	120	110	300	350	600	520	30	70	1130	65	315	85	585	30	363	110	52	330	490	130	120	55	85	720	120	105	90	600	70	860	145	810	215	95	70	90					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11863	557	561	697	564	573	379	534	381	261	298	315	31	31	365	89	91	184	231	360	312	23	52	553	51	228	66	328	23	284	110	47	247	355	94	68	46	72	417	71	66	52	394	39	442	86	444	166	77	67	81					
5	"Число избирательных бюллетеней, выданных вне помещения"	1969	83	144	102	60	125	53	239	87	79	65	69	16	31	0	0	0	51	23	59	60	0	0	130	3	0	0	48	5	9	0	5	13	20	0	7	0	0	69	13	8	3	23	2	106	14	129	8	8	0	0					
6	Число погашенных избирательных бюллетеней	6467	350	395	481	386	402	308	417	252	200	116	116	13	13	115	31	19	65	96	181	148	7	18	447	11	87	19	209	2	70	0	0	70	115	36	45	9	13	234	36	31	35	183	29	312	45	237	41	10	3	9					
7	Число избирательных бюллетеней в переносных ящиках	1969	83	144	102	60	125	53	239	87	79	65	69	16	31	0	0	0	51	23	59	60	0	0	130	3	0	0	48	5	9	0	5	13	20	0	7	0	0	69	13	8	3	23	2	106	14	129	8	8	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	11863	557	561	697	564	573	379	534	381	261	298	315	31	31	365	89	91	184	231	360	312	23	52	553	51	228	66	328	23	284	110	47	247	355	94	68	46	72	417	71	66	52	394	39	442	86	444	166	77	67	81					
9	Число недействительных избирательных бюллетеней	184	17	3	7	6	10	3	8	3	3	2	7	3	0	5	1	2	1	2	9	10	0	0	19	0	1	0	6	0	7	0	0	0	5	3	1	0	2	7	0	1	1	4	0	10	1	5	3	0	3	3					
10	Число действительных избирательных бюллетеней	13648	623	702	792	618	688	429	765	465	337	361	377	44	62	360	88	89	234	252	410	362	23	52	664	54	227	66	370	28	286	110	52	260	370	91	74	46	70	479	84	73	54	413	41	538	99	568	171	85	64	78					
11	Число полученных открепительных  удостоверений	299	11	11	11	11	11	10	11	11	11	11	6	3	4	6	4	4	6	6	6	6	4	4	10	2	6	4	6	3	6	4	3	6	6	4	4	3	4	6	4	4	4	6	3	6	5	6	5	3	4	4					
12	Число выданных открепительных удостоверений	42	3	1	1	1	3	1	1	1	0	1	1	0	0	4	0	4	0	0	3	1	0	0	1	0	0	0	4	0	0	0	0	2	1	0	0	0	0	4	0	0	0	0	0	3	0	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	62	5	5	4	2	8	1	2	3	2	1	1	0	0	5	0	1	0	0	2	5	0	0	1	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	0	0	0	0	2	2	4	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	257	8	10	10	10	8	9	10	10	11	10	5	3	4	2	4	0	6	6	3	5	4	4	9	2	6	4	2	3	6	4	3	4	5	4	4	3	4	2	4	4	4	6	3	3	5	5	5	3	4	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
