Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Уренская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368					
1	"Число избирателей, внесенных в список"	24951	676	724	1360	1107	1158	1032	2041	1293	689	438	941	1390	1107	565	728	508	135	243	577	394	442	82	73	525	445	555	486	346	303	382	506	501	115	190	714	263	1032	885					
2	Число полученных избирательных бюллетеней	24640	640	700	1220	1060	1140	1000	1910	1250	680	410	920	1430	1100	560	750	510	135	240	570	390	470	90	85	530	430	560	480	340	300	400	500	530	120	250	730	290	1020	900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15235	305	437	709	584	708	620	1110	795	423	283	507	936	644	253	348	382	125	175	498	248	281	67	47	417	286	408	283	220	178	267	253	292	83	159	483	163	682	576					
5	"Число избирательных бюллетеней, выданных вне помещения"	2449	129	39	134	96	48	29	33	17	29	30	87	39	51	155	248	32	0	22	9	54	82	11	24	53	70	79	101	41	65	65	125	98	9	2	86	71	93	93					
6	Число погашенных избирательных бюллетеней	6956	206	224	377	380	384	351	767	438	228	97	326	455	405	152	154	96	10	43	63	88	107	12	14	60	74	73	96	79	57	68	122	140	28	89	161	56	245	231					
7	Число избирательных бюллетеней в переносных ящиках	2449	129	39	134	96	48	29	33	17	29	30	87	39	51	155	248	32	0	22	9	54	82	11	24	53	70	79	101	41	65	65	125	98	9	2	86	71	93	93					
8	Число бюллетеней в стационарных ящиках для голосования	15235	305	437	709	584	708	620	1110	795	423	283	507	936	644	253	348	382	125	175	498	248	281	67	47	417	286	408	283	220	178	267	253	292	83	159	483	163	682	576					
9	Число недействительных избирательных бюллетеней	154	3	2	11	8	2	4	12	5	3	1	5	30	4	0	4	3	0	2	1	3	2	0	1	7	0	5	4	2	1	2	0	8	2	0	2	0	13	2					
10	Число действительных избирательных бюллетеней	17530	431	474	832	672	754	645	1131	807	449	312	589	945	691	408	592	411	125	195	506	299	361	78	70	463	356	482	380	259	242	330	378	382	90	161	567	234	762	667					
