Выборы Президента Российской Федерации																																																											
																																																											
Наименование Избирательной комиссии:    Чусовская городская																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №4401	УИК №4402	УИК №4403	УИК №4404	УИК №4405	УИК №4406	УИК №4407	УИК №4408	УИК №4409	УИК №4410	УИК №4411	УИК №4412	УИК №4413	УИК №4414	УИК №4415	УИК №4416	УИК №4417	УИК №4418	УИК №4419	УИК №4420	УИК №4421	УИК №4422	УИК №4423	УИК №4424	УИК №4425	УИК №4426	УИК №4427	УИК №4428	УИК №4429	УИК №4430	УИК №4431	УИК №4432	УИК №4433	УИК №4434	УИК №4435	УИК №4436	УИК №4437	УИК №4438	УИК №4439	УИК №4440	УИК №4441	УИК №4442	УИК №4443	УИК №4444	УИК №4445	УИК №4446	УИК №4447	УИК №4448	УИК №4449	УИК №4450	УИК №4451	УИК №4452					
1	"Число избирателей, внесенных в список"	58059	1073	822	1380	1038	2013	481	2097	1092	1252	994	573	2062	1907	2573	2507	2194	2128	1925	1885	1655	2265	1905	2050	599	505	1771	1788	789	1022	176	212	358	523	605	632	201	640	934	295	529	313	562	873	123	207	308	1641	552	680	90	1203	2057					
2	Число полученных избирательных бюллетеней	58460	1100	840	1500	1000	1700	500	2000	1100	1300	1000	600	2100	1900	2600	2500	2100	2100	1900	2000	1600	2300	2000	2100	600	500	1800	1800	800	1000	180	200	350	500	600	600	200	600	1000	300	500	300	600	1000	150	230	320	1800	600	700	90	1200	2100					
3	"Число избирательных бюллетеней, выданных  досрочно"	697	0	0	0	0	10	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	59	0	0	44	23	38	170	0	46	0	0	139	35	0	0	66	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32954	576	363	725	381	1178	249	1074	586	692	461	252	1277	1025	1526	1510	1397	1212	1265	1038	1009	1341	1004	1250	251	345	887	848	435	645	145	104	207	296	368	312	86	340	556	165	351	224	251	518	80	156	179	847	373	417	90	805	1282					
5	"Число избирательных бюллетеней, выданных вне помещения"	4635	154	191	136	160	98	38	203	71	221	91	105	167	148	68	113	177	69	98	205	52	74	123	68	78	31	122	106	71	93	0	17	50	64	52	73	41	49	144	79	99	47	78	72	35	16	25	135	24	51	0	97	56					
6	Число погашенных избирательных бюллетеней	20174	370	286	639	459	414	213	723	443	387	448	243	656	693	1006	877	526	819	537	757	539	885	873	782	271	124	791	846	294	229	35	20	93	140	136	192	35	41	300	10	50	29	132	375	35	58	50	818	203	232	0	298	762					
7	Число избирательных бюллетеней в переносных ящиках	5332	154	191	136	160	108	38	203	71	221	91	105	167	182	68	113	177	69	98	205	52	74	123	68	78	31	122	106	71	126	0	76	50	64	96	96	79	219	144	125	99	47	217	107	35	16	91	135	24	51	0	97	56					
8	Число бюллетеней в стационарных ящиках для голосования	32938	576	363	725	381	1178	249	1074	586	692	461	252	1277	1025	1514	1509	1397	1212	1265	1038	1009	1341	1004	1250	251	345	887	848	435	645	145	104	207	296	368	312	86	340	556	165	351	224	251	517	80	156	179	847	373	417	90	805	1280					
9	Число недействительных избирательных бюллетеней	261	1	4	6	7	6	0	19	3	5	3	0	5	5	51	11	10	10	9	11	3	3	1	15	4	3	0	8	2	0	2	0	1	3	3	1	0	3	12	0	1	0	2	5	0	0	0	8	5	0	1	6	3					
10	Число действительных избирательных бюллетеней	38009	729	550	855	534	1280	287	1258	654	908	549	357	1439	1202	1531	1611	1564	1271	1354	1232	1058	1412	1126	1303	325	373	1009	946	504	771	143	180	256	357	461	407	165	556	688	290	449	271	466	619	115	172	270	974	392	468	89	896	1333					
