Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Арсеньевская городская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52					
1	"Число избирателей, внесенных в список"	46796	2296	1087	1772	928	1417	2676	2248	2487	2414	2459	2475	2298	1485	1970	2264	2543	2452	2369	2446	1720	1372	1021	2236	361					
2	Число полученных избирательных бюллетеней	48000	2300	1000	1800	1100	1400	2800	2400	2600	2500	2500	2500	2400	1600	2000	2300	2700	2600	2500	2500	1800	1300	900	2200	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	29982	1332	641	1006	538	780	1770	1494	1609	1663	1654	1581	1510	920	1280	1573	1749	1565	1668	1614	1015	781	704	1353	182					
5	"Число избирательных бюллетеней, выданных вне помещения"	1368	51	84	63	66	66	47	53	59	84	60	46	59	31	96	61	35	61	63	37	53	80	14	77	22					
6	Число погашенных избирательных бюллетеней	16650	917	275	731	496	554	983	853	932	753	786	873	831	649	624	666	916	974	769	849	732	439	182	770	96					
7	Число избирательных бюллетеней в переносных ящиках	1368	51	84	63	66	66	47	53	59	84	60	46	59	31	96	61	35	61	63	37	53	80	14	77	22					
8	Число бюллетеней в стационарных ящиках для голосования	29971	1332	641	1006	538	780	1770	1493	1609	1663	1652	1581	1510	920	1280	1572	1749	1563	1668	1609	1015	781	704	1353	182					
9	Число недействительных избирательных бюллетеней	198	16	9	11	3	4	8	7	7	10	16	6	10	3	9	13	9	11	13	8	8	7	4	5	1					
10	Число действительных избирательных бюллетеней	31141	1367	716	1058	601	842	1809	1539	1661	1737	1696	1621	1559	948	1367	1620	1775	1613	1718	1638	1060	854	714	1425	203					
11	Число полученных открепительных  удостоверений	884	40	15	15	15	30	59	66	53	65	45	40	35	30	35	33	45	50	52	48	33	20	25	30	5					
12	Число выданных открепительных удостоверений	726	36	10	8	9	24	51	49	49	47	39	29	34	26	27	29	36	43	49	40	25	17	21	28	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	487	16	55	9	11	8	7	18	11	18	22	58	28	14	20	15	17	9	17	30	7	31	25	17	24					
14	Число неиспользованных открепительных удостоверений	158	4	5	7	6	6	8	17	4	18	6	11	1	4	8	4	9	7	3	8	8	3	4	2	5					
15	"Число открепительных удостоверений, выданных в ТИК"	16	0	0	1	0	1	2	0	1	0	2	2	0	0	0	3	0	0	3	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	2670	114	66	73	32	67	159	102	136	169	166	138	145	73	108	128	156	145	181	146	81	63	50	163	9					
