Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Красногорская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418					
1	"Число избирателей, внесенных в список"	9084	626	257	441	197	296	866	331	555	584	333	1028	538	268	149	997	135	331	1152					
2	Число полученных избирательных бюллетеней	9630	700	260	460	190	300	900	370	600	600	350	1100	570	280	165	1070	145	370	1200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6641	493	181	345	156	234	580	268	419	391	210	784	391	177	85	730	90	248	859					
5	"Число избирательных бюллетеней, выданных вне помещения"	1063	93	39	52	24	44	62	43	108	78	38	52	93	53	44	76	34	66	64					
6	Число погашенных избирательных бюллетеней	1926	114	40	63	10	22	258	59	73	131	102	264	86	50	36	264	21	56	277					
7	Число избирательных бюллетеней в переносных ящиках	1063	93	39	52	24	44	62	43	108	78	38	52	93	53	44	76	34	66	64					
8	Число бюллетеней в стационарных ящиках для голосования	6641	493	181	345	156	234	580	268	419	391	210	784	391	177	85	730	90	248	859					
9	Число недействительных избирательных бюллетеней	83	8	1	5	0	1	10	2	4	2	5	13	3	5	0	14	1	1	8					
10	Число действительных избирательных бюллетеней	7621	578	219	392	180	277	632	309	523	467	243	823	481	225	129	792	123	313	915					
11	Число полученных открепительных  удостоверений	340	30	5	23	10	15	20	27	30	7	25	20	15	13	15	25	5	28	27					
12	Число выданных открепительных удостоверений	318	30	5	21	7	13	18	27	26	7	18	20	15	13	13	25	5	28	27					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	110	7	2	2	2	10	11	6	2	7	4	17	5	6	1	15	1	4	8					
14	Число неиспользованных открепительных удостоверений	22	0	0	2	3	2	2	0	4	0	7	0	0	0	2	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	0	0	0	0	1	0	0	0	2	3	0	0	1	0	0	1	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	110	12	2	1	0	1	5	5	8	7	3	14	5	2	0	17	0	5	23					
		1.43%	2.05%	0.91%	0.25%	0.00%	0.36%	0.78%	1.61%	1.52%	1.49%	1.21%	1.67%	1.03%	0.87%	0.00%	2.11%	0.00%	1.59%	2.49%					
19	. Малышкин Олег Александрович	148	17	10	5	3	4	12	4	5	3	7	19	8	7	4	14	3	6	17					
		1.92%	2.90%	4.55%	1.26%	1.67%	1.44%	1.87%	1.29%	0.95%	0.64%	2.82%	2.27%	1.65%	3.04%	3.10%	1.74%	2.42%	1.91%	1.84%					
20	. Миронов Сергей Михайлович	29	0	1	0	0	0	4	1	3	4	2	6	0	1	0	3	1	0	3					
		0.38%	0.00%	0.45%	0.00%	0.00%	0.00%	0.62%	0.32%	0.57%	0.85%	0.81%	0.72%	0.00%	0.43%	0.00%	0.37%	0.81%	0.00%	0.33%					
21	. Путин Владимир Владимирович	6622	498	198	358	171	240	557	260	463	420	220	700	404	201	113	645	109	274	791					
		85.96%	84.98%	90.00%	90.18%	95.00%	86.33%	86.76%	83.60%	87.86%	89.55%	88.71%	83.73%	83.47%	87.39%	87.60%	80.02%	87.90%	87.26%	85.70%					
22	. Хакамада Ирина Муцуовна	84	6	1	1	0	4	3	3	2	8	3	15	1	0	1	18	0	1	17					
		1.09%	1.02%	0.45%	0.25%	0.00%	1.44%	0.47%	0.96%	0.38%	1.71%	1.21%	1.79%	0.21%	0.00%	0.78%	2.23%	0.00%	0.32%	1.84%					
23	. Харитонов Николай Михайлович	523	32	7	24	5	26	47	33	34	19	7	61	48	10	10	78	9	22	51					
		6.79%	5.46%	3.18%	6.05%	2.78%	9.35%	7.32%	10.61%	6.45%	4.05%	2.82%	7.30%	9.92%	4.35%	7.75%	9.68%	7.26%	7.01%	5.53%					
																									
24	Против всех	105	13	0	3	1	2	4	3	8	6	1	8	15	4	1	17	1	5	13					
		1.36%	2.22%	0.00%	0.76%	0.56%	0.72%	0.62%	0.96%	1.52%	1.28%	0.40%	0.96%	3.10%	1.74%	0.78%	2.11%	0.81%	1.59%	1.41%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
