Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Северо-Байкальская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513					
1	"Число избирателей, внесенных в список"	11555	1155	489	474	1054	818	562	64	203	603	204	445	320	470	304	1023	710	953	463	415	378	448					
2	Число полученных избирательных бюллетеней	10880	980	460	465	940	795	550	60	210	615	195	430	350	490	290	935	590	875	470	395	365	420					
3	"Число избирательных бюллетеней, выданных  досрочно"	90	0	23	0	57	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6975	590	257	360	520	440	367	46	151	392	151	356	248	355	216	515	367	563	336	223	284	238					
5	"Число избирательных бюллетеней, выданных вне помещения"	520	100	23	72	27	49	24	4	2	16	6	13	9	17	17	40	17	20	40	9	9	6					
6	Число погашенных избирательных бюллетеней	3295	290	157	33	336	306	159	10	47	207	38	61	93	118	57	380	206	292	94	163	72	176					
7	Число избирательных бюллетеней в переносных ящиках	610	100	46	72	84	49	24	4	12	16	6	13	9	17	17	40	17	20	40	9	9	6					
8	Число бюллетеней в стационарных ящиках для голосования	6974	590	257	360	520	440	367	46	151	392	151	356	248	355	216	515	367	562	336	223	284	238					
9	Число недействительных избирательных бюллетеней	44	4	2	5	1	2	3	1	2	0	0	1	0	0	1	3	0	4	8	3	1	3					
10	Число действительных избирательных бюллетеней	7540	686	301	427	603	487	388	49	161	408	157	368	257	372	232	552	384	578	368	229	292	241					
11	Число полученных открепительных  удостоверений	493	24	15	20	30	25	20	19	25	25	15	30	25	35	20	25	25	25	20	25	25	20					
12	Число выданных открепительных удостоверений	244	13	8	20	12	9	10	0	23	15	8	26	17	31	6	0	7	12	13	1	9	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	80	12	3	1	4	9	3	9	1	0	2	4	4	3	2	0	4	11	1	0	3	4					
14	Число неиспользованных открепительных удостоверений	249	11	7	0	18	16	10	19	2	10	7	4	8	4	14	25	18	13	7	24	16	16					
15	"Число открепительных удостоверений, выданных в ТИК"	7	3	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	396	24	12	15	45	21	24	2	10	26	13	8	9	22	4	34	25	53	10	14	14	11					
		5.22%	3.48%	3.96%	3.47%	7.45%	4.29%	6.14%	4.00%	6.13%	6.37%	8.28%	2.17%	3.50%	5.91%	1.72%	6.13%	6.51%	9.11%	2.66%	6.03%	4.78%	4.51%					
19	. Малышкин Олег Александрович	200	16	7	10	15	21	7	1	1	14	4	7	3	11	3	22	14	16	2	8	7	11					
		2.64%	2.32%	2.31%	2.31%	2.48%	4.29%	1.79%	2.00%	0.61%	3.43%	2.55%	1.90%	1.17%	2.96%	1.29%	3.96%	3.65%	2.75%	0.53%	3.45%	2.39%	4.51%					
20	. Миронов Сергей Михайлович	65	9	2	2	5	6	6	0	1	2	2	1	0	4	0	9	2	6	1	1	6	0					
		0.86%	1.30%	0.66%	0.46%	0.83%	1.23%	1.53%	0.00%	0.61%	0.49%	1.27%	0.27%	0.00%	1.08%	0.00%	1.62%	0.52%	1.03%	0.27%	0.43%	2.05%	0.00%					
21	. Путин Владимир Владимирович	5110	486	215	322	423	345	276	40	129	277	81	293	169	213	192	316	247	349	229	141	224	143					
		67.38%	70.43%	70.96%	74.54%	70.03%	70.55%	70.59%	80.00%	79.14%	67.89%	51.59%	79.40%	65.76%	57.26%	82.40%	56.94%	64.32%	59.97%	60.90%	60.78%	76.45%	58.61%					
22	. Хакамада Ирина Муцуовна	246	31	16	6	23	21	15	2	0	9	6	6	8	17	3	18	10	23	4	11	10	7					
		3.24%	4.49%	5.28%	1.39%	3.81%	4.29%	3.84%	4.00%	0.00%	2.21%	3.82%	1.63%	3.11%	4.57%	1.29%	3.24%	2.60%	3.95%	1.06%	4.74%	3.41%	2.87%					
23	. Харитонов Николай Михайлович	1330	106	42	58	78	65	46	4	20	65	45	43	57	92	26	146	76	115	109	44	29	64					
		17.54%	15.36%	13.86%	13.43%	12.91%	13.29%	11.76%	8.00%	12.27%	15.93%	28.66%	11.65%	22.18%	24.73%	11.16%	26.31%	19.79%	19.76%	28.99%	18.97%	9.90%	26.23%					
																												
24	Против всех	193	14	7	14	14	8	14	0	0	15	6	10	11	13	4	7	10	16	13	10	2	5					
		2.54%	2.03%	2.31%	3.24%	2.32%	1.64%	3.58%	0.00%	0.00%	3.68%	3.82%	2.71%	4.28%	3.49%	1.72%	1.26%	2.60%	2.75%	3.46%	4.31%	0.68%	2.05%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
