Выборы Президента Российской Федерации												
												
Наименование Избирательной комиссии:    район Некрасовка												
												
Итоги голосования 												
												
		Сумма	УИК №1455	УИК №1456	УИК №1457	УИК №2990	УИК №3124					
1	"Число избирателей, внесенных в список"	6004	1300	1450	1492	1567	195					
2	Число полученных избирательных бюллетеней	5500	1200	1300	1300	1400	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3841	852	895	904	1047	143					
5	"Число избирательных бюллетеней, выданных вне помещения"	132	22	29	40	21	20					
6	Число погашенных избирательных бюллетеней	1527	326	376	356	332	137					
7	Число избирательных бюллетеней в переносных ящиках	132	22	29	40	21	20					
8	Число бюллетеней в стационарных ящиках для голосования	3836	851	895	903	1044	143					
9	Число недействительных избирательных бюллетеней	71	11	21	19	18	2					
10	Число действительных избирательных бюллетеней	3897	862	903	924	1047	161					
11	Число полученных открепительных  удостоверений	195	55	50	40	50	0					
12	Число выданных открепительных удостоверений	161	48	46	21	46	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	217	27	53	37	60	40					
14	Число неиспользованных открепительных удостоверений	34	7	4	19	4	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"												
18	. Глазьев Сергей Юрьевич	239	49	54	60	67	9					
		6.02%	5.61%	5.84%	6.36%	6.29%	5.52%					
19	. Малышкин Олег Александрович	81	21	21	20	18	1					
		2.04%	2.41%	2.27%	2.12%	1.69%	0.61%					
20	. Миронов Сергей Михайлович	24	7	8	3	5	1					
		0.60%	0.80%	0.87%	0.32%	0.47%	0.61%					
21	. Путин Владимир Владимирович	2900	653	661	683	789	114					
		73.08%	74.80%	71.54%	72.43%	74.08%	69.94%					
22	. Хакамада Ирина Муцуовна	170	40	40	40	44	6					
		4.28%	4.58%	4.33%	4.24%	4.13%	3.68%					
23	. Харитонов Николай Михайлович	241	48	64	54	58	17					
		6.07%	5.50%	6.93%	5.73%	5.45%	10.43%					
												
24	Против всех	242	44	55	64	66	13					
		6.10%	5.04%	5.95%	6.79%	6.20%	7.98%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
