Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Муравленковская городская																	
																	
Итоги голосования 																	
																	
		Сумма	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37					
1	"Число избирателей, внесенных в список"	23435	2120	2185	2251	2203	2321	2112	2418	2626	2514	2685					
2	Число полученных избирательных бюллетеней	22400	2100	2100	2100	2100	2200	2000	2300	2500	2400	2600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14043	1191	1252	1332	1410	1361	1237	1542	1548	1546	1624					
5	"Число избирательных бюллетеней, выданных вне помещения"	192	27	20	15	25	16	17	13	23	16	20					
6	Число погашенных избирательных бюллетеней	8165	882	828	753	665	823	746	745	929	838	956					
7	Число избирательных бюллетеней в переносных ящиках	192	27	20	15	25	16	17	13	23	16	20					
8	Число бюллетеней в стационарных ящиках для голосования	14041	1191	1252	1332	1410	1361	1237	1542	1548	1546	1622					
9	Число недействительных избирательных бюллетеней	57	13	14	0	2	5	3	7	4	3	6					
10	Число действительных избирательных бюллетеней	14176	1205	1258	1347	1433	1372	1251	1548	1567	1559	1636					
11	Число полученных открепительных  удостоверений	250	25	25	25	25	25	25	25	25	25	25					
12	Число выданных открепительных удостоверений	110	8	6	13	7	13	10	16	5	21	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	54	12	2	5	6	2	6	2	4	6	9					
14	Число неиспользованных открепительных удостоверений	140	17	19	12	18	12	15	9	20	4	14					
15	"Число открепительных удостоверений, выданных в ТИК"	17	1	0	1	1	2	4	1	1	4	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	642	37	38	48	79	56	57	81	69	104	73					
		4.51%	3.04%	2.99%	3.56%	5.51%	4.07%	4.55%	5.21%	4.39%	6.66%	4.45%					
19	. Малышкин Олег Александрович	252	20	28	26	16	29	20	29	22	31	31					
		1.77%	1.64%	2.20%	1.93%	1.11%	2.11%	1.59%	1.86%	1.40%	1.98%	1.89%					
20	. Миронов Сергей Михайлович	75	11	7	12	4	6	9	5	6	5	10					
		0.53%	0.90%	0.55%	0.89%	0.28%	0.44%	0.72%	0.32%	0.38%	0.32%	0.61%					
21	. Путин Владимир Владимирович	10361	899	966	987	1020	1005	929	1147	1153	1074	1181					
		72.80%	73.81%	75.94%	73.27%	71.08%	72.98%	74.08%	73.76%	73.39%	68.76%	71.92%					
22	. Хакамада Ирина Муцуовна	728	40	36	71	103	60	64	84	76	106	88					
		5.11%	3.28%	2.83%	5.27%	7.18%	4.36%	5.10%	5.40%	4.84%	6.79%	5.36%					
23	. Харитонов Николай Михайлович	1465	156	131	139	137	160	122	136	156	166	162					
		10.29%	12.81%	10.30%	10.32%	9.55%	11.62%	9.73%	8.75%	9.93%	10.63%	9.87%					
																	
24	Против всех	653	42	52	64	74	56	50	66	85	73	91					
		4.59%	3.45%	4.09%	4.75%	5.16%	4.07%	3.99%	4.24%	5.41%	4.67%	5.54%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
