Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Чурапчинская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700					
1	"Число избирателей, внесенных в список"	11111	422	228	315	36	397	609	308	39	242	283	473	218	585	80	458	69	73	42	294	44	62	683	313	358	763	769	883	907	1158					
2	Число полученных избирательных бюллетеней	11115	430	235	330	40	420	700	320	50	250	290	480	230	590	80	460	75	75	45	290	45	65	680	320	370	710	730	860	900	1045					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8691	383	207	277	36	310	469	234	38	197	227	399	209	541	65	404	66	71	41	266	43	58	563	273	281	485	567	574	627	780					
5	"Число избирательных бюллетеней, выданных вне помещения"	920	28	8	24	0	37	58	33	0	28	37	57	9	35	13	52	3	0	0	9	0	4	52	19	47	75	57	75	66	94					
6	Число погашенных избирательных бюллетеней	1504	19	20	29	4	73	173	53	12	25	26	24	12	14	2	4	6	4	4	15	2	3	65	28	42	150	106	211	207	171					
7	Число избирательных бюллетеней в переносных ящиках	920	28	8	24	0	37	58	33	0	28	37	57	9	35	13	52	3	0	0	9	0	4	52	19	47	75	57	75	66	94					
8	Число бюллетеней в стационарных ящиках для голосования	8691	383	207	277	36	310	469	234	38	197	227	399	209	541	65	404	66	71	41	266	43	58	563	273	281	485	567	574	627	780					
9	Число недействительных избирательных бюллетеней	82	0	3	3	0	1	3	3	0	1	5	5	2	5	0	0	0	0	0	4	0	0	11	3	4	5	3	10	5	6					
10	Число действительных избирательных бюллетеней	9529	411	212	298	36	346	524	264	38	224	259	451	216	571	78	456	69	71	41	271	43	62	604	289	324	555	621	639	688	868					
11	Число полученных открепительных  удостоверений	589	18	12	30	5	23	29	15	5	15	15	25	17	25	8	25	10	8	5	16	5	5	25	20	15	40	40	40	40	53					
12	Число выданных открепительных удостоверений	355	12	1	30	0	23	25	11	5	11	11	11	13	14	1	15	10	0	1	4	1	0	22	20	14	6	16	10	18	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	151	0	11	3	0	2	12	0	0	3	2	8	0	2	0	9	2	1	0	4	1	0	6	13	2	16	8	11	15	20					
14	Число неиспользованных открепительных удостоверений	234	6	11	0	5	0	4	4	0	4	4	14	4	11	7	10	0	8	4	12	4	5	3	0	1	34	24	30	22	3					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	344	10	7	7	3	7	19	10	11	8	11	31	0	25	1	6	2	0	1	10	5	1	40	12	14	14	32	18	16	23					
		3.58%	2.43%	3.26%	2.33%	8.33%	2.02%	3.61%	3.75%	28.95%	3.56%	4.17%	6.80%	0.00%	4.34%	1.28%	1.32%	2.90%	0.00%	2.44%	3.64%	11.63%	1.61%	6.50%	4.11%	4.27%	2.50%	5.13%	2.77%	2.31%	2.63%					
19	. Малышкин Олег Александрович	65	4	3	0	0	1	4	3	2	4	3	3	1	5	0	9	0	0	1	1	0	1	4	0	4	1	1	5	2	3					
		0.68%	0.97%	1.40%	0.00%	0.00%	0.29%	0.76%	1.12%	5.26%	1.78%	1.14%	0.66%	0.46%	0.87%	0.00%	1.97%	0.00%	0.00%	2.44%	0.36%	0.00%	1.61%	0.65%	0.00%	1.22%	0.18%	0.16%	0.77%	0.29%	0.34%					
20	. Миронов Сергей Михайлович	86	0	5	1	0	4	4	1	2	0	7	5	0	2	0	2	0	2	0	1	0	2	7	4	8	3	9	6	6	5					
		0.89%	0.00%	2.33%	0.33%	0.00%	1.15%	0.76%	0.37%	5.26%	0.00%	2.65%	1.10%	0.00%	0.35%	0.00%	0.44%	0.00%	2.82%	0.00%	0.36%	0.00%	3.23%	1.14%	1.37%	2.44%	0.54%	1.44%	0.92%	0.87%	0.57%					
21	. Путин Владимир Владимирович	6760	329	165	234	26	249	344	203	10	148	167	314	200	433	51	346	57	61	35	211	30	27	386	223	222	388	410	400	466	625					
		70.34%	80.05%	76.74%	77.74%	72.22%	71.76%	65.28%	76.03%	26.32%	65.78%	63.26%	68.86%	91.74%	75.17%	65.38%	75.88%	82.61%	85.92%	85.37%	76.73%	69.77%	43.55%	62.76%	76.37%	67.68%	69.29%	65.71%	61.63%	67.24%	71.51%					
22	. Хакамада Ирина Муцуовна	934	33	14	18	2	29	58	19	7	28	19	40	9	49	11	32	1	3	3	12	5	10	55	29	40	68	81	91	84	84					
		9.72%	8.03%	6.51%	5.98%	5.56%	8.36%	11.01%	7.12%	18.42%	12.44%	7.20%	8.77%	4.13%	8.51%	14.10%	7.02%	1.45%	4.23%	7.32%	4.36%	11.63%	16.13%	8.94%	9.93%	12.20%	12.14%	12.98%	14.02%	12.12%	9.61%					
23	. Харитонов Николай Михайлович	1211	30	15	36	4	48	93	25	4	31	45	51	6	50	15	56	9	5	1	34	3	21	109	20	32	68	83	97	106	114					
		12.60%	7.30%	6.98%	11.96%	11.11%	13.83%	17.65%	9.36%	10.53%	13.78%	17.05%	11.18%	2.75%	8.68%	19.23%	12.28%	13.04%	7.04%	2.44%	12.36%	6.98%	33.87%	17.72%	6.85%	9.76%	12.14%	13.30%	14.95%	15.30%	13.04%					
																																				
24	Против всех	129	5	3	2	1	8	2	3	2	5	7	7	0	7	0	5	0	0	0	2	0	0	3	1	4	13	5	22	8	14					
		1.34%	1.22%	1.40%	0.66%	2.78%	2.31%	0.38%	1.12%	5.26%	2.22%	2.65%	1.54%	0.00%	1.22%	0.00%	1.10%	0.00%	0.00%	0.00%	0.73%	0.00%	0.00%	0.49%	0.34%	1.22%	2.32%	0.80%	3.39%	1.15%	1.60%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
