Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Куединская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841					
21	. Путин Владимир Владимирович	10785	395	407	383	407	254	182	155	109	243	205	230	84	205	106	282	241	365	104	68	517	105	215	146	275	439	257	372	76	445	661	205	198	304	171	189	393	120	251	383	351	287					
		72.57%	65.83%	75.65%	69.64%	68.87%	63.66%	75.52%	73.11%	63.74%	76.66%	62.69%	80.42%	78.50%	67.66%	80.92%	75.81%	67.51%	68.87%	83.87%	64.15%	67.94%	68.63%	62.87%	70.19%	81.36%	68.49%	76.04%	78.98%	81.72%	87.08%	75.46%	85.77%	74.72%	73.97%	78.08%	74.70%	77.51%	80.00%	76.06%	67.08%	68.82%	69.66%					
22	. Хакамада Ирина Муцуовна	324	19	17	13	23	13	6	10	6	7	10	7	0	6	2	2	9	10	3	6	14	4	4	4	2	11	3	4	0	6	14	2	12	15	1	3	5	2	5	13	20	11					
		2.18%	3.17%	3.16%	2.36%	3.89%	3.26%	2.49%	4.72%	3.51%	2.21%	3.06%	2.45%	0.00%	1.98%	1.53%	0.54%	2.52%	1.89%	2.42%	5.66%	1.84%	2.61%	1.17%	1.92%	0.59%	1.72%	0.89%	0.85%	0.00%	1.17%	1.60%	0.84%	4.53%	3.65%	0.46%	1.19%	0.99%	1.33%	1.52%	2.28%	3.92%	2.67%					
23	. Харитонов Николай Михайлович	2332	130	61	87	100	91	33	25	47	36	69	29	15	54	13	63	59	128	11	21	162	28	32	36	40	116	40	65	9	34	102	24	40	55	31	41	72	13	44	115	91	70					
		15.69%	21.67%	11.34%	15.82%	16.92%	22.81%	13.69%	11.79%	27.49%	11.36%	21.10%	10.14%	14.02%	17.82%	9.92%	16.94%	16.53%	24.15%	8.87%	19.81%	21.29%	18.30%	9.36%	17.31%	11.83%	18.10%	11.83%	13.80%	9.68%	6.65%	11.64%	10.04%	15.09%	13.38%	14.16%	16.21%	14.20%	8.67%	13.33%	20.14%	17.84%	16.99%					
																																																
24	Против всех	235	17	13	14	20	9	5	4	1	5	15	0	0	10	2	5	5	5	2	1	10	2	2	0	2	5	6	3	0	5	16	0	2	6	0	1	4	0	2	18	11	7					
		1.58%	2.83%	2.42%	2.55%	3.38%	2.26%	2.07%	1.89%	0.58%	1.58%	4.59%	0.00%	0.00%	3.30%	1.53%	1.34%	1.40%	0.94%	1.61%	0.94%	1.31%	1.31%	0.58%	0.00%	0.59%	0.78%	1.78%	0.64%	0.00%	0.98%	1.83%	0.00%	0.75%	1.46%	0.00%	0.40%	0.79%	0.00%	0.61%	3.15%	2.16%	1.70%					
																																																
