Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Кривошеинский район																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501					
1	"Число избирателей, внесенных в список"	11447	1137	198	393	128	322	183	70	239	84	756	846	710	126	900	776	1264	859	854	333	153	419	378	319					
2	Число полученных избирательных бюллетеней	10585	1020	197	350	133	290	185	73	220	85	700	800	650	124	820	700	1150	800	800	300	158	380	350	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7123	818	165	256	111	223	119	64	145	75	393	456	391	95	492	496	757	472	491	243	99	291	245	226					
5	"Число избирательных бюллетеней, выданных вне помещения"	1167	78	13	36	4	48	31	5	27	8	92	107	100	22	72	73	55	159	72	30	18	26	62	29					
6	Число погашенных избирательных бюллетеней	2295	124	19	58	18	19	35	4	48	2	215	237	159	7	256	131	338	169	237	27	41	63	43	45					
7	Число избирательных бюллетеней в переносных ящиках	1167	78	13	36	4	48	31	5	27	8	92	107	100	22	72	73	55	159	72	30	18	26	62	29					
8	Число бюллетеней в стационарных ящиках для голосования	7119	818	165	256	111	223	119	64	145	75	393	455	391	95	491	496	756	472	491	243	99	291	244	226					
9	Число недействительных избирательных бюллетеней	52	8	2	5	0	0	0	0	1	0	1	3	3	0	6	7	4	0	3	3	0	4	1	1					
10	Число действительных избирательных бюллетеней	8234	888	176	287	115	271	150	69	171	83	484	559	488	117	557	562	807	631	560	270	117	313	305	254					
11	Число полученных открепительных  удостоверений	269	15	5	10	5	15	9	5	10	5	15	15	15	5	20	20	20	20	20	5	5	10	10	10					
12	Число выданных открепительных удостоверений	158	10	1	4	5	13	8	3	7	1	1	7	4	0	11	13	20	6	7	5	3	10	10	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	76	7	2	3	2	6	1	1	2	2	0	3	1	4	11	6	1	2	11	0	3	1	4	3					
