Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Шахунская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486					
1	"Число избирателей, внесенных в список"	34593	2264	2492	2193	2118	1990	1292	1135	1979	2209	1737	1805	944	861	2107	874	547	713	230	233	235	173	445	421	433	358	516	191	997	145	143	242	496	174	1095	233	474	99					
2	Число полученных избирательных бюллетеней	36680	2260	2500	2260	2150	2010	1320	1160	2050	2300	1960	1950	1050	1050	2310	960	670	860	240	250	240	180	500	460	470	400	560	220	1030	150	160	250	520	180	1150	240	550	110					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17709	1113	1253	1116	1195	1043	483	429	874	1113	734	825	429	407	1102	435	293	428	140	154	157	135	310	283	264	248	343	106	484	96	82	182	293	92	579	182	251	56					
5	"Число избирательных бюллетеней, выданных вне помещения"	2685	124	72	103	70	131	155	72	121	73	170	141	69	40	105	50	42	51	67	38	33	15	76	77	69	44	52	37	119	19	27	26	78	50	91	3	137	38					
6	Число погашенных избирательных бюллетеней	16286	1023	1175	1041	885	836	682	659	1055	1114	1056	984	552	603	1103	475	335	381	33	58	50	30	114	100	137	108	165	77	427	35	51	42	149	38	480	55	162	16					
7	Число избирательных бюллетеней в переносных ящиках	2685	124	72	103	70	131	155	72	121	73	170	141	69	40	105	50	42	51	67	38	33	15	76	77	69	44	52	37	119	19	27	26	78	50	91	3	137	38					
8	Число бюллетеней в стационарных ящиках для голосования	17709	1113	1253	1116	1195	1043	483	429	874	1113	734	825	429	407	1102	435	293	428	140	154	157	135	310	283	264	248	343	106	484	96	82	182	293	92	579	182	251	56					
9	Число недействительных избирательных бюллетеней	130	10	17	14	3	5	1	4	7	4	7	8	3	2	7	3	6	6	4	2	0	0	0	0	4	4	1	2	0	2	2	1	0	0	0	0	0	1					
10	Число действительных избирательных бюллетеней	20264	1227	1308	1205	1262	1169	637	497	988	1182	897	958	495	445	1200	482	329	473	203	190	190	150	386	360	329	288	394	141	603	113	107	207	371	142	670	185	388	93					
11	Число полученных открепительных  удостоверений	443	25	20	25	20	25	15	10	15	15	15	20	10	10	15	10	10	15	5	8	5	5	15	15	5	15	5	5	20	5	10	5	10	5	15	5	5	5					
12	Число выданных открепительных удостоверений	244	15	11	18	15	15	3	1	12	5	3	19	4	5	6	4	2	14	2	6	0	0	9	10	2	14	0	1	10	1	5	4	9	0	13	0	3	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	133	14	5	13	12	9	4	3	8	6	3	0	1	0	5	0	0	5	3	1	1	1	5	1	0	5	3	1	1	5	3	2	4	1	3	0	3	2					
14	Число неиспользованных открепительных удостоверений	199	10	9	7	5	10	12	9	3	10	12	1	6	5	9	6	8	1	3	2	5	5	6	5	3	1	5	4	10	4	5	1	1	5	2	5	2	2					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	588	49	61	50	37	38	26	12	25	29	20	15	16	11	60	8	7	16	1	5	6	1	11	4	16	13	2	6	11	0	2	3	6	0	13	4	1	3					
		2.88%	3.96%	4.60%	4.10%	2.92%	3.24%	4.08%	2.40%	2.51%	2.45%	2.21%	1.55%	3.21%	2.46%	4.97%	1.65%	2.09%	3.34%	0.48%	2.60%	3.16%	0.67%	2.85%	1.11%	4.80%	4.45%	0.51%	4.20%	1.82%	0.00%	1.83%	1.44%	1.62%	0.00%	1.94%	2.16%	0.26%	3.19%					
19	. Малышкин Олег Александрович	662	39	30	35	36	56	19	21	46	52	24	20	9	10	35	13	18	12	3	6	3	3	5	12	15	13	10	8	24	2	4	5	9	5	24	10	18	8					
		3.25%	3.15%	2.26%	2.87%	2.85%	4.77%	2.98%	4.19%	4.62%	4.38%	2.65%	2.07%	1.81%	2.24%	2.90%	2.68%	5.37%	2.51%	1.45%	3.12%	1.58%	2.00%	1.30%	3.33%	4.50%	4.45%	2.53%	5.59%	3.98%	1.74%	3.67%	2.40%	2.43%	3.52%	3.58%	5.41%	4.64%	8.51%					
20	. Миронов Сергей Михайлович	185	12	18	13	10	15	6	3	8	7	7	14	4	2	13	7	2	8	0	0	0	0	2	2	1	5	1	2	7	1	0	2	5	0	6	0	2	0					
		0.91%	0.97%	1.36%	1.07%	0.79%	1.28%	0.94%	0.60%	0.80%	0.59%	0.77%	1.45%	0.80%	0.45%	1.08%	1.44%	0.60%	1.67%	0.00%	0.00%	0.00%	0.00%	0.52%	0.56%	0.30%	1.71%	0.25%	1.40%	1.16%	0.87%	0.00%	0.96%	1.35%	0.00%	0.90%	0.00%	0.52%	0.00%					
21	. Путин Владимир Владимирович	14223	823	856	807	840	798	473	309	702	827	669	681	338	318	714	364	254	331	171	154	142	130	343	252	236	174	320	97	424	94	88	169	256	108	467	136	306	52					
		69.74%	66.53%	64.60%	66.20%	66.40%	67.97%	74.14%	61.68%	70.55%	69.73%	74.00%	70.50%	67.87%	71.14%	59.15%	75.05%	75.82%	69.10%	82.61%	80.21%	74.74%	86.67%	88.86%	70.00%	70.87%	59.59%	81.01%	67.83%	70.32%	81.74%	80.73%	81.25%	69.00%	76.06%	69.70%	73.51%	78.87%	55.32%					
22	. Хакамада Ирина Муцуовна	486	41	41	36	46	36	13	19	49	35	13	12	7	16	17	9	1	5	5	4	7	0	5	7	5	7	2	4	9	0	3	3	8	4	10	3	2	2					
		2.38%	3.31%	3.09%	2.95%	3.64%	3.07%	2.04%	3.79%	4.92%	2.95%	1.44%	1.24%	1.41%	3.58%	1.41%	1.86%	0.30%	1.04%	2.42%	2.08%	3.68%	0.00%	1.30%	1.94%	1.50%	2.40%	0.51%	2.80%	1.49%	0.00%	2.75%	1.44%	2.16%	2.82%	1.49%	1.62%	0.52%	2.13%					
23	. Харитонов Николай Михайлович	3631	217	266	225	255	189	86	125	131	204	144	188	106	75	317	77	45	93	21	20	29	13	19	66	54	68	57	23	122	12	9	25	80	25	142	27	54	22					
