Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Трубчевская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115					
		0.83%	0.94%	0.85%	0.69%	1.29%	0.87%	0.32%	0.32%	1.23%	1.17%	1.05%	1.13%	0.50%	0.00%	1.28%	0.69%	0.28%	0.19%	0.73%	2.99%	1.61%	0.47%	0.00%	1.17%	1.03%	0.69%	0.79%	1.01%	0.91%	0.80%	0.82%	0.33%	0.26%	0.00%	0.34%	3.39%	0.80%	0.59%	0.00%	0.43%	1.76%	0.36%	0.78%	1.89%	0.00%					
21	. Путин Владимир Владимирович	11189	458	378	732	655	623	340	201	438	496	488	439	299	16	311	359	215	399	481	72	44	201	100	128	64	96	63	120	199	168	335	208	296	134	194	82	163	194	117	94	193	172	242	87	95					
		58.65%	53.95%	53.39%	56.35%	49.73%	53.94%	54.57%	64.42%	53.87%	52.88%	64.13%	55.08%	74.01%	32.65%	79.54%	62.00%	60.56%	77.63%	70.01%	53.73%	70.97%	47.41%	39.68%	49.81%	65.98%	32.99%	49.61%	60.30%	60.67%	66.93%	55.19%	68.42%	77.28%	68.37%	65.10%	69.49%	64.94%	56.89%	66.48%	40.69%	67.96%	61.65%	62.86%	82.08%	64.63%					
22	. Хакамада Ирина Муцуовна	311	15	25	31	47	21	9	9	10	12	17	9	6	1	5	4	4	3	7	1	1	5	3	2	3	6	3	9	6	1	7	1	1	1	2	1	3	2	1	6	2	2	4	0	3					
		1.63%	1.77%	3.53%	2.39%	3.57%	1.82%	1.44%	2.88%	1.23%	1.28%	2.23%	1.13%	1.49%	2.04%	1.28%	0.69%	1.13%	0.58%	1.02%	0.75%	1.61%	1.18%	1.19%	0.78%	3.09%	2.06%	2.36%	4.52%	1.83%	0.40%	1.15%	0.33%	0.26%	0.51%	0.67%	0.85%	1.20%	0.59%	0.57%	2.60%	0.70%	0.72%	1.04%	0.00%	2.04%					
23	. Харитонов Николай Михайлович	5934	262	227	421	465	391	194	80	278	337	203	251	69	25	52	168	110	91	159	51	15	192	128	114	29	166	53	60	102	57	212	71	64	55	74	27	71	126	56	124	64	82	110	11	37					
		31.10%	30.86%	32.06%	32.41%	35.31%	33.85%	31.14%	25.64%	34.19%	35.93%	26.68%	31.49%	17.08%	51.02%	13.30%	29.02%	30.99%	17.70%	23.14%	38.06%	24.19%	45.28%	50.79%	44.36%	29.90%	57.04%	41.73%	30.15%	31.10%	22.71%	34.93%	23.36%	16.71%	28.06%	24.83%	22.88%	28.29%	36.95%	31.82%	53.68%	22.54%	29.39%	28.57%	10.38%	25.17%					
																																																			
24	Против всех	409	31	19	40	39	27	32	5	29	28	9	29	9	1	4	13	9	4	2	0	0	4	6	1	0	7	2	0	7	4	14	0	1	1	7	0	2	4	0	0	6	3	9	0	1					
		2.14%	3.65%	2.68%	3.08%	2.96%	2.34%	5.14%	1.60%	3.57%	2.99%	1.18%	3.64%	2.23%	2.04%	1.02%	2.25%	2.54%	0.78%	0.29%	0.00%	0.00%	0.94%	2.38%	0.39%	0.00%	2.41%	1.57%	0.00%	2.13%	1.59%	2.31%	0.00%	0.26%	0.51%	2.35%	0.00%	0.80%	1.17%	0.00%	0.00%	2.11%	1.08%	2.34%	0.00%	0.68%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
