Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Становлянская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750					
1	"Число избирателей, внесенных в список"	15004	2620	1254	394	543	473	393	498	122	386	459	453	661	230	582	374	572	313	503	489	172	259	172	484	582	594	446	430	227	319					
2	Число полученных избирательных бюллетеней	14470	2496	1194	388	521	437	378	482	138	370	447	452	624	212	564	374	554	298	490	470	173	252	163	474	552	571	442	416	226	312					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8764	1511	678	268	374	291	275	332	81	257	314	251	334	137	384	191	281	169	292	274	64	129	117	281	327	395	186	238	167	166					
5	"Число избирательных бюллетеней, выданных вне помещения"	3235	218	69	44	12	103	48	104	24	78	114	143	214	52	139	150	199	105	143	119	88	85	27	172	191	135	195	111	31	122					
6	Число погашенных избирательных бюллетеней	2471	767	447	76	135	43	55	46	33	35	19	58	76	23	41	33	74	24	55	77	21	38	19	21	34	41	61	67	28	24					
7	Число избирательных бюллетеней в переносных ящиках	3235	218	69	44	12	103	48	104	24	78	114	143	214	52	139	150	199	105	143	119	88	85	27	172	191	135	195	111	31	122					
8	Число бюллетеней в стационарных ящиках для голосования	8761	1510	678	268	374	291	275	331	81	257	314	251	334	136	384	191	281	169	292	274	64	129	117	281	327	395	186	238	167	166					
9	Число недействительных избирательных бюллетеней	133	12	9	3	4	6	5	6	3	3	2	1	7	4	5	3	8	7	3	5	0	1	2	5	5	7	6	6	5	0					
10	Число действительных избирательных бюллетеней	11863	1716	738	309	382	388	318	429	102	332	426	393	541	184	518	338	472	267	432	388	152	213	142	448	513	523	375	343	193	288					
11	Число полученных открепительных  удостоверений	380	100	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	50	29	3	2	0	1	0	4	0	2	0	1	1	3	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	68	9	3	1	0	1	0	1	1	5	1	1	1	2	3	4	1	0	2	1	0	3	2	7	6	4	1	5	2	1					
14	Число неиспользованных открепительных удостоверений	330	71	7	8	10	9	10	6	10	8	10	9	9	7	10	10	10	10	10	9	10	8	10	10	10	10	10	9	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	274	61	25	9	17	7	3	5	2	7	8	5	18	1	13	3	9	8	3	11	0	4	4	2	8	8	7	15	8	3					
		2.28%	3.53%	3.35%	2.88%	4.40%	1.78%	0.93%	1.15%	1.90%	2.09%	1.87%	1.27%	3.28%	0.53%	2.49%	0.88%	1.88%	2.92%	0.69%	2.80%	0.00%	1.87%	2.78%	0.44%	1.54%	1.51%	1.84%	4.30%	4.04%	1.04%					
19	. Малышкин Олег Александрович	312	43	30	9	12	13	9	20	1	12	8	7	9	2	5	9	10	10	6	9	3	6	9	10	10	15	8	18	1	8					
		2.60%	2.49%	4.02%	2.88%	3.11%	3.30%	2.79%	4.60%	0.95%	3.58%	1.87%	1.78%	1.64%	1.06%	0.96%	2.64%	2.08%	3.65%	1.38%	2.29%	1.97%	2.80%	6.25%	2.21%	1.93%	2.83%	2.10%	5.16%	0.51%	2.78%					
20	. Миронов Сергей Михайлович	88	14	5	3	2	4	2	6	0	3	2	2	4	0	1	2	2	3	3	2	2	3	2	4	3	3	0	4	3	4					
		0.73%	0.81%	0.67%	0.96%	0.52%	1.02%	0.62%	1.38%	0.00%	0.90%	0.47%	0.51%	0.73%	0.00%	0.19%	0.59%	0.42%	1.09%	0.69%	0.51%	1.32%	1.40%	1.39%	0.88%	0.58%	0.57%	0.00%	1.15%	1.52%	1.39%					
21	. Путин Владимир Владимирович	7416	1096	451	187	259	251	184	286	65	225	297	282	267	103	289	206	250	134	231	234	111	137	98	277	384	387	263	196	83	183					
		61.82%	63.43%	60.37%	59.94%	67.10%	63.71%	56.97%	65.75%	61.90%	67.16%	69.39%	71.57%	48.72%	54.79%	55.26%	60.41%	52.08%	48.91%	53.10%	59.54%	73.03%	64.02%	68.06%	61.15%	74.13%	73.02%	69.03%	56.16%	41.92%	63.54%					
22	. Хакамада Ирина Муцуовна	191	47	18	4	7	5	7	4	2	4	3	4	10	0	9	3	4	3	7	5	2	4	5	7	2	9	2	2	4	8					
		1.59%	2.72%	2.41%	1.28%	1.81%	1.27%	2.17%	0.92%	1.90%	1.19%	0.70%	1.02%	1.82%	0.00%	1.72%	0.88%	0.83%	1.09%	1.61%	1.27%	1.32%	1.87%	3.47%	1.55%	0.39%	1.70%	0.52%	0.57%	2.02%	2.78%					
23	. Харитонов Николай Михайлович	3303	387	182	91	76	100	105	100	31	75	105	73	222	77	198	106	188	95	175	119	33	57	21	141	97	93	89	98	88	81					
		27.53%	22.40%	24.36%	29.17%	19.69%	25.38%	32.51%	22.99%	29.52%	22.39%	24.53%	18.53%	40.51%	40.96%	37.86%	31.09%	39.17%	34.67%	40.23%	30.28%	21.71%	26.64%	14.58%	31.13%	18.73%	17.55%	23.36%	28.08%	44.44%	28.12%					
																																				
24	Против всех	279	68	27	6	9	8	8	8	1	6	3	20	11	1	3	9	9	14	7	8	1	2	3	7	9	8	6	10	6	1					
		2.33%	3.94%	3.61%	1.92%	2.33%	2.03%	2.48%	1.84%	0.95%	1.79%	0.70%	5.08%	2.01%	0.53%	0.57%	2.64%	1.88%	5.11%	1.61%	2.04%	0.66%	0.93%	2.08%	1.55%	1.74%	1.51%	1.57%	2.87%	3.03%	0.35%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
