Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Ботлихская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184					
		0.07%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.04%	0.08%	0.00%	0.39%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.66%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	1.12%	0.22%					
21	. Путин Владимир Владимирович	24545	71	612	276	1980	100	25	683	1687	83	33	203	189	2226	1189	1408	249	38	1293	275	1250	32	42	93	486	230	303	152	33	900	1415	268	37	730	1429	391	129	240	1565	343	355	208	110	732	69	383					
		97.57%	98.61%	98.71%	92.00%	99.25%	99.01%	100.00%	99.27%	98.42%	76.85%	100.00%	94.42%	94.50%	98.98%	98.59%	96.70%	96.51%	100.00%	99.54%	98.21%	97.13%	94.12%	100.00%	95.88%	99.59%	100.00%	98.70%	95.00%	100.00%	100.00%	97.52%	98.17%	100.00%	95.67%	99.31%	97.99%	95.56%	95.62%	95.25%	93.97%	100.00%	94.55%	100.00%	98.52%	77.53%	85.30%					
22	. Хакамада Ирина Муцуовна	38	0	0	0	2	0	0	0	1	4	0	0	0	2	3	8	0	0	0	0	2	0	0	0	0	0	0	1	0	0	4	1	0	1	1	0	0	0	1	0	0	0	0	1	0	6					
		0.15%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.06%	3.70%	0.00%	0.00%	0.00%	0.09%	0.25%	0.55%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.28%	0.37%	0.00%	0.13%	0.07%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	1.34%					
23	. Харитонов Николай Михайлович	341	1	5	24	3	1	0	5	12	16	0	9	9	5	5	28	6	0	6	5	14	2	0	0	2	0	2	5	0	0	12	3	0	13	4	5	6	11	66	11	0	10	0	6	19	10					
		1.36%	1.39%	0.81%	8.00%	0.15%	0.99%	0.00%	0.73%	0.70%	14.81%	0.00%	4.19%	4.50%	0.22%	0.41%	1.92%	2.33%	0.00%	0.46%	1.79%	1.09%	5.88%	0.00%	0.00%	0.41%	0.00%	0.65%	3.12%	0.00%	0.00%	0.83%	1.10%	0.00%	1.70%	0.28%	1.25%	4.44%	4.38%	4.02%	3.01%	0.00%	4.55%	0.00%	0.81%	21.35%	2.23%					
																																																				
24	Против всех	42	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	4	0	0	1	0	0	0	4	0	0	5	0	0	0	0	8	0	0	0	0	0	0	14					
		0.17%	0.00%	0.16%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.12%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.12%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
