7	Число избирательных бюллетеней в переносных ящиках для голосования	2308	9	4	43	9	124	14	13	47	16	23	7	2	2	16	5	20	26	17	21	9	22	17	18	20	18	14	5	7	46	13	18	10	15	10	10	183	15	7	3	6	4	19	13	11	14	5	5	4	6	8	7	9	5	30	8	32	18	100	29	15	15	12	10	18	21	12	110	184	17	20	19	14	28	9	18	11	10	1	8	12	9	10	4	15	12	12	8	8	32	32	9	0	4	5	8	5	24	11	6	4	10	46	16	9	2	12	162	4	4	9	2	6	2	7	1	5	1	2	2	4	1	3	5									
8	Число бюллетеней в стационарных ящиках для голосования	171910	1485	2006	1794	1747	1277	1289	1177	1599	1236	1587	1329	1379	1254	1545	1078	1568	1310	1574	1576	1474	1673	1214	1339	1527	1300	1437	1448	1434	1697	1814	1606	1570	1728	1918	1347	1609	1730	1364	1360	1526	1605	1214	1649	1416	1808	1881	1522	1035	1552	1355	1694	1546	1857	1407	1752	1525	1461	1541	1471	1246	1397	1581	1442	1385	1771	1670	1899	1868	1817	1783	1293	1255	1322	1253	1088	1751	1651	1512	1644	1288	1255	1710	1561	1490	1645	1420	1566	1949	1418	942	1043	270	804	750	665	1545	1379	1537	1053	1384	1358	1314	1582	1264	1176	775	829	1627	1086	1302	1319	1251	1333	1644	1143	1183	762	504	652	901	434	1148	805									
9	Число недействительных избирательных бюллетеней	1840	16	29	17	17	11	14	17	14	21	12	14	17	11	16	14	22	6	13	16	14	15	10	13	11	18	7	15	19	15	14	15	12	18	18	14	16	16	17	16	12	12	9	22	22	26	15	18	11	15	11	11	17	19	8	16	22	11	21	21	15	18	18	21	16	16	22	19	26	12	23	14	10	7	12	12	25	19	11	13	4	23	10	23	25	20	20	18	20	17	12	10	3	6	12	6	14	21	18	13	13	11	17	21	10	13	11	15	16	11	19	10	11	21	22	7	15	12	5	11	11	0	14	11									
10	Число действительных избирательных бюллетеней	172378	1478	1981	1820	1739	1390	1289	1173	1632	1231	1598	1322	1364	1245	1545	1069	1566	1330	1578	1581	1469	1680	1221	1344	1536	1300	1444	1438	1422	1728	1813	1609	1568	1725	1910	1343	1776	1729	1354	1347	1520	1597	1224	1640	1405	1796	1871	1509	1028	1543	1352	1690	1538	1843	1429	1744	1535	1468	1620	1479	1246	1394	1575	1431	1387	1776	1660	1990	2026	1822	1780	1298	1259	1343	1250	1094	1737	1642	1502	1639	1296	1241	1710	1542	1480	1637	1412	1556	1937	1433	962	1042	267	802	743	667	1536	1382	1530	1046	1375	1357	1343	1577	1263	1165	776	976	1615	1079	1292	1311	1246	1314	1629	1137	1173	751	501	643	894	435	1137	799									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																																						
13	Бабурин Сергей Николаевич	910	8	4	7	3	8	7	4	9	7	12	12	8	5	17	7	11	7	8	14	5	3	10	2	10	9	8	4	10	8	15	8	8	13	12	6	12	5	4	6	4	6	9	10	3	4	11	5	3	6	6	6	17	8	5	9	9	12	7	5	6	4	8	8	8	3	10	17	15	9	13	7	4	7	7	5	7	7	5	7	8	11	16	12	8	3	9	10	8	7	11	5	0	5	6	5	10	2	6	11	10	8	5	13	6	3	1	9	12	4	3	6	5	9	8	7	8	2	2	5	2	3	3	5									
		0.52%	0.54%	0.20%	0.38%	0.17%	0.57%	0.54%	0.34%	0.55%	0.56%	0.75%	0.90%	0.58%	0.40%	1.09%	0.65%	0.69%	0.52%	0.50%	0.88%	0.34%	0.18%	0.81%	0.15%	0.65%	0.68%	0.55%	0.28%	0.69%	0.46%	0.82%	0.49%	0.51%	0.75%	0.62%	0.44%	0.67%	0.29%	0.29%	0.44%	0.26%	0.37%	0.73%	0.60%	0.21%	0.22%	0.58%	0.33%	0.29%	0.39%	0.44%	0.35%	1.09%	0.43%	0.35%	0.51%	0.58%	0.81%	0.43%	0.33%	0.48%	0.28%	0.50%	0.55%	0.57%	0.17%	0.59%	0.85%	0.73%	0.49%	0.72%	0.53%	0.32%	0.52%	0.55%	0.45%	0.40%	0.42%	0.33%	0.42%	0.62%	0.87%	0.93%	0.77%	0.53%	0.18%	0.63%	0.64%	0.41%	0.48%	1.13%	0.48%	0.00%	0.62%	0.79%	0.74%	0.65%	0.14%	0.39%	1.04%	0.72%	0.58%	0.37%	0.81%	0.47%	0.25%	0.13%	0.91%	0.74%	0.37%	0.23%	0.45%	0.40%	0.67%	0.48%	0.61%	0.67%	0.26%	0.40%	0.76%	0.22%	0.69%	0.26%	0.62%									
14	Грудинин Павел Николаевич	19318	185	222	247	173	137	138	132	201	178	192	156	184	140	142	157	183	121	142	162	193	172	146	141	195	146	157	165	170	167	195	176	187	159	176	193	182	190	179	156	164	187	179	173	153	197	234	192	125	150	116	189	190	190	115	188	160	123	159	138	123	147	147	122	132	209	147	179	211	176	176	146	108	129	128	95	185	182	177	170	105	131	187	185	151	209	115	181	222	138	104	97	28	92	136	77	220	196	152	108	176	130	144	178	131	186	95	100	218	121	139	246	133	204	189	117	149	98	90	119	108	65	175	125									
		11.09%	12.38%	11.04%	13.45%	9.85%	9.78%	10.59%	11.09%	12.21%	14.22%	11.93%	11.68%	13.32%	11.15%	9.10%	14.50%	11.52%	9.06%	8.93%	10.14%	13.01%	10.15%	11.86%	10.39%	12.61%	11.08%	10.82%	11.36%	11.80%	9.58%	10.67%	10.84%	11.84%	9.12%	9.13%	14.22%	10.16%	10.89%	13.06%	11.45%	10.70%	11.62%	14.52%	10.41%	10.72%	10.81%	12.41%	12.57%	12.03%	9.63%	8.51%	11.11%	12.22%	10.20%	8.00%	10.68%	10.28%	8.32%	9.69%	9.20%	9.75%	10.41%	9.23%	8.40%	9.41%	11.66%	8.74%	8.91%	10.28%	9.60%	9.76%	11.13%	8.51%	9.56%	10.14%	8.59%	10.50%	10.96%	11.70%	10.29%	8.08%	10.36%	10.87%	11.82%	10.03%	12.61%	8.03%	11.50%	11.34%	9.52%	10.68%	9.22%	10.37%	11.39%	18.01%	11.44%	14.19%	13.97%	9.82%	10.20%	12.68%	9.50%	10.59%	11.14%	10.29%	15.79%	12.07%	10.09%	13.37%	11.10%	10.60%	18.62%	10.58%	15.28%	11.45%	10.23%	12.54%	12.84%	17.79%	18.20%	11.93%	14.94%	15.20%	15.43%									
15	Жириновский Владимир Вольфович	10798	87	130	106	83	74	79	59	108	77	73	87	85	53	87	54	87	72	80	83	87	115	76	89	88	82	71	92	88	121	109	93	89	106	98	95	129	127	96	118	87	91	86	90	91	126	104	96	80	88	76	100	71	94	93	82	88	93	98	99	83	88	89	74	89	122	119	126	118	131	110	81	66	84	72	55	117	105	87	115	72	82	116	109	97	119	113	103	120	104	65	92	29	81	52	44	100	85	106	69	80	94	80	121	73	58	50	70	93	51	106	86	99	83	107	65	91	49	26	40	59	28	75	59									
		6.20%	5.82%	6.47%	5.77%	4.73%	5.28%	6.06%	4.96%	6.56%	6.15%	4.53%	6.51%	6.15%	4.22%	5.57%	4.99%	5.48%	5.39%	5.03%	5.20%	5.87%	6.78%	6.17%	6.56%	5.69%	6.22%	4.89%	6.33%	6.11%	6.94%	5.97%	5.73%	5.63%	6.08%	5.08%	7.00%	7.20%	7.28%	7.00%	8.66%	5.68%	5.66%	6.97%	5.42%	6.38%	6.92%	5.51%	6.29%	7.70%	5.65%	5.58%	5.88%	4.57%	5.05%	6.47%	4.66%	5.65%	6.29%	5.97%	6.60%	6.58%	6.23%	5.59%	5.10%	6.34%	6.81%	7.07%	6.27%	5.75%	7.14%	6.10%	6.17%	5.20%	6.22%	5.71%	4.97%	6.64%	6.32%	5.75%	6.96%	5.54%	6.49%	6.74%	6.96%	6.45%	7.18%	7.89%	6.54%	6.13%	7.17%	6.67%	8.75%	10.74%	10.02%	6.89%	6.54%	6.45%	6.06%	6.85%	6.52%	5.76%	6.87%	5.88%	7.57%	5.73%	4.92%	6.35%	7.06%	5.70%	4.68%	8.09%	6.51%	7.88%	6.22%	6.48%	5.68%	7.66%	6.42%	5.14%	6.12%	6.52%	6.44%	6.52%	7.28%									
16	Путин Владимир Владимирович	134834	1123	1531	1397	1393	1129	1017	927	1248	942	1266	1012	1043	1014	1228	825	1207	1075	1271	1261	1134	1314	938	1052	1198	1024	1160	1133	1098	1357	1404	1250	1226	1380	1543	1000	1392	1353	1043	1018	1193	1258	912	1308	1108	1425	1450	1149	777	1229	1108	1332	1202	1463	1145	1370	1217	1182	1286	1191	995	1105	1270	1161	1105	1383	1312	1572	1578	1427	1397	1018	1037	1084	1008	907	1371	1290	1171	1286	1077	959	1327	1180	1176	1215	1121	1203	1511	1137	763	828	205	599	526	518	1171	1057	1220	815	1052	1077	1075	1211	1017	870	608	765	1241	850	992	940	968	974	1231	899	888	578	371	460	695	326	851	579									
		77.39%	75.17%	76.17%	76.05%	79.33%	80.59%	78.05%	77.90%	75.82%	75.24%	78.63%	75.75%	75.52%	80.73%	78.67%	76.18%	76.01%	80.46%	79.89%	78.96%	76.47%	77.52%	76.20%	77.52%	77.44%	77.69%	79.94%	77.98%	76.20%	77.85%	76.85%	76.97%	77.59%	79.17%	80.03%	73.69%	77.68%	77.54%	76.08%	74.69%	77.87%	78.19%	73.97%	78.70%	77.65%	78.21%	76.88%	75.25%	74.78%	78.88%	81.29%	78.31%	77.30%	78.57%	79.68%	77.84%	78.16%	79.92%	78.37%	79.40%	78.91%	78.26%	79.72%	79.96%	78.76%	77.18%	78.00%	78.25%	76.90%	77.81%	77.48%	77.59%	81.72%	80.30%	79.87%	82.01%	77.81%	77.66%	77.40%	77.85%	82.85%	75.87%	77.15%	75.40%	78.14%	73.33%	78.28%	76.43%	77.21%	78.41%	78.34%	78.71%	75.93%	74.13%	69.67%	76.97%	75.55%	75.34%	78.81%	76.96%	75.79%	78.73%	79.04%	75.78%	79.89%	73.85%	77.26%	77.19%	76.09%	77.98%	75.67%	71.16%	77.01%	72.96%	74.56%	78.58%	74.75%	75.75%	73.32%	70.34%	76.80%	74.94%	73.94%	71.48%									
17	Собчак Ксения Анатольевна	3125	35	40	30	38	22	21	28	24	14	27	25	25	16	35	15	44	18	43	33	23	39	23	29	18	13	21	24	29	33	46	41	30	33	35	24	33	22	12	22	33	27	21	31	24	28	37	39	25	28	23	29	25	46	31	41	25	28	35	19	17	22	25	31	23	23	40	45	52	43	51	22	17	12	12	18	32	23	32	29	14	25	28	30	22	47	26	30	33	19	10	9	2	11	10	8	16	23	27	14	26	18	15	27	16	24	11	13	28	28	24	21	17	24	54	28	15	14	5	9	16	7	15	19									
		1.79%	2.34%	1.99%	1.63%	2.16%	1.57%	1.61%	2.35%	1.46%	1.12%	1.68%	1.87%	1.81%	1.27%	2.24%	1.39%	2.77%	1.35%	2.70%	2.07%	1.55%	2.30%	1.87%	2.14%	1.16%	0.99%	1.45%	1.65%	2.01%	1.89%	2.52%	2.52%	1.90%	1.89%	1.82%	1.77%	1.84%	1.26%	0.88%	1.61%	2.15%	1.68%	1.70%	1.87%	1.68%	1.54%	1.96%	2.55%	2.41%	1.80%	1.69%	1.70%	1.61%	2.47%	2.16%	2.33%	1.61%	1.89%	2.13%	1.27%	1.35%	1.56%	1.57%	2.13%	1.64%	1.28%	2.38%	2.24%	2.53%	2.34%	2.83%	1.68%	1.34%	0.89%	0.95%	1.63%	1.82%	1.38%	2.12%	1.76%	1.08%	1.98%	1.63%	1.92%	1.46%	2.84%	1.82%	1.91%	1.69%	1.31%	1.03%	0.86%	0.74%	1.36%	1.32%	1.19%	1.03%	1.64%	1.74%	1.32%	1.87%	1.32%	1.10%	1.69%	1.26%	2.04%	1.40%	1.31%	1.72%	2.57%	1.83%	1.59%	1.35%	1.80%	3.27%	2.45%	1.26%	1.83%	0.99%	1.38%	1.77%	1.61%	1.30%	2.35%									
18	Сурайкин Максим Александрович	878	11	9	15	10	3	4	6	9	5	5	11	5	7	7	2	7	6	6	6	7	13	7	10	10	8	3	4	11	13	15	14	8	10	15	6	5	15	6	7	11	2	4	2	10	5	6	6	3	11	7	7	11	4	9	6	5	7	8	10	7	3	6	8	17	2	7	12	9	5	5	4	5	8	5	4	7	12	7	10	5	7	5	4	11	17	5	6	6	9	2	7	2	7	8	7	9	6	6	13	7	7	9	16	4	9	4	5	9	3	4	5	9	5	9	6	7	2	1	4	5	0	4	4									
		0.50%	0.74%	0.45%	0.82%	0.57%	0.21%	0.31%	0.50%	0.55%	0.40%	0.31%	0.82%	0.36%	0.56%	0.45%	0.18%	0.44%	0.45%	0.38%	0.38%	0.47%	0.77%	0.57%	0.74%	0.65%	0.61%	0.21%	0.28%	0.76%	0.75%	0.82%	0.86%	0.51%	0.57%	0.78%	0.44%	0.28%	0.86%	0.44%	0.51%	0.72%	0.12%	0.32%	0.12%	0.70%	0.27%	0.32%	0.39%	0.29%	0.71%	0.51%	0.41%	0.71%	0.21%	0.63%	0.34%	0.32%	0.47%	0.49%	0.67%	0.56%	0.21%	0.38%	0.55%	1.21%	0.11%	0.42%	0.60%	0.44%	0.27%	0.28%	0.30%	0.39%	0.59%	0.40%	0.36%	0.40%	0.72%	0.46%	0.61%	0.38%	0.55%	0.29%	0.26%	0.73%	1.03%	0.35%	0.38%	0.31%	0.62%	0.21%	0.67%	0.74%	0.87%	1.06%	1.04%	0.58%	0.43%	0.39%	1.23%	0.50%	0.51%	0.66%	1.00%	0.31%	0.76%	0.51%	0.50%	0.55%	0.28%	0.31%	0.38%	0.72%	0.37%	0.55%	0.52%	0.59%	0.26%	0.20%	0.61%	0.55%	0.00%	0.35%	0.49%									
19	Титов Борис Юрьевич	1179	9	21	5	19	4	6	10	13	3	7	11	8	6	10	3	13	17	11	10	12	17	11	7	9	14	15	7	7	14	17	13	10	8	18	6	11	10	9	6	15	11	9	14	4	7	16	12	4	18	8	13	9	20	13	24	13	12	16	7	4	13	18	13	8	12	9	14	21	13	14	13	12	10	8	6	6	7	10	9	10	10	10	10	7	10	7	9	13	13	3	1	1	3	3	5	1	7	7	9	14	13	8	8	5	8	1	7	9	8	17	3	7	6	12	5	6	5	3	4	8	2	5	4									
		0.68%	0.60%	1.04%	0.27%	1.08%	0.29%	0.46%	0.84%	0.79%	0.24%	0.43%	0.82%	0.58%	0.48%	0.64%	0.28%	0.82%	1.27%	0.69%	0.63%	0.81%	1.00%	0.89%	0.52%	0.58%	1.06%	1.03%	0.48%	0.49%	0.80%	0.93%	0.80%	0.63%	0.46%	0.93%	0.44%	0.61%	0.57%	0.66%	0.44%	0.98%	0.68%	0.73%	0.84%	0.28%	0.38%	0.85%	0.79%	0.38%	1.16%	0.59%	0.76%	0.58%	1.07%	0.90%	1.36%	0.83%	0.81%	0.98%	0.47%	0.32%	0.92%	1.13%	0.90%	0.57%	0.67%	0.54%	0.70%	1.02%	0.71%	0.78%	0.99%	0.95%	0.74%	0.63%	0.54%	0.34%	0.42%	0.66%	0.54%	0.77%	0.79%	0.58%	0.64%	0.47%	0.60%	0.49%	0.57%	0.66%	0.90%	0.31%	0.10%	0.37%	0.37%	0.40%	0.74%	0.06%	0.50%	0.45%	0.85%	1.01%	0.95%	0.59%	0.50%	0.39%	0.68%	0.13%	0.71%	0.55%	0.73%	1.30%	0.23%	0.56%	0.45%	0.73%	0.44%	0.51%	0.66%	0.59%	0.61%	0.88%	0.46%	0.43%	0.49%									
20	Явлинский Григорий Алексеевич	1336	20	24	13	20	13	17	7	20	5	16	8	6	4	19	6	14	14	17	12	8	7	10	14	8	4	9	9	9	15	12	14	10	16	13	13	12	7	5	14	13	15	4	12	12	4	13	10	11	13	8	14	13	18	18	24	18	11	11	10	11	12	12	14	5	22	16	25	22	18	14	7	10	9	10	4	12	16	13	13	5	16	21	12	8	17	16	14	24	6	4	3	0	4	2	3	9	6	6	7	10	10	7	3	11	7	6	7	5	14	7	4	8	9	19	10	9	3	3	2	1	4	9	4									
		0.77%	1.34%	1.19%	0.71%	1.14%	0.93%	1.30%	0.59%	1.22%	0.40%	0.99%	0.60%	0.43%	0.32%	1.22%	0.55%	0.88%	1.05%	1.07%	0.75%	0.54%	0.41%	0.81%	1.03%	0.52%	0.30%	0.62%	0.62%	0.62%	0.86%	0.66%	0.86%	0.63%	0.92%	0.67%	0.96%	0.67%	0.40%	0.36%	1.03%	0.85%	0.93%	0.32%	0.72%	0.84%	0.22%	0.69%	0.65%	1.06%	0.83%	0.59%	0.82%	0.84%	0.97%	1.25%	1.36%	1.16%	0.74%	0.67%	0.67%	0.87%	0.85%	0.75%	0.96%	0.36%	1.23%	0.95%	1.24%	1.07%	0.98%	0.78%	0.53%	0.79%	0.67%	0.79%	0.36%	0.68%	0.96%	0.86%	0.79%	0.38%	1.27%	1.22%	0.77%	0.53%	1.03%	1.12%	0.89%	1.23%	0.41%	0.41%	0.29%	0.00%	0.50%	0.26%	0.45%	0.58%	0.43%	0.39%	0.66%	0.72%	0.73%	0.51%	0.19%	0.86%	0.59%	0.76%	0.71%	0.31%	1.28%	0.53%	0.30%	0.64%	0.67%	1.15%	0.87%	0.76%	0.39%	0.59%	0.31%	0.11%	0.92%	0.78%	0.49%									
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
