Выборы Президента Российской Федерации																																																																																														
																																																																																														
Наименование Избирательной комиссии:    Сургутская городская																																																																																														
																																																																																														
Итоги голосования 																																																																																														
																																																																																														
		Сумма	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137	УИК  138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК  211					
14	Число неиспользованных открепительных удостоверений	1080	5	26	28	12	8	15	1	20	26	27	20	26	16	14	19	13	13	5	10	18	5	3	13	25	4	9	9	12	15	13	4	15	11	21	13	23	15	9	1	19	7	7	5	9	12	11	12	14	4	7	7	15	17	23	5	17	13	11	18	16	17	8	9	17	13	3	7	11	10	8	10	11	7	3	11	13	0	14	7	9	12	5	5	5	20	24	30					
15	"Число открепительных удостоверений, выданных в ТИК"	83	0	2	0	4	1	1	0	0	0	1	0	0	0	0	2	1	1	4	1	0	2	2	1	0	0	1	2	0	1	0	0	1	0	0	3	0	3	2	1	1	2	0	1	2	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	3	0	1	0	2	1	3	1	2	1	2	0	1	0	1	2	0	4	1	5	1	1	2	1	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																														
18	. Глазьев Сергей Юрьевич	3656	7	31	9	51	22	34	50	44	12	13	18	18	57	25	26	55	51	43	44	29	36	37	26	17	47	40	52	35	18	60	56	52	40	36	37	28	49	48	65	33	47	59	55	44	48	52	44	56	39	40	52	49	60	21	46	36	58	55	34	37	41	56	49	50	49	69	57	35	59	53	34	56	43	56	63	58	48	49	38	50	47	38	37	56	26	25	31					
		3.27%	2.27%	3.56%	1.57%	3.66%	1.56%	3.08%	3.36%	3.09%	2.46%	2.38%	2.48%	3.31%	3.34%	2.43%	2.93%	3.35%	3.28%	3.22%	3.33%	2.75%	2.68%	2.31%	1.94%	2.98%	3.55%	3.44%	3.32%	3.10%	2.41%	3.85%	3.66%	3.61%	3.32%	2.87%	2.58%	3.02%	3.58%	3.64%	4.05%	3.14%	2.88%	3.50%	3.33%	2.82%	3.07%	3.75%	3.66%	4.15%	2.54%	3.33%	3.24%	4.61%	4.87%	3.08%	3.25%	2.58%	4.43%	3.42%	2.51%	2.95%	3.80%	3.38%	3.66%	3.90%	3.48%	4.09%	3.54%	2.83%	3.67%	3.10%	3.12%	3.59%	2.88%	3.64%	3.83%	3.93%	3.75%	3.34%	2.53%	3.35%	3.27%	2.50%	3.07%	4.14%	2.18%	3.96%	5.25%					
19	. Малышкин Олег Александрович	3728	16	40	24	42	44	33	57	44	26	30	43	19	47	35	35	58	46	43	47	29	35	58	50	16	29	52	50	28	12	54	60	39	38	31	53	32	35	25	60	36	41	56	41	58	49	45	45	62	64	52	54	37	41	22	53	36	37	59	21	35	23	42	30	41	39	68	35	38	48	57	42	60	51	47	58	62	52	68	55	50	45	48	44	40	61	33	32					
		3.34%	5.18%	4.60%	4.19%	3.01%	3.11%	2.99%	3.83%	3.09%	5.33%	5.49%	5.91%	3.50%	2.75%	3.40%	3.95%	3.53%	2.96%	3.22%	3.56%	2.75%	2.60%	3.62%	3.72%	2.81%	2.19%	4.48%	3.19%	2.48%	1.61%	3.46%	3.92%	2.70%	3.15%	2.47%	3.70%	3.46%	2.56%	1.89%	3.74%	3.43%	2.51%	3.32%	2.48%	3.72%	3.13%	3.24%	3.75%	4.59%	4.17%	4.33%	3.37%	3.48%	3.33%	3.23%	3.74%	2.58%	2.83%	3.67%	1.55%	2.79%	2.13%	2.54%	2.24%	3.20%	2.77%	4.03%	2.18%	3.08%	2.99%	3.34%	3.86%	3.85%	3.42%	3.05%	3.53%	4.20%	4.06%	4.64%	3.66%	3.35%	3.13%	3.16%	3.65%	2.96%	5.12%	5.22%	5.41%					
20	. Миронов Сергей Михайлович	869	1	3	2	7	9	9	10	6	4	6	3	12	15	9	6	11	10	8	13	13	8	11	15	3	11	6	13	4	8	8	8	12	11	13	13	7	9	19	14	9	12	18	19	12	10	13	5	13	15	10	23	6	6	5	7	6	15	16	10	6	6	12	7	10	10	14	9	7	20	16	13	8	7	8	10	7	8	10	13	10	12	16	12	11	12	12	3					
		0.78%	0.32%	0.34%	0.35%	0.50%	0.64%	0.82%	0.67%	0.42%	0.82%	1.10%	0.41%	2.21%	0.88%	0.87%	0.68%	0.67%	0.64%	0.60%	0.98%	1.23%	0.60%	0.69%	1.12%	0.53%	0.83%	0.52%	0.83%	0.35%	1.07%	0.51%	0.52%	0.83%	0.91%	1.04%	0.91%	0.76%	0.66%	1.44%	0.87%	0.86%	0.74%	1.07%	1.15%	0.77%	0.64%	0.94%	0.42%	0.96%	0.98%	0.83%	1.43%	0.56%	0.49%	0.73%	0.49%	0.43%	1.15%	1.00%	0.74%	0.48%	0.56%	0.73%	0.52%	0.78%	0.71%	0.83%	0.56%	0.57%	1.24%	0.94%	1.19%	0.51%	0.47%	0.52%	0.61%	0.47%	0.62%	0.68%	0.86%	0.67%	0.84%	1.05%	1.00%	0.81%	1.01%	1.90%	0.51%					
21	. Путин Владимир Владимирович	83168	226	662	462	1084	1113	828	1130	1097	355	418	561	401	1239	775	665	1179	1155	999	972	798	1007	1213	1008	412	939	895	1156	837	560	1123	1107	1028	888	943	1053	682	1027	990	1170	749	1230	1254	1226	1187	1171	1033	916	1002	1154	889	1191	767	924	524	1066	1035	942	1173	1020	959	805	1271	1031	946	1021	1243	1157	903	1175	1259	812	1140	1112	1179	1264	1099	906	1107	1127	1114	1102	1139	921	1008	889	461	408					
		74.49%	73.14%	76.09%	80.63%	77.71%	78.77%	75.07%	75.99%	77.14%	72.75%	76.56%	77.17%	73.85%	72.58%	75.32%	75.06%	71.72%	74.28%	74.78%	73.52%	75.78%	74.93%	75.81%	75.06%	72.28%	70.87%	77.02%	73.72%	74.14%	75.07%	72.03%	72.35%	71.29%	73.69%	75.26%	73.53%	73.65%	75.13%	75.00%	72.90%	71.33%	75.41%	74.29%	74.26%	76.19%	74.82%	74.42%	76.27%	74.22%	75.18%	74.02%	74.25%	72.22%	75.06%	76.83%	75.23%	74.09%	72.02%	72.99%	75.33%	76.48%	74.54%	76.80%	76.94%	73.73%	72.51%	73.59%	71.95%	73.12%	73.07%	73.76%	74.63%	73.12%	74.53%	76.61%	76.93%	74.51%	70.78%	75.51%	74.98%	74.61%	76.74%	74.88%	76.37%	74.56%	74.64%	72.94%	69.04%					
