Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Пограничная																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839					
1	"Число избирателей, внесенных в список"	19232	2235	1644	2378	1213	2123	301	923	207	44	40	1147	126	105	543	652	278	59	1054	151	276	796	2809	128					
2	Число полученных избирательных бюллетеней	18670	2100	1600	2400	1250	2040	295	920	210	45	38	1030	125	100	520	660	270	68	1040	148	275	710	2700	126					
3	"Число избирательных бюллетеней, выданных  досрочно"	353	0	0	0	0	182	0	0	49	0	0	0	0	0	0	0	51	0	0	0	71	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13323	1407	1007	1363	770	1064	248	647	131	44	32	965	105	91	393	493	191	56	735	125	183	581	2573	119					
5	"Число избирательных бюллетеней, выданных вне помещения"	641	39	108	51	10	97	7	65	10	0	6	35	4	9	37	53	7	3	79	5	13	3	0	0					
6	Число погашенных избирательных бюллетеней	4353	654	485	986	470	697	40	208	20	1	0	30	16	0	90	114	21	9	226	18	8	126	127	7					
7	Число избирательных бюллетеней в переносных ящиках	994	39	108	51	10	279	7	65	59	0	6	35	4	9	37	53	58	3	79	5	84	3	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	13323	1407	1007	1363	770	1064	248	647	131	44	32	965	105	91	393	493	191	56	735	125	183	581	2573	119					
9	Число недействительных избирательных бюллетеней	190	16	19	20	9	26	5	23	7	0	0	8	3	1	9	1	4	0	16	1	1	5	16	0					
10	Число действительных избирательных бюллетеней	14127	1430	1096	1394	771	1317	250	689	183	44	38	992	106	99	421	545	245	59	798	129	266	579	2557	119					
11	Число полученных открепительных  удостоверений	456	35	35	41	34	36	5	18	4	5	0	15	0	0	17	22	10	0	15	0	13	25	121	5					
12	Число выданных открепительных удостоверений	382	33	30	34	28	18	5	18	4	0	0	15	0	0	17	18	5	0	14	0	11	23	106	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	398	87	18	14	2	98	1	3	1	1	3	88	3	4	8	4	4	2	10	2	3	20	22	0					
14	Число неиспользованных открепительных удостоверений	74	2	5	7	6	18	0	0	0	5	0	0	0	0	0	4	5	0	1	0	2	2	15	2					
15	"Число открепительных удостоверений, выданных в ТИК"	4	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	301	30	33	55	17	32	5	7	2	1	1	24	3	0	6	13	4	1	13	4	7	12	21	10					
		2.10%	2.07%	2.96%	3.89%	2.18%	2.38%	1.96%	0.98%	1.05%	2.27%	2.63%	2.40%	2.75%	0.00%	1.40%	2.38%	1.61%	1.69%	1.60%	3.08%	2.62%	2.05%	0.82%	8.40%					
19	. Малышкин Олег Александрович	415	63	36	27	11	42	14	27	5	0	4	26	3	11	11	23	6	3	34	3	7	23	32	4					
		2.90%	4.36%	3.23%	1.91%	1.41%	3.13%	5.49%	3.79%	2.63%	0.00%	10.53%	2.60%	2.75%	11.00%	2.56%	4.21%	2.41%	5.08%	4.18%	2.31%	2.62%	3.94%	1.24%	3.36%					
20	. Миронов Сергей Михайлович	85	6	8	11	4	10	3	4	1	0	0	5	0	0	4	5	4	0	6	0	1	1	10	2					
		0.59%	0.41%	0.72%	0.78%	0.51%	0.74%	1.18%	0.56%	0.53%	0.00%	0.00%	0.50%	0.00%	0.00%	0.93%	0.92%	1.61%	0.00%	0.74%	0.00%	0.37%	0.17%	0.39%	1.68%					
21	. Путин Владимир Владимирович	10996	1049	770	949	641	942	188	553	159	34	33	857	74	67	310	318	197	38	590	107	238	475	2316	91					
		76.80%	72.54%	69.06%	67.11%	82.18%	70.14%	73.73%	77.67%	83.68%	77.27%	86.84%	85.70%	67.89%	67.00%	72.09%	58.24%	79.12%	64.41%	72.48%	82.31%	89.14%	81.34%	90.01%	76.47%					
22	. Хакамада Ирина Муцуовна	406	54	50	48	13	41	2	18	3	1	0	12	4	4	14	12	2	3	24	4	3	12	79	3					
		2.84%	3.73%	4.48%	3.39%	1.67%	3.05%	0.78%	2.53%	1.58%	2.27%	0.00%	1.20%	3.67%	4.00%	3.26%	2.20%	0.80%	5.08%	2.95%	3.08%	1.12%	2.05%	3.07%	2.52%					
23	. Харитонов Николай Михайлович	1390	154	123	226	60	171	33	65	9	7	0	46	18	16	69	166	25	13	102	9	7	32	37	2					
		9.71%	10.65%	11.03%	15.98%	7.69%	12.73%	12.94%	9.13%	4.74%	15.91%	0.00%	4.60%	16.51%	16.00%	16.05%	30.40%	10.04%	22.03%	12.53%	6.92%	2.62%	5.48%	1.44%	1.68%					
																														
24	Против всех	534	74	76	78	25	79	5	15	4	1	0	22	4	1	7	8	7	1	29	2	3	24	62	7					
		3.73%	5.12%	6.82%	5.52%	3.21%	5.88%	1.96%	2.11%	2.11%	2.27%	0.00%	2.20%	3.67%	1.00%	1.63%	1.47%	2.81%	1.69%	3.56%	1.54%	1.12%	4.11%	2.41%	5.88%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
