Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Доволенская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189					
1	"Число избирателей, внесенных в список"	15563	788	59	461	123	912	1686	1509	109	1598	253	152	669	162	506	1107	83	252	125	212	205	880	169	770	132	695	448	537	196	553	212					
2	Число полученных избирательных бюллетеней	15732	750	61	460	125	850	1600	1500	125	1500	260	168	700	163	520	1100	89	280	139	240	240	880	178	880	163	760	470	570	201	550	210					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10183	513	56	405	101	484	886	782	94	814	228	98	451	111	390	788	68	220	105	167	193	488	138	644	106	419	321	409	124	396	184					
5	"Число избирательных бюллетеней, выданных вне помещения"	589	18	3	9	0	38	112	55	0	60	0	18	16	0	25	64	9	15	0	15	1	56	0	0	0	20	8	29	18	0	0					
6	Число погашенных избирательных бюллетеней	4960	219	2	46	24	328	602	663	31	626	32	52	233	52	105	248	12	45	34	58	46	336	40	236	57	321	141	132	59	154	26					
7	Число избирательных бюллетеней в переносных ящиках	589	18	3	9	0	38	112	55	0	60	0	18	16	0	25	64	9	15	0	15	1	56	0	0	0	20	8	29	18	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	10180	513	56	405	101	481	886	782	94	814	228	98	451	111	390	788	68	220	105	167	193	488	138	644	106	419	321	409	124	396	184					
9	Число недействительных избирательных бюллетеней	107	10	0	7	0	5	8	4	0	7	0	0	6	2	0	12	2	2	0	4	3	5	1	15	3	1	3	4	1	0	2					
10	Число действительных избирательных бюллетеней	10662	521	59	407	101	514	990	833	94	867	228	116	461	109	415	840	75	233	105	178	191	539	137	629	103	438	326	434	141	396	182					
11	Число полученных открепительных  удостоверений	240	12	5	12	5	10	13	13	5	13	5	5	12	5	8	11	5	9	1	5	5	12	5	10	5	10	8	8	8	10	5					
12	Число выданных открепительных удостоверений	42	0	0	0	0	0	10	6	0	4	0	0	0	0	1	1	4	9	0	1	1	1	0	0	0	0	2	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	53	0	1	3	0	32	2	5	0	0	0	0	2	0	1	0	0	2	1	1	1	1	0	0	0	0	1	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	198	12	5	12	5	10	3	7	5	9	5	5	12	5	7	10	1	0	1	4	4	11	5	10	5	10	6	8	6	10	5					
