Выборы Президента Российской Федерации																																								
																																								
Наименование Избирательной комиссии:    Магарамкентская																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК  887	УИК  888	УИК  889	УИК  890	УИК  891	УИК  892	УИК  893	УИК  894	УИК  895	УИК  896	УИК  897	УИК  898	УИК  899	УИК  900	Участок  №901	УИК  902	УИК  903	УИК  904	УИК  905	УИК  906	УИК  907	УИК  908	УИК  909	УИК  910	УИК  911	УИК  912	УИК  913	УИК  914	УИК  915	УИК  916	УИК  917	УИК  918	УИК  919					
11	Число полученных открепительных  удостоверений	499	5	15	9	8	5	18	19	19	20	19	3	18	27	16	39	13	27	25	4	5	7	13	4	15	20	17	8	11	26	14	29	14	7					
12	Число выданных открепительных удостоверений	7	0	2	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	492	5	13	9	8	4	17	19	19	20	19	3	18	27	16	36	13	27	25	4	5	7	13	4	15	20	17	8	11	26	14	29	14	7					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																								
18	. Глазьев Сергей Юрьевич	94	0	9	0	0	2	0	0	30	0	0	0	0	0	0	0	0	13	0	7	0	0	0	0	0	0	0	8	0	25	0	0	0	0					
		0.25%	0.00%	0.78%	0.00%	0.00%	0.52%	0.00%	0.00%	2.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	2.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.36%	0.00%	1.29%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	34319	314	948	610	526	349	1224	1271	1324	1417	1329	236	1382	1832	1056	2691	863	1948	1762	241	337	470	876	252	1100	1394	1185	556	733	1771	968	1962	922	470					
		91.60%	92.35%	82.43%	89.44%	89.91%	90.89%	92.03%	90.98%	91.00%	92.01%	92.94%	94.78%	94.98%	90.02%	91.03%	91.00%	89.80%	93.79%	94.02%	89.93%	91.58%	90.38%	91.73%	90.00%	98.83%	92.81%	91.58%	94.40%	89.39%	91.67%	90.81%	90.83%	90.39%	90.38%					
22	. Хакамада Ирина Муцуовна	168	4	0	0	0	2	106	0	0	0	0	0	0	23	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	25	0	0	0	0					
		0.45%	1.18%	0.00%	0.00%	0.00%	0.52%	7.97%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.13%	0.00%	0.00%	0.00%	0.34%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.29%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	2792	19	189	61	59	29	0	126	101	123	101	13	73	180	104	266	95	101	112	18	27	46	76	28	10	105	103	20	81	104	96	194	91	41					
		7.45%	5.59%	16.43%	8.94%	10.09%	7.55%	0.00%	9.02%	6.94%	7.99%	7.06%	5.22%	5.02%	8.85%	8.97%	9.00%	9.89%	4.86%	5.98%	6.72%	7.34%	8.85%	7.96%	10.00%	0.90%	6.99%	7.96%	3.40%	9.88%	5.38%	9.01%	8.98%	8.92%	7.88%					
																																								
24	Против всех	6	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0					
		0.02%	0.29%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
