Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Тымовская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213					
1	"Число избирателей, внесенных в список"	13969	1104	82	183	85	483	207	716	665	543	960	1512	994	562	865	1039	466	191	725	911	353	1116	207					
2	Число полученных избирательных бюллетеней	14355	1123	85	187	89	502	210	725	698	560	991	1590	1060	525	862	1089	477	201	752	911	353	1155	210					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7855	613	75	152	77	381	129	425	409	271	488	862	440	229	314	565	301	119	462	516	239	641	147					
5	"Число избирательных бюллетеней, выданных вне помещения"	549	65	4	8	0	9	5	13	70	20	28	32	20	70	47	27	24	13	15	18	7	54	0					
6	Число погашенных избирательных бюллетеней	5951	445	6	27	12	112	76	287	219	269	475	696	600	226	501	497	152	69	275	377	107	460	63					
7	Число избирательных бюллетеней в переносных ящиках	549	65	4	8	0	9	5	13	70	20	28	32	20	70	47	27	24	13	15	18	7	54	0					
8	Число бюллетеней в стационарных ящиках для голосования	7854	613	75	152	77	381	129	424	409	271	488	862	440	229	314	565	301	119	462	516	239	641	147					
9	Число недействительных избирательных бюллетеней	98	8	1	4	0	9	0	2	3	2	5	7	3	3	4	13	2	3	3	15	1	8	2					
10	Число действительных избирательных бюллетеней	8305	670	78	156	77	381	134	435	476	289	511	887	457	296	357	579	323	129	474	519	245	687	145					
11	Число полученных открепительных  удостоверений	216	15	1	5	10	7	5	9	15	10	18	20	12	10	10	14	7	5	8	10	5	15	5					
12	Число выданных открепительных удостоверений	182	15	0	1	6	7	0	9	15	1	18	20	12	10	3	14	5	5	8	8	5	15	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	98	17	1	0	5	2	1	2	5	2	15	16	3	5	0	9	2	2	0	5	2	4	0					
14	Число неиспользованных открепительных удостоверений	34	0	1	4	4	0	5	0	0	9	0	0	0	0	7	0	2	0	0	2	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	14	0	0	0	0	1	0	0	1	2	2	1	0	2	1	0	0	2	0	1	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	251	37	1	4	2	10	1	8	16	10	9	34	14	20	13	17	3	0	9	7	9	24	3					
		2.99%	5.46%	1.27%	2.50%	2.60%	2.56%	0.75%	1.83%	3.34%	3.44%	1.74%	3.80%	3.04%	6.69%	3.60%	2.87%	0.92%	0.00%	1.89%	1.31%	3.66%	3.45%	2.04%					
19	. Малышкин Олег Александрович	264	32	3	0	3	7	8	20	11	5	12	24	16	17	10	21	16	3	16	12	7	17	4					
		3.14%	4.72%	3.80%	0.00%	3.90%	1.79%	5.97%	4.58%	2.30%	1.72%	2.33%	2.68%	3.48%	5.69%	2.77%	3.55%	4.92%	2.27%	3.35%	2.25%	2.85%	2.45%	2.72%					
20	. Миронов Сергей Михайлович	71	10	1	1	3	6	0	1	1	2	6	4	3	3	1	9	0	1	2	4	0	7	6					
		0.84%	1.47%	1.27%	0.62%	3.90%	1.54%	0.00%	0.23%	0.21%	0.69%	1.16%	0.45%	0.65%	1.00%	0.28%	1.52%	0.00%	0.76%	0.42%	0.75%	0.00%	1.01%	4.08%					
21	. Путин Владимир Владимирович	5432	403	68	135	56	287	96	297	291	184	315	529	305	174	217	391	166	96	325	346	148	487	116					
		64.64%	59.44%	86.08%	84.38%	72.73%	73.59%	71.64%	67.96%	60.75%	63.23%	61.05%	59.17%	66.30%	58.19%	60.11%	66.05%	51.08%	72.73%	68.13%	64.79%	60.16%	70.07%	78.91%					
22	. Хакамада Ирина Муцуовна	279	24	1	6	5	7	3	7	5	25	27	38	18	17	11	26	8	3	11	10	9	18	0					
		3.32%	3.54%	1.27%	3.75%	6.49%	1.79%	2.24%	1.60%	1.04%	8.59%	5.23%	4.25%	3.91%	5.69%	3.05%	4.39%	2.46%	2.27%	2.31%	1.87%	3.66%	2.59%	0.00%					
23	. Харитонов Николай Михайлович	1646	136	2	7	3	48	22	84	128	59	112	208	82	49	92	90	124	21	94	116	49	106	14					
		19.59%	20.06%	2.53%	4.38%	3.90%	12.31%	16.42%	19.22%	26.72%	20.27%	21.71%	23.27%	17.83%	16.39%	25.48%	15.20%	38.15%	15.91%	19.71%	21.72%	19.92%	15.25%	9.52%					
																													
24	Против всех	362	28	2	3	5	16	4	18	24	4	30	50	19	16	13	25	6	5	17	24	23	28	2					
		4.31%	4.13%	2.53%	1.88%	6.49%	4.10%	2.99%	4.12%	5.01%	1.37%	5.81%	5.59%	4.13%	5.35%	3.60%	4.22%	1.85%	3.79%	3.56%	4.49%	9.35%	4.03%	1.36%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
