Выборы Президента Российской Федерации																																																																							
																																																																							
Наименование Избирательной комиссии:    Зианчуринская																																																																							
																																																																							
Итоги голосования 																																																																							
																																																																							
		Сумма	УИК №2292	УИК №2293	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355					
18	. Глазьев Сергей Юрьевич	28	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	1	2	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.15%	0.14%	0.84%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	2.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.09%	0.27%	0.00%	0.50%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	17	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
		0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.73%	0.00%	0.13%	0.00%	0.21%	0.00%	0.00%	2.94%	0.00%	0.00%	0.00%	0.00%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	1	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.40%	0.09%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	18694	723	118	91	283	280	117	124	86	277	83	135	198	136	905	227	234	69	223	463	172	68	361	42	338	138	297	78	160	388	191	305	306	164	187	178	145	160	109	132	250	1139	1045	740	123	1342	108	432	32	298	139	92	446	548	136	496	510	211	90	614	123	70	91	73	855					
		97.97%	98.64%	99.16%	98.91%	99.30%	100.00%	99.15%	96.88%	98.85%	98.23%	98.81%	99.26%	99.00%	99.27%	98.91%	99.13%	99.57%	98.57%	99.11%	98.51%	98.85%	98.55%	97.83%	95.45%	97.97%	96.50%	98.02%	100.00%	100.00%	98.98%	99.48%	96.83%	97.76%	98.80%	99.47%	99.44%	99.32%	99.38%	99.09%	100.00%	98.81%	91.85%	97.30%	98.93%	100.00%	95.99%	98.18%	97.96%	94.12%	99.00%	97.89%	100.00%	99.33%	97.51%	97.84%	98.02%	98.27%	98.60%	98.90%	98.87%	99.19%	100.00%	97.85%	98.65%	99.53%					
22	. Хакамада Ирина Муцуовна	42	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	15	0	1	0	12	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1					
		0.22%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.32%	0.32%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.21%	0.00%	0.13%	0.00%	0.86%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	1.08%	0.00%	0.12%					
