Выборы Президента Российской Федерации									
									
Наименование Избирательной комиссии:    Верх-Нейвинская поселковая									
									
Итоги голосования 									
									
		Сумма	УИК №2572	УИК №2573					
1	"Число избирателей, внесенных в список"	3996	2005	1991					
2	Число полученных избирательных бюллетеней	3999	2000	1999					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2131	1081	1050					
5	"Число избирательных бюллетеней, выданных вне помещения"	155	98	57					
6	Число погашенных избирательных бюллетеней	1713	821	892					
7	Число избирательных бюллетеней в переносных ящиках	154	97	57					
8	Число бюллетеней в стационарных ящиках для голосования	2130	1081	1049					
9	Число недействительных избирательных бюллетеней	40	21	19					
10	Число действительных избирательных бюллетеней	2244	1157	1087					
11	Число полученных открепительных  удостоверений	90	40	50					
12	Число выданных открепительных удостоверений	12	7	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	22	12	10					
14	Число неиспользованных открепительных удостоверений	78	33	45					
15	"Число открепительных удостоверений, выданных в ТИК"	2	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0					
"Число голосов избирателей, поданных за каждый список"									
18	. Глазьев Сергей Юрьевич	84	45	39					
		3.68%	3.82%	3.53%					
19	. Малышкин Олег Александрович	41	17	24					
		1.80%	1.44%	2.17%					
20	. Миронов Сергей Михайлович	10	3	7					
		0.44%	0.25%	0.63%					
21	. Путин Владимир Владимирович	1759	930	829					
		77.01%	78.95%	74.95%					
22	. Хакамада Ирина Муцуовна	87	43	44					
		3.81%	3.65%	3.98%					
23	. Харитонов Николай Михайлович	186	81	105					
		8.14%	6.88%	9.49%					
									
24	Против всех	77	38	39					
		3.37%	3.23%	3.53%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
