Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Тихорецкая																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №5101	УИК №5102	УИК №5103	УИК №5104	УИК №5105	УИК №5106	УИК №5107	УИК №5108	УИК №5109	УИК №5110	УИК №5111	УИК №5112	УИК №5113	УИК №5114	УИК №5115	УИК №5116	УИК №5117	УИК №5118	УИК №5119	УИК №5120	УИК №5121	УИК №5122	УИК №5123	УИК №5124	УИК №5125	УИК №5126	УИК №5127	УИК №5128	УИК №5129	УИК №5130	УИК №5131	УИК №5132	УИК №5133	УИК №5134	УИК №5135	УИК №5136	УИК №5137	УИК №5138	УИК №5139	УИК №5140	УИК №5141					
1	"Число избирателей, внесенных в список"	45005	2581	1043	592	1174	1117	1160	1092	1127	1169	1161	1065	432	384	1495	2670	1048	1171	1239	1327	898	1667	1060	234	2084	1024	1229	1077	1212	246	1035	2277	1855	1660	189	200	1024	208	1009	1320	279	171					
2	Число полученных избирательных бюллетеней	44795	2630	1045	590	1180	1140	1170	1090	1130	1180	1150	1070	430	385	1470	2680	1040	1160	1230	1330	895	1675	1060	230	2050	1020	1210	1045	1200	235	1050	2230	1840	1605	190	190	1010	205	1000	1320	270	165					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	30095	1508	691	380	805	616	660	643	680	809	685	826	326	317	997	1706	703	745	858	897	714	1303	829	202	1401	749	835	772	863	208	688	1451	1269	869	139	187	769	140	614	903	197	141					
5	"Число избирательных бюллетеней, выданных вне помещения"	2727	212	51	63	19	97	161	114	55	20	76	27	15	7	102	193	66	111	138	49	30	53	45	9	26	51	70	54	63	24	162	95	72	123	18	0	74	35	92	24	20	11					
6	Число погашенных избирательных бюллетеней	11973	910	303	147	356	427	349	333	395	351	389	217	89	61	371	781	271	304	234	384	151	319	186	19	623	220	305	219	274	3	200	684	499	613	33	3	167	30	294	393	53	13					
7	Число избирательных бюллетеней в переносных ящиках	2727	212	51	63	19	97	161	114	55	20	76	27	15	7	102	193	66	111	138	49	30	53	45	9	26	51	70	54	63	24	162	95	72	123	18	0	74	35	92	24	20	11					
8	Число бюллетеней в стационарных ящиках для голосования	30094	1508	691	380	805	616	660	643	680	809	685	826	326	317	996	1706	703	745	858	897	714	1303	829	202	1401	749	835	772	863	208	688	1451	1269	869	139	187	769	140	614	903	197	141					
9	Число недействительных избирательных бюллетеней	244	20	1	2	18	5	13	4	7	0	11	6	2	2	5	16	6	10	13	3	6	8	0	0	8	3	6	3	3	2	5	7	6	11	2	0	13	0	7	4	5	1					
10	Число действительных избирательных бюллетеней	32577	1700	741	441	806	708	808	753	728	829	750	847	339	322	1093	1883	763	846	983	943	738	1348	874	211	1419	797	899	823	923	230	845	1539	1335	981	155	187	830	175	699	923	212	151					
11	Число полученных открепительных  удостоверений	680	30	15	10	15	20	20	20	20	20	20	15	10	10	25	30	15	20	20	20	10	25	15	5	30	15	15	15	20	5	15	30	25	25	5	5	15	5	15	20	5	5					
12	Число выданных открепительных удостоверений	129	17	0	2	4	4	3	7	4	1	1	3	3	1	6	7	1	1	0	1	4	8	1	0	10	3	6	4	0	0	1	6	4	3	0	1	4	0	0	8	0	0					
