Выборы Президента Российской Федерации																																																																											
																																																																											
Наименование Избирательной комиссии:    Лискинская																																																																											
																																																																											
Итоги голосования 																																																																											
																																																																											
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК  2065	УИК  2066	УИК  2067	УИК  2068					
1	"Число избирателей, внесенных в список"	83962	1523	1653	2122	1972	1948	2039	2771	1725	2014	2193	1527	1571	2469	2586	2585	2127	2956	2519	232	2210	1938	1424	1943	993	613	448	129	473	549	324	2184	774	909	883	974	1034	1717	698	683	238	1450	587	392	182	1087	751	147	434	208	143	1098	409	1142	1780	1151	594	445	969	1563	433	1222	842	648	1087	1979	1797	928	824					
2	Число полученных избирательных бюллетеней	79890	1500	1600	2000	1800	1900	2000	2500	1500	2000	2000	1500	1400	2200	2500	2400	2000	2500	2400	240	2000	1800	1400	2000	900	600	500	150	500	550	300	2100	700	800	800	1000	1000	1500	700	700	270	1400	600	400	180	1000	700	150	400	200	150	1200	400	1000	1500	1000	700	500	1000	1500	400	1200	800	700	1000	2000	1800	900	900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	49136	716	803	1058	976	1135	977	1728	969	978	1370	871	850	1238	1327	1566	996	2042	1579	213	1279	1053	760	1171	658	248	236	108	207	384	192	1843	438	387	684	578	655	1069	415	527	192	780	388	281	108	560	499	111	318	144	94	591	315	504	762	511	462	365	720	1030	301	651	533	477	867	1369	1045	442	432					
5	"Число избирательных бюллетеней, выданных вне помещения"	11081	171	240	119	226	63	189	146	99	108	204	129	239	188	163	76	352	103	125	11	60	169	268	78	166	246	149	14	197	135	104	124	250	388	77	170	261	285	150	85	26	480	152	73	54	260	101	18	77	48	37	359	58	379	377	265	96	37	69	75	62	170	132	115	95	306	350	196	287					
6	Число погашенных избирательных бюллетеней	19673	613	557	823	598	702	834	626	432	914	426	500	311	774	1010	758	652	355	696	16	661	578	372	751	76	106	115	28	96	31	4	133	12	25	39	252	84	146	135	88	52	140	60	46	18	180	100	21	5	8	19	250	27	117	361	224	142	98	211	395	37	379	135	108	38	325	405	262	181					
7	Число избирательных бюллетеней в переносных ящиках	11081	171	240	119	226	63	189	146	99	108	204	129	239	188	163	76	352	103	125	11	60	169	268	78	166	246	149	14	197	135	104	124	250	388	77	170	261	285	150	85	26	480	152	73	54	260	101	18	77	48	37	359	58	379	377	265	96	37	69	75	62	170	132	115	95	306	350	196	287					
8	Число бюллетеней в стационарных ящиках для голосования	49121	716	803	1058	966	1135	977	1728	969	977	1370	870	850	1238	1327	1566	996	2042	1577	213	1279	1053	760	1171	658	248	236	108	207	384	192	1843	438	387	684	578	655	1069	415	527	192	780	388	281	108	560	498	111	318	144	94	591	315	504	762	511	462	365	720	1030	301	651	533	477	867	1369	1045	442	432					
9	Число недействительных избирательных бюллетеней	394	4	4	11	15	5	14	6	7	5	11	6	8	6	23	13	3	3	17	1	14	10	4	14	4	1	2	1	5	5	3	6	3	8	3	3	5	5	3	4	1	4	8	0	0	6	8	3	3	1	0	1	3	5	10	5	0	10	2	12	1	16	1	10	0	0	6	4	9					
10	Число действительных избирательных бюллетеней	59808	883	1039	1166	1177	1193	1152	1868	1061	1080	1563	993	1081	1420	1467	1629	1345	2142	1685	223	1325	1212	1024	1235	820	493	383	121	399	514	293	1961	685	767	758	745	911	1349	562	608	217	1256	532	354	162	814	591	126	392	191	131	949	370	878	1129	771	558	392	787	1093	362	805	664	582	962	1675	1389	634	710					
11	Число полученных открепительных  удостоверений	705	9	5	10	25	15	10	30	21	10	25	5	19	10	20	19	5	15	22	2	22	5	18	25	15	4	3	2	2	10	10	31	5	1	6	6	1	20	8	6	3	5	4	4	2	5	6	1	8	1	1	22	7	4	5	5	3	1	55	10	1	10	5	13	22	5	5	5	10					
12	Число выданных открепительных удостоверений	564	8	4	10	15	14	9	27	16	10	18	5	9	10	20	13	5	14	21	0	20	5	12	24	8	3	1	1	2	3	7	20	5	0	2	3	1	19	5	4	1	2	4	4	2	4	6	1	8	0	0	17	5	3	5	4	3	0	55	8	0	8	5	13	20	5	4	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	555	8	11	14	22	5	6	57	24	8	41	19	6	8	4	18	9	5	20	0	11	13	11	11	10	5	8	1	1	4	2	4	4	2	4	3	3	15	4	2	1	4	4	6	3	3	6	5	2	1	3	3	3	3	8	5	27	2	1	4	0	6	0	3	6	25	12	0	6					
14	Число неиспользованных открепительных удостоверений	141	1	1	0	10	1	1	3	5	0	7	0	10	0	0	6	0	1	1	2	2	0	6	1	7	1	2	1	0	7	3	11	0	1	4	3	0	1	3	2	2	3	0	0	0	1	0	0	0	1	1	5	2	1	0	1	0	1	0	2	1	2	0	0	2	0	1	3	8					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
