		0.51%	0.55%	1.11%	0.91%	0.48%	0.74%	0.18%	0.73%	1.82%	0.75%	0.68%	0.40%	1.16%	0.29%	0.81%	0.64%	0.32%	0.35%	0.42%	0.48%	0.76%	0.39%	0.53%	0.99%	0.61%	0.89%	0.30%	0.21%	1.65%	0.54%	0.00%	0.34%	0.44%	0.54%	0.34%	0.75%	0.23%	0.67%	0.09%	0.20%	0.00%	0.35%	0.60%	0.34%	0.00%	0.36%	0.54%	0.94%	0.46%	0.61%	0.00%	0.24%	0.50%	0.09%	0.64%	0.39%	0.71%	0.51%	0.58%	0.73%	0.40%	0.16%	0.44%	0.16%	0.18%	0.24%	0.80%	1.09%	0.72%	0.25%	1.12%	0.38%	0.00%	0.00%	0.00%	0.96%	0.35%	0.14%	0.49%	0.12%	0.27%	0.67%	0.31%	0.35%	0.25%	0.00%	0.80%	0.31%	0.32%									
14	Грудинин Павел Николаевич	5107	17	99	83	135	62	20	113	30	73	60	102	101	62	36	60	80	101	93	16	102	94	104	124	56	105	76	79	89	64	49	159	198	65	67	61	56	73	43	43	7	37	28	20	13	68	48	10	73	98	42	80	60	83	65	68	52	25	22	72	34	80	43	40	98	50	74	32	38	57	54	39	6	0	20	20	9	49	43	40	23	42	53	30	64	26	5	3	14									
		8.11%	2.34%	11.01%	8.40%	13.07%	11.55%	1.82%	16.45%	3.64%	5.44%	13.70%	13.46%	8.99%	9.13%	7.32%	7.62%	8.54%	11.81%	13.06%	7.73%	12.93%	12.37%	10.92%	12.36%	8.51%	13.36%	11.50%	8.49%	12.21%	6.91%	7.73%	13.37%	14.44%	11.78%	7.50%	7.67%	6.55%	16.37%	3.95%	4.37%	3.76%	6.56%	5.63%	6.80%	10.83%	8.24%	6.47%	9.43%	8.32%	11.95%	7.32%	9.66%	15.08%	7.29%	8.26%	6.63%	9.27%	6.33%	2.54%	5.24%	6.87%	12.60%	6.26%	6.37%	9.02%	6.04%	9.88%	3.86%	6.81%	7.00%	7.53%	7.33%	1.60%	0.00%	4.84%	3.84%	3.15%	6.67%	5.25%	4.93%	3.10%	5.67%	8.35%	3.50%	5.36%	8.90%	4.00%	0.93%	4.43%									
15	Жириновский Владимир Вольфович	3101	10	81	62	76	21	9	41	58	34	46	58	58	32	22	72	31	72	52	4	42	33	43	62	35	72	29	33	50	57	32	82	69	47	40	45	37	32	39	39	10	31	39	16	8	37	33	4	36	35	11	29	7	47	38	42	28	15	48	53	14	66	33	31	41	40	42	38	30	26	35	28	16	6	17	28	18	40	30	29	18	27	22	42	28	10	3	5	14									
		4.93%	1.38%	9.01%	6.28%	7.36%	3.91%	0.82%	5.97%	7.04%	2.53%	10.50%	7.65%	5.16%	4.71%	4.47%	9.15%	3.31%	8.42%	7.30%	1.93%	5.32%	4.34%	4.52%	6.18%	5.32%	9.16%	4.39%	3.54%	6.86%	6.16%	5.05%	6.90%	5.03%	8.51%	4.48%	5.66%	4.33%	7.17%	3.58%	3.96%	5.38%	5.50%	7.85%	5.44%	6.67%	4.48%	4.45%	3.77%	4.10%	4.27%	1.92%	3.50%	1.76%	4.13%	4.83%	4.09%	4.99%	3.80%	5.54%	3.86%	2.83%	10.39%	4.80%	4.94%	3.77%	4.83%	5.61%	4.58%	5.38%	3.19%	4.88%	5.26%	4.28%	5.77%	4.12%	5.37%	6.29%	5.44%	3.66%	3.57%	2.42%	3.64%	3.46%	4.90%	2.34%	3.42%	2.40%	1.56%	4.43%									
16	Путин Владимир Владимирович	52953	686	658	808	791	421	1060	501	704	1181	317	571	918	569	420	617	812	653	543	176	605	609	786	769	545	571	536	786	548	771	542	894	1043	415	769	659	748	325	989	885	159	484	414	251	98	708	637	86	746	664	514	708	327	983	666	901	472	346	772	1219	430	478	598	541	916	723	604	705	482	706	600	458	347	97	369	463	258	637	728	735	693	658	549	772	1093	255	116	305	281									
		84.12%	94.36%	73.19%	81.78%	76.57%	78.40%	96.63%	72.93%	85.44%	88.00%	72.37%	75.33%	81.75%	83.80%	85.37%	78.40%	86.66%	76.37%	76.26%	85.02%	76.68%	80.13%	82.56%	76.67%	82.83%	72.65%	81.09%	84.43%	75.17%	83.26%	85.49%	75.19%	76.08%	75.18%	86.11%	82.89%	87.49%	72.87%	90.90%	89.85%	85.48%	85.82%	83.30%	85.37%	81.67%	85.82%	85.85%	81.13%	85.06%	80.98%	89.55%	85.51%	82.16%	86.30%	84.63%	87.82%	84.14%	87.59%	89.04%	88.72%	86.87%	75.28%	87.05%	86.15%	84.27%	87.32%	80.64%	85.04%	86.38%	86.73%	83.68%	86.09%	92.78%	93.27%	89.35%	88.87%	90.21%	86.67%	88.89%	90.52%	93.27%	88.80%	86.46%	90.08%	91.46%	87.33%	92.80%	95.02%	88.92%									
17	Собчак Ксения Анатольевна	353	1	28	4	6	13	1	6	4	5	1	8	5	4	4	7	1	5	2	4	8	6	1	4	6	6	2	11	7	6	2	9	13	5	3	6	4	5	5	3	0	0	4	1	0	5	4	2	7	1	1	3	0	3	7	3	3	0	3	6	1	1	2	2	5	2	3	21	3	4	8	3	1	0	1	1	0	4	2	1	0	3	3	4	1	1	0	2	0									
		0.56%	0.14%	3.11%	0.40%	0.58%	2.42%	0.09%	0.87%	0.49%	0.37%	0.23%	1.06%	0.45%	0.59%	0.81%	0.89%	0.11%	0.58%	0.28%	1.93%	1.01%	0.79%	0.11%	0.40%	0.91%	0.76%	0.30%	1.18%	0.96%	0.65%	0.32%	0.76%	0.95%	0.91%	0.34%	0.75%	0.47%	1.12%	0.46%	0.30%	0.00%	0.00%	0.80%	0.34%	0.00%	0.61%	0.54%	1.89%	0.80%	0.12%	0.17%	0.36%	0.00%	0.26%	0.89%	0.29%	0.53%	0.00%	0.35%	0.44%	0.20%	0.16%	0.29%	0.32%	0.46%	0.24%	0.40%	2.53%	0.54%	0.49%	1.12%	0.56%	0.27%	0.00%	0.24%	0.19%	0.00%	0.54%	0.24%	0.12%	0.00%	0.40%	0.47%	0.47%	0.08%	0.34%	0.00%	0.62%	0.00%									
18	Сурайкин Максим Александрович	344	2	6	2	8	2	0	2	5	13	2	8	3	2	3	2	3	7	8	1	5	5	4	8	4	8	11	8	6	14	2	13	9	2	3	8	1	4	2	5	2	2	3	1	0	2	3	0	6	9	3	4	1	9	0	1	0	0	5	8	2	1	3	5	8	7	7	9	1	5	5	2	0	0	1	2	0	1	3	4	2	5	2	2	1	0	0	2	4									
		0.55%	0.28%	0.67%	0.20%	0.77%	0.37%	0.00%	0.29%	0.61%	0.97%	0.46%	1.06%	0.27%	0.29%	0.61%	0.25%	0.32%	0.82%	1.12%	0.48%	0.63%	0.66%	0.42%	0.80%	0.61%	1.02%	1.66%	0.86%	0.82%	1.51%	0.32%	1.09%	0.66%	0.36%	0.34%	1.01%	0.12%	0.90%	0.18%	0.51%	1.08%	0.35%	0.60%	0.34%	0.00%	0.24%	0.40%	0.00%	0.68%	1.10%	0.52%	0.48%	0.25%	0.79%	0.00%	0.10%	0.00%	0.00%	0.58%	0.58%	0.40%	0.16%	0.44%	0.80%	0.74%	0.85%	0.93%	1.09%	0.18%	0.61%	0.70%	0.38%	0.00%	0.00%	0.24%	0.38%	0.00%	0.14%	0.37%	0.49%	0.27%	0.67%	0.31%	0.23%	0.08%	0.00%	0.00%	0.62%	1.27%									
19	Титов Борис Юрьевич	249	2	3	5	3	6	2	5	4	10	0	0	6	7	1	6	6	2	1	0	5	5	4	9	4	7	2	8	5	7	5	8	8	3	3	1	1	1	2	3	2	0	1	2	1	2	1	1	2	2	1	0	1	3	2	3	1	2	8	0	8	3	4	3	4	2	2	7	0	5	4	0	1	0	0	2	0	1	0	0	0	1	1	0	2	0	0	2	2									
		0.40%	0.28%	0.33%	0.51%	0.29%	1.12%	0.18%	0.73%	0.49%	0.75%	0.00%	0.00%	0.53%	1.03%	0.20%	0.76%	0.64%	0.23%	0.14%	0.00%	0.63%	0.66%	0.42%	0.90%	0.61%	0.89%	0.30%	0.86%	0.69%	0.76%	0.79%	0.67%	0.58%	0.54%	0.34%	0.13%	0.12%	0.22%	0.18%	0.30%	1.08%	0.00%	0.20%	0.68%	0.83%	0.24%	0.13%	0.94%	0.23%	0.24%	0.17%	0.00%	0.25%	0.26%	0.25%	0.29%	0.18%	0.51%	0.92%	0.00%	1.62%	0.47%	0.58%	0.48%	0.37%	0.24%	0.27%	0.84%	0.00%	0.61%	0.56%	0.00%	0.27%	0.00%	0.00%	0.38%	0.00%	0.14%	0.00%	0.00%	0.00%	0.13%	0.16%	0.00%	0.17%	0.00%	0.00%	0.62%	0.63%									
20	Явлинский Григорий Алексеевич	185	3	7	9	4	4	1	7	4	2	1	4	4	0	2	3	1	2	3	1	7	4	4	12	3	5	1	2	3	2	2	7	11	3	5	1	1	0	0	1	0	1	2	0	0	0	2	0	1	3	1	0	0	1	1	0	1	0	1	1	0	2	1	1	2	2	5	8	0	2	1	0	0	0	1	0	0	1	0	0	1	0	1	3	2	0	0	1	0									
		0.29%	0.41%	0.78%	0.91%	0.39%	0.74%	0.09%	1.02%	0.49%	0.15%	0.23%	0.53%	0.36%	0.00%	0.41%	0.38%	0.11%	0.23%	0.42%	0.48%	0.89%	0.53%	0.42%	1.20%	0.46%	0.64%	0.15%	0.21%	0.41%	0.22%	0.32%	0.59%	0.80%	0.54%	0.56%	0.13%	0.12%	0.00%	0.00%	0.10%	0.00%	0.18%	0.40%	0.00%	0.00%	0.00%	0.27%	0.00%	0.11%	0.37%	0.17%	0.00%	0.00%	0.09%	0.13%	0.00%	0.18%	0.00%	0.12%	0.07%	0.00%	0.31%	0.15%	0.16%	0.18%	0.24%	0.67%	0.97%	0.00%	0.25%	0.14%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.14%	0.00%	0.00%	0.13%	0.00%	0.16%	0.35%	0.17%	0.00%	0.00%	0.31%	0.00%									
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
