7	Число избирательных бюллетеней в переносных ящиках для голосования	1922	6	111	35	21	8	1	14	22	23	8	14	22	16	16	18	13	17	12	4	29	39	18	128	14	11	29	38	19	12	13	21	0	36	14	18	5	25	25	16	9	13	17	11	7	24	10	24	9	11	6	13	23	20	21	15	53	20	20	10	33	31	15	7	9	8	3	7	7	22	8	20	11	15	66	12	75	14	2	24	15	12	25	21	8	10	93	122									
8	Число бюллетеней в стационарных ящиках для голосования	75679	382	1159	633	803	703	831	855	828	849	798	950	833	862	905	808	1051	963	855	1067	1084	851	1091	1068	810	886	916	876	821	927	925	707	1063	821	858	800	798	852	884	888	885	899	994	665	1140	879	788	914	883	1025	960	909	870	892	929	1287	877	824	905	867	847	809	1006	915	768	1001	374	907	461	826	751	818	901	1122	1015	803	945	1053	853	816	950	938	871	1048	874	966	451	137									
9	Число недействительных избирательных бюллетеней	1135	7	16	11	9	13	10	17	13	12	10	14	12	20	13	16	19	9	12	29	53	14	30	11	13	24	8	15	17	7	16	8	12	5	11	9	7	9	14	7	7	5	15	5	10	15	14	24	15	18	20	5	11	14	9	11	22	10	10	3	8	4	11	19	8	8	3	16	6	18	5	15	15	26	16	11	8	15	21	17	13	6	10	22	12	14	8	5									
10	Число действительных избирательных бюллетеней	76466	381	1254	657	815	698	822	852	837	860	796	950	843	858	908	810	1045	971	855	1042	1060	876	1079	1185	811	873	937	899	823	932	922	720	1051	852	861	809	796	868	895	897	887	907	996	671	1137	888	784	914	877	1018	946	917	882	898	941	1291	908	834	915	874	872	836	1010	903	769	1001	374	898	462	830	754	823	897	1111	1065	804	1012	1052	834	823	952	944	886	1047	870	962	536	254									
11	Число утраченных избирательных бюллетеней	62	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																		
13	Бабурин Сергей Николаевич	669	4	12	9	5	5	5	7	6	7	8	9	3	10	6	8	12	7	7	5	10	12	14	13	10	10	13	11	2	14	9	4	9	11	10	5	4	4	4	10	6	8	5	3	5	6	7	11	7	2	9	7	14	4	10	18	11	7	6	11	7	11	14	6	11	9	0	6	4	5	4	13	5	10	6	8	11	6	5	8	6	6	6	4	10	14	3	0									
		0.86%	1.03%	0.94%	1.35%	0.61%	0.70%	0.60%	0.81%	0.71%	0.80%	0.99%	0.93%	0.35%	1.14%	0.65%	0.97%	1.13%	0.71%	0.81%	0.47%	0.90%	1.35%	1.26%	1.09%	1.21%	1.11%	1.38%	1.20%	0.24%	1.49%	0.96%	0.55%	0.85%	1.28%	1.15%	0.61%	0.50%	0.46%	0.44%	1.11%	0.67%	0.88%	0.49%	0.44%	0.44%	0.66%	0.88%	1.17%	0.78%	0.19%	0.93%	0.76%	1.57%	0.44%	1.05%	1.38%	1.18%	0.83%	0.65%	1.25%	0.80%	1.31%	1.37%	0.65%	1.42%	0.89%	0.00%	0.66%	0.85%	0.59%	0.53%	1.55%	0.55%	0.88%	0.56%	0.98%	1.08%	0.56%	0.58%	0.95%	0.62%	0.63%	0.67%	0.37%	1.13%	1.43%	0.55%	0.00%									
14	Грудинин Павел Николаевич	10096	57	138	98	112	101	118	111	107	119	122	138	120	140	134	92	136	149	100	188	127	99	111	135	93	119	117	117	106	121	145	108	133	98	111	96	102	130	110	117	103	131	121	79	140	118	94	128	124	167	137	108	128	127	129	133	109	105	112	117	111	117	132	132	118	125	27	139	61	106	120	108	129	164	151	94	113	139	119	103	124	103	108	138	126	130	52	22									
		13.01%	14.69%	10.87%	14.67%	13.59%	14.21%	14.18%	12.77%	12.59%	13.65%	15.14%	14.32%	14.04%	15.95%	14.55%	11.14%	12.78%	15.20%	11.53%	17.55%	11.41%	11.12%	10.01%	11.29%	11.29%	13.27%	12.38%	12.80%	12.62%	12.89%	15.46%	14.84%	12.51%	11.44%	12.73%	11.74%	12.70%	14.82%	12.10%	12.94%	11.52%	14.36%	11.97%	11.69%	12.21%	13.07%	11.78%	13.65%	13.90%	16.12%	14.18%	11.71%	14.33%	13.93%	13.58%	10.22%	11.72%	12.44%	12.11%	13.34%	12.61%	13.93%	12.93%	14.32%	15.19%	12.39%	7.16%	15.21%	13.03%	12.50%	15.81%	12.89%	14.14%	14.42%	13.97%	11.53%	11.08%	13.03%	13.92%	12.26%	12.85%	10.84%	12.05%	12.91%	14.29%	13.32%	9.56%	8.49%									
15	Жириновский Владимир Вольфович	4122	33	74	37	64	49	44	34	55	41	42	54	50	53	61	37	71	67	64	55	53	47	64	51	67	44	47	66	31	47	46	33	46	44	35	59	43	50	54	37	68	37	61	34	54	47	29	43	36	45	39	48	44	52	55	63	49	51	43	50	29	30	46	55	33	59	15	65	34	46	22	32	37	66	55	41	53	59	47	50	58	56	37	61	46	51	35	7									
		5.31%	8.51%	5.83%	5.54%	7.77%	6.89%	5.29%	3.91%	6.47%	4.70%	5.21%	5.60%	5.85%	6.04%	6.62%	4.48%	6.67%	6.84%	7.38%	5.14%	4.76%	5.28%	5.77%	4.26%	8.13%	4.91%	4.97%	7.22%	3.69%	5.01%	4.90%	4.53%	4.33%	5.13%	4.01%	7.21%	5.35%	5.70%	5.94%	4.09%	7.61%	4.06%	6.03%	5.03%	4.71%	5.20%	3.63%	4.58%	4.04%	4.34%	4.04%	5.21%	4.93%	5.70%	5.79%	4.84%	5.27%	6.04%	4.65%	5.70%	3.30%	3.57%	4.51%	5.97%	4.25%	5.85%	3.98%	7.11%	7.26%	5.42%	2.90%	3.82%	4.06%	5.80%	5.09%	5.03%	5.20%	5.53%	5.50%	5.95%	6.01%	5.89%	4.13%	5.71%	5.22%	5.23%	6.43%	2.70%									
16	Путин Владимир Владимирович	55891	256	951	475	581	496	581	636	600	618	549	690	608	587	643	629	751	684	621	705	793	653	805	922	575	633	693	632	616	675	641	516	768	639	659	609	606	612	664	677	646	666	756	515	833	651	600	658	618	717	668	694	623	656	685	989	691	608	703	635	641	591	728	652	547	738	314	623	336	599	529	585	616	803	784	605	763	786	603	617	712	714	682	755	606	670	418	213									
		72.02%	65.98%	74.88%	71.11%	70.51%	69.76%	69.83%	73.19%	70.59%	70.87%	68.11%	71.58%	71.11%	66.86%	69.82%	76.15%	70.58%	69.80%	71.63%	65.83%	71.25%	73.37%	72.59%	77.09%	69.78%	70.57%	73.33%	69.15%	73.33%	71.88%	68.34%	70.88%	72.25%	74.56%	75.57%	74.45%	75.47%	69.78%	73.05%	74.89%	72.26%	73.03%	74.78%	76.18%	72.62%	72.09%	75.19%	70.15%	69.28%	69.21%	69.15%	75.27%	69.76%	71.93%	72.11%	75.96%	74.30%	72.04%	76.00%	72.41%	72.84%	70.36%	71.30%	70.72%	70.40%	73.14%	83.29%	68.16%	71.79%	70.64%	69.70%	69.81%	67.54%	70.62%	72.53%	74.23%	74.80%	73.66%	70.53%	73.45%	73.78%	75.16%	76.12%	70.63%	68.71%	68.65%	76.84%	82.24%									
17	Собчак Ксения Анатольевна	2314	10	34	17	20	18	33	32	25	28	31	29	24	22	19	17	30	23	25	28	27	21	28	24	32	30	34	27	22	27	36	24	33	23	18	12	20	29	18	29	23	32	19	17	52	27	19	36	27	38	34	27	25	24	21	41	27	25	21	25	37	40	32	25	22	33	7	32	11	28	33	35	47	25	22	17	25	32	24	18	22	33	26	42	40	44	18	5									
		2.98%	2.58%	2.68%	2.54%	2.43%	2.53%	3.97%	3.68%	2.94%	3.21%	3.85%	3.01%	2.81%	2.51%	2.06%	2.06%	2.82%	2.35%	2.88%	2.61%	2.43%	2.36%	2.52%	2.01%	3.88%	3.34%	3.60%	2.95%	2.62%	2.88%	3.84%	3.30%	3.10%	2.68%	2.06%	1.47%	2.49%	3.31%	1.98%	3.21%	2.57%	3.51%	1.88%	2.51%	4.53%	2.99%	2.38%	3.84%	3.03%	3.67%	3.52%	2.93%	2.80%	2.63%	2.21%	3.15%	2.90%	2.96%	2.27%	2.85%	4.20%	4.76%	3.13%	2.71%	2.83%	3.27%	1.86%	3.50%	2.35%	3.30%	4.35%	4.18%	5.15%	2.20%	2.04%	2.09%	2.45%	2.99%	2.81%	2.14%	2.28%	3.47%	2.90%	3.93%	4.54%	4.51%	3.31%	1.93%									
18	Сурайкин Максим Александрович	534	3	7	3	8	4	7	5	9	9	11	4	7	4	10	9	7	15	5	6	7	6	9	7	5	5	9	8	5	6	6	2	9	10	3	6	3	5	5	3	6	1	8	2	5	6	3	12	6	5	11	6	6	11	12	7	3	8	3	10	2	5	5	3	7	7	3	4	5	10	5	8	4	8	8	6	8	1	4	3	6	5	7	8	8	7	1	3									
		0.69%	0.77%	0.55%	0.45%	0.97%	0.56%	0.84%	0.58%	1.06%	1.03%	1.36%	0.41%	0.82%	0.46%	1.09%	1.09%	0.66%	1.53%	0.58%	0.56%	0.63%	0.67%	0.81%	0.59%	0.61%	0.56%	0.95%	0.88%	0.60%	0.64%	0.64%	0.27%	0.85%	1.17%	0.34%	0.73%	0.37%	0.57%	0.55%	0.33%	0.67%	0.11%	0.79%	0.30%	0.44%	0.66%	0.38%	1.28%	0.67%	0.48%	1.14%	0.65%	0.67%	1.21%	1.26%	0.54%	0.32%	0.95%	0.32%	1.14%	0.23%	0.60%	0.49%	0.33%	0.90%	0.69%	0.80%	0.44%	1.07%	1.18%	0.66%	0.95%	0.44%	0.70%	0.74%	0.74%	0.78%	0.09%	0.47%	0.36%	0.62%	0.53%	0.78%	0.75%	0.91%	0.72%	0.18%	1.16%									
19	Титов Борис Юрьевич	1031	10	12	9	7	12	9	8	14	11	8	12	11	14	13	5	10	9	11	19	23	13	19	13	7	16	9	6	11	8	11	8	13	8	8	10	8	11	22	13	11	14	10	8	15	11	16	7	25	20	16	8	15	7	11	17	10	9	11	9	17	19	19	14	10	9	1	14	6	13	13	19	20	11	14	11	8	11	11	9	11	11	9	14	14	29	3	0									
		1.33%	2.58%	0.94%	1.35%	0.85%	1.69%	1.08%	0.92%	1.65%	1.26%	0.99%	1.24%	1.29%	1.59%	1.41%	0.61%	0.94%	0.92%	1.27%	1.77%	2.07%	1.46%	1.71%	1.09%	0.85%	1.78%	0.95%	0.66%	1.31%	0.85%	1.17%	1.10%	1.22%	0.93%	0.92%	1.22%	0.99%	1.25%	2.42%	1.44%	1.23%	1.54%	0.99%	1.18%	1.31%	1.22%	2.01%	0.75%	2.80%	1.93%	1.66%	0.87%	1.68%	0.77%	1.16%	1.31%	1.08%	1.07%	1.19%	1.03%	1.93%	2.26%	1.86%	1.52%	1.29%	0.89%	0.27%	1.53%	1.28%	1.53%	1.71%	2.27%	2.19%	0.97%	1.30%	1.35%	0.78%	1.03%	1.29%	1.07%	1.14%	1.16%	1.00%	1.31%	1.59%	2.97%	0.55%	0.00%									
20	Явлинский Григорий Алексеевич	1809	8	26	9	18	13	25	19	21	27	25	14	20	28	22	13	28	17	22	36	20	25	29	20	22	16	15	32	30	34	28	25	40	19	17	12	10	27	18	11	24	18	16	13	33	22	16	19	34	24	32	19	27	17	18	23	8	21	16	17	28	23	34	16	21	21	7	15	5	23	28	23	39	24	25	22	31	18	21	15	13	16	11	25	20	17	6	4									
		2.33%	2.06%	2.05%	1.35%	2.18%	1.83%	3.00%	2.19%	2.47%	3.10%	3.10%	1.45%	2.34%	3.19%	2.39%	1.57%	2.63%	1.73%	2.54%	3.36%	1.80%	2.81%	2.61%	1.67%	2.67%	1.78%	1.59%	3.50%	3.57%	3.62%	2.99%	3.43%	3.76%	2.22%	1.95%	1.47%	1.25%	3.08%	1.98%	1.22%	2.68%	1.97%	1.58%	1.92%	2.88%	2.44%	2.01%	2.03%	3.81%	2.32%	3.31%	2.06%	3.02%	1.86%	1.89%	1.77%	0.86%	2.49%	1.73%	1.94%	3.18%	2.74%	3.33%	1.74%	2.70%	2.08%	1.86%	1.64%	1.07%	2.71%	3.69%	2.74%	4.28%	2.11%	2.31%	2.70%	3.04%	1.69%	2.46%	1.79%	1.35%	1.68%	1.23%	2.34%	2.27%	1.74%	1.10%	1.54%									
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
