Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Свободненская поселковая																	
																	
Итоги голосования 																	
																	
		Сумма	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №2595	УИК №2596	УИК №2597	УИК №2598	УИК №2599	УИК №2600					
1	"Число избирателей, внесенных в список"	6874	2468	1400	1458	470	142	156	147	125	150	358					
2	Число полученных избирательных бюллетеней	6400	2250	1235	1320	470	142	160	147	126	170	380					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4502	1477	838	874	309	142	156	147	125	150	284					
5	"Число избирательных бюллетеней, выданных вне помещения"	98	10	6	4	4	0	0	0	0	0	74					
6	Число погашенных избирательных бюллетеней	1800	763	391	442	157	0	4	0	1	20	22					
7	Число избирательных бюллетеней в переносных ящиках	98	10	6	4	4	0	0	0	0	0	74					
8	Число бюллетеней в стационарных ящиках для голосования	4500	1477	838	873	308	142	156	147	125	150	284					
9	Число недействительных избирательных бюллетеней	40	19	5	5	7	0	1	0	0	1	2					
10	Число действительных избирательных бюллетеней	4558	1468	839	872	305	142	155	147	125	149	356					
11	Число полученных открепительных  удостоверений	297	101	90	90	10	1	1	1	1	1	1					
12	Число выданных открепительных удостоверений	180	94	45	33	8	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	145	16	11	5	3	26	29	20	8	25	2					
14	Число неиспользованных открепительных удостоверений	117	7	45	57	2	1	1	1	1	1	1					
15	"Число открепительных удостоверений, выданных в ТИК"	3	3	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	64	17	16	18	8	1	2	0	0	0	2					
		1.39%	1.14%	1.90%	2.05%	2.56%	0.70%	1.28%	0.00%	0.00%	0.00%	0.56%					
19	. Малышкин Олег Александрович	94	29	21	17	10	1	3	2	0	3	8					
		2.04%	1.95%	2.49%	1.94%	3.21%	0.70%	1.92%	1.36%	0.00%	2.00%	2.23%					
20	. Миронов Сергей Михайлович	19	5	4	5	3	1	0	0	0	0	1					
		0.41%	0.34%	0.47%	0.57%	0.96%	0.70%	0.00%	0.00%	0.00%	0.00%	0.28%					
21	. Путин Владимир Владимирович	4026	1287	739	748	261	138	147	136	122	135	313					
		87.56%	86.55%	87.56%	85.29%	83.65%	97.18%	94.23%	92.52%	97.60%	90.00%	87.43%					
22	. Хакамада Ирина Муцуовна	125	52	16	31	9	0	1	4	1	6	5					
		2.72%	3.50%	1.90%	3.53%	2.88%	0.00%	0.64%	2.72%	0.80%	4.00%	1.40%					
23	. Харитонов Николай Михайлович	92	35	14	24	13	1	0	0	2	0	3					
		2.00%	2.35%	1.66%	2.74%	4.17%	0.70%	0.00%	0.00%	1.60%	0.00%	0.84%					
																	
24	Против всех	138	43	29	29	1	0	2	5	0	5	24					
		3.00%	2.89%	3.44%	3.31%	0.32%	0.00%	1.28%	3.40%	0.00%	3.33%	6.70%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
