Выборы Президента Российской Федерации														
														
Наименование Избирательной комиссии:    Макаровская														
														
Итоги голосования 														
														
		Сумма	УИК  87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93					
1	"Число избирателей, внесенных в список"	7909	556	358	1690	2673	1573	235	824					
2	Число полученных избирательных бюллетеней	8000	535	340	1735	2700	1615	240	835					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3683	326	199	707	1296	644	133	378					
5	"Число избирательных бюллетеней, выданных вне помещения"	460	104	43	64	45	97	29	78					
6	Число погашенных избирательных бюллетеней	3857	105	98	964	1359	874	78	379					
7	Число избирательных бюллетеней в переносных ящиках	460	104	43	64	45	97	29	78					
8	Число бюллетеней в стационарных ящиках для голосования	3678	326	199	707	1291	644	133	378					
9	Число недействительных избирательных бюллетеней	30	5	1	5	11	5	0	3					
10	Число действительных избирательных бюллетеней	4108	425	241	766	1325	736	162	453					
11	Число полученных открепительных  удостоверений	128	15	10	25	25	25	8	20					
12	Число выданных открепительных удостоверений	81	1	10	18	20	19	2	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	33	6	5	3	5	4	2	8					
14	Число неиспользованных открепительных удостоверений	47	14	0	7	5	6	6	9					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"														
18	. Глазьев Сергей Юрьевич	143	7	2	28	45	45	5	11					
		3.46%	1.63%	0.83%	3.63%	3.37%	6.07%	3.09%	2.41%					
19	. Малышкин Олег Александрович	113	9	2	25	32	19	7	19					
		2.73%	2.09%	0.83%	3.24%	2.40%	2.56%	4.32%	4.17%					
20	. Миронов Сергей Михайлович	36	8	1	4	11	5	4	3					
		0.87%	1.86%	0.41%	0.52%	0.82%	0.67%	2.47%	0.66%					
21	. Путин Владимир Владимирович	3065	339	209	564	992	509	116	336					
		74.07%	78.84%	86.36%	73.15%	74.25%	68.69%	71.60%	73.68%					
22	. Хакамада Ирина Муцуовна	143	14	4	23	44	32	5	21					
		3.46%	3.26%	1.65%	2.98%	3.29%	4.32%	3.09%	4.61%					
23	. Харитонов Николай Михайлович	483	37	15	103	154	99	24	51					
		11.67%	8.60%	6.20%	13.36%	11.53%	13.36%	14.81%	11.18%					
														
24	Против всех	125	11	8	19	47	27	1	12					
		3.02%	2.56%	3.31%	2.46%	3.52%	3.64%	0.62%	2.63%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
