Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Армизонская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82					
1	"Число избирателей, внесенных в список"	7693	1714	747	998	84	104	113	376	99	102	453	96	229	300	69	50	49	450	92	312	144	184	196	37	415	49	180	51					
2	Число полученных избирательных бюллетеней	7245	1527	662	892	91	108	115	355	96	102	437	94	227	286	71	51	53	420	94	297	155	188	198	38	395	51	183	59					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5885	1167	532	680	79	97	87	316	86	78	407	93	182	251	69	50	37	335	85	236	105	144	175	35	337	46	139	37					
5	"Число избирательных бюллетеней, выданных вне помещения"	700	164	51	58	0	7	18	22	10	18	29	0	20	29	0	0	10	80	4	40	15	30	21	0	47	3	14	10					
6	Число погашенных избирательных бюллетеней	660	196	79	154	12	4	10	17	0	6	1	1	25	6	2	1	6	5	5	21	35	14	2	3	11	2	30	12					
7	Число избирательных бюллетеней в переносных ящиках	700	164	51	58	0	7	18	22	10	18	29	0	20	29	0	0	10	80	4	40	15	30	21	0	47	3	14	10					
8	Число бюллетеней в стационарных ящиках для голосования	5885	1167	532	680	79	97	87	316	86	78	407	93	182	251	69	50	37	335	85	236	105	144	175	35	337	46	139	37					
9	Число недействительных избирательных бюллетеней	71	5	7	10	0	2	1	3	0	0	13	0	2	1	0	0	1	5	0	4	1	3	6	1	2	3	0	1					
10	Число действительных избирательных бюллетеней	6514	1326	576	728	79	102	104	335	96	96	423	93	200	279	69	50	46	410	89	272	119	171	190	34	382	46	153	46					
11	Число полученных открепительных  удостоверений	191	52	15	15	0	0	1	8	0	2	12	0	13	10	0	0	0	16	0	10	5	0	10	0	10	0	10	2					
12	Число выданных открепительных удостоверений	170	47	12	14	0	0	1	8	0	2	11	0	11	10	0	0	0	15	0	10	5	0	6	0	8	0	8	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	79	19	8	2	2	2	1	4	4	2	1	4	1	4	2	2	0	4	2	3	1	2	0	0	4	2	2	1					
14	Число неиспользованных открепительных удостоверений	21	5	3	1	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	4	0	2	0	2	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	133	41	19	20	4	0	0	3	0	1	5	2	1	2	2	3	2	5	0	7	3	0	3	0	10	0	0	0					
		2.02%	3.08%	3.26%	2.71%	5.06%	0.00%	0.00%	0.89%	0.00%	1.04%	1.15%	2.15%	0.50%	0.71%	2.90%	6.00%	4.26%	1.20%	0.00%	2.54%	2.50%	0.00%	1.53%	0.00%	2.60%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	227	46	26	26	3	1	0	5	4	2	19	0	3	18	2	2	3	14	1	17	2	11	5	0	12	3	2	0					
		3.45%	3.46%	4.46%	3.52%	3.80%	0.96%	0.00%	1.48%	4.17%	2.08%	4.36%	0.00%	1.49%	6.43%	2.90%	4.00%	6.38%	3.37%	1.12%	6.16%	1.67%	6.32%	2.55%	0.00%	3.12%	6.12%	1.31%	0.00%					
20	. Миронов Сергей Михайлович	34	5	1	8	0	0	1	1	0	0	5	0	0	3	0	0	1	2	0	0	0	1	1	1	2	0	1	1					
		0.52%	0.38%	0.17%	1.08%	0.00%	0.00%	0.95%	0.30%	0.00%	0.00%	1.15%	0.00%	0.00%	1.07%	0.00%	0.00%	2.13%	0.48%	0.00%	0.00%	0.00%	0.57%	0.51%	2.86%	0.52%	0.00%	0.65%	2.13%					
21	. Путин Владимир Владимирович	4412	861	346	440	51	70	67	205	76	61	266	76	143	215	49	41	25	287	76	199	87	137	136	33	292	35	102	36					
		67.00%	64.69%	59.35%	59.62%	64.56%	67.31%	63.81%	60.65%	79.17%	63.54%	61.01%	81.72%	70.79%	76.79%	71.01%	82.00%	53.19%	69.16%	85.39%	72.10%	72.50%	78.74%	69.39%	94.29%	76.04%	71.43%	66.67%	76.60%					
22	. Хакамада Ирина Муцуовна	103	29	9	14	1	3	3	5	0	2	10	2	0	0	0	0	0	4	0	6	2	2	2	0	4	0	4	1					
		1.56%	2.18%	1.54%	1.90%	1.27%	2.88%	2.86%	1.48%	0.00%	2.08%	2.29%	2.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.00%	2.17%	1.67%	1.15%	1.02%	0.00%	1.04%	0.00%	2.61%	2.13%					
23	. Харитонов Николай Михайлович	1449	299	158	195	19	26	27	112	16	30	107	13	53	37	15	4	10	89	10	38	22	20	40	0	55	7	41	6					
		22.00%	22.46%	27.10%	26.42%	24.05%	25.00%	25.71%	33.14%	16.67%	31.25%	24.54%	13.98%	26.24%	13.21%	21.74%	8.00%	21.28%	21.45%	11.24%	13.77%	18.33%	11.49%	20.41%	0.00%	14.32%	14.29%	26.80%	12.77%					
																																		
