Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Нуримановская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК №3047	УИК №3048	УИК №3049	УИК №3050	УИК №3051	УИК №3052	УИК №3053	УИК №3054	УИК №3055	УИК №3056	УИК №3057	УИК №3058	УИК №3059	УИК №3060	УИК №3061	УИК №3062	УИК №3063	УИК №3064	УИК №3065	УИК №3066	УИК №3067	УИК №3068	УИК №3069	УИК №3070	УИК №3071	УИК №3072	УИК №3073	УИК №3074	УИК №3075	УИК №3076	УИК №3077					
1	"Число избирателей, внесенных в список"	15008	749	157	280	172	577	1116	529	364	148	368	287	673	650	690	653	277	153	529	400	243	285	404	238	191	868	872	159	305	974	1070	627					
2	Число полученных избирательных бюллетеней	15200	760	159	278	171	577	1117	532	380	149	367	303	704	663	700	669	282	158	536	403	242	274	413	237	188	910	882	167	310	972	1070	627					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13424	716	157	275	170	482	1068	488	339	141	342	276	600	570	646	601	252	128	438	359	196	229	294	226	157	722	726	139	244	815	1042	586					
5	"Число избирательных бюллетеней, выданных вне помещения"	829	26	0	0	0	65	19	20	17	6	16	11	50	25	14	25	16	19	69	35	21	32	43	5	25	89	84	16	41	10	15	15					
6	Число погашенных избирательных бюллетеней	947	18	2	3	1	30	30	24	24	2	9	16	54	68	40	43	14	11	29	9	25	13	76	6	6	99	72	12	25	147	13	26					
7	Число избирательных бюллетеней в переносных ящиках	829	26	0	0	0	65	19	20	17	6	16	11	50	25	14	25	16	19	69	35	21	32	43	5	25	89	84	16	41	10	15	15					
8	Число бюллетеней в стационарных ящиках для голосования	13423	716	157	275	170	482	1068	488	339	141	342	276	600	570	646	601	252	128	438	359	196	229	294	226	157	722	726	139	243	815	1042	586					
9	Число недействительных избирательных бюллетеней	91	1	0	0	0	2	4	0	0	3	2	0	7	6	2	2	2	4	2	9	1	1	11	0	0	2	3	6	1	5	12	3					
10	Число действительных избирательных бюллетеней	14161	741	157	275	170	545	1083	508	356	144	356	287	643	589	658	624	266	143	505	385	216	260	326	231	182	809	807	149	283	820	1045	598					
11	Число полученных открепительных  удостоверений	198	6	3	5	2	6	13	5	6	3	3	5	18	15	13	10	4	4	4	3	2	2	4	3	5	10	10	5	10	10	5	4					
