Выборы Президента Российской Федерации															
															
Наименование Избирательной комиссии:    Город Байконур (Республика Казахстан)															
															
Итоги голосования 															
															
		Сумма	УИК №5349	УИК №5350	УИК №5351	УИК №5352	УИК №5353	УИК №5355	УИК №5362	УИК №5363					
1	"Число избирателей, внесенных в список"	21082	3105	2955	2443	2368	2425	2272	2971	2543					
2	Число полученных избирательных бюллетеней	20000	2900	2800	2300	2200	2200	2500	2700	2400					
3	"Число избирательных бюллетеней, выданных  досрочно"	346	0	0	0	0	0	0	0	346					
4	"Число избирательных бюллетеней, выданных в день голосования"	14978	2280	2140	1678	1628	1765	1763	2215	1509					
5	"Число избирательных бюллетеней, выданных вне помещения"	198	15	25	34	16	16	72	12	8					
6	Число погашенных избирательных бюллетеней	4478	605	635	588	556	419	665	473	537					
7	Число избирательных бюллетеней в переносных ящиках	544	15	25	34	16	16	72	12	354					
8	Число бюллетеней в стационарных ящиках для голосования	14966	2280	2137	1678	1628	1760	1763	2212	1508					
9	Число недействительных избирательных бюллетеней	95	24	13	16	3	7	6	9	17					
10	Число действительных избирательных бюллетеней	15415	2271	2149	1696	1641	1769	1829	2215	1845					
11	Число полученных открепительных  удостоверений	283	30	45	30	30	45	45	30	28					
12	Число выданных открепительных удостоверений	200	22	31	17	28	34	28	20	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	79	7	1	4	8	11	39	8	1					
14	Число неиспользованных открепительных удостоверений	83	8	14	13	2	11	17	10	8					
15	"Число открепительных удостоверений, выданных в ТИК"	27	4	6	3	3	5	0	3	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"															
18	. Глазьев Сергей Юрьевич	407	50	46	57	43	52	62	54	43					
		2.62%	2.18%	2.13%	3.33%	2.62%	2.93%	3.38%	2.43%	2.31%					
19	. Малышкин Олег Александрович	170	26	18	22	17	15	21	18	33					
		1.10%	1.13%	0.83%	1.29%	1.03%	0.84%	1.14%	0.81%	1.77%					
20	. Миронов Сергей Михайлович	113	16	20	14	9	9	15	14	16					
		0.73%	0.70%	0.93%	0.82%	0.55%	0.51%	0.82%	0.63%	0.86%					
21	. Путин Владимир Владимирович	12970	1918	1833	1400	1388	1428	1532	1903	1568					
		83.62%	83.57%	84.78%	81.78%	84.43%	80.41%	83.49%	85.57%	84.21%					
22	. Хакамада Ирина Муцуовна	536	92	74	59	46	74	62	77	52					
		3.46%	4.01%	3.42%	3.45%	2.80%	4.17%	3.38%	3.46%	2.79%					
23	. Харитонов Николай Михайлович	624	73	76	87	83	92	73	75	65					
		4.02%	3.18%	3.52%	5.08%	5.05%	5.18%	3.98%	3.37%	3.49%					
															
24	Против всех	595	96	82	57	55	99	64	74	68					
		3.84%	4.18%	3.79%	3.33%	3.35%	5.57%	3.49%	3.33%	3.65%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
