Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Кашинская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445					
1	"Число избирателей, внесенных в список"	24553	537	1742	1364	2019	2112	1405	1080	1460	1381	1595	76	209	195	154	222	864	767	249	152	401	438	375	240	233	273	337	159	166	479	680	316	498	399	391	165	156	162	174	144	152	175	194	263					
2	Число полученных избирательных бюллетеней	22764	490	1385	1195	1815	1895	1285	970	1350	1365	1450	80	200	185	150	220	800	750	260	160	430	420	360	235	225	269	350	155	155	450	650	300	450	400	380	165	155	170	180	140	140	160	180	240					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12367	259	706	630	1088	1109	703	518	853	820	740	9	131	86	82	101	436	412	158	95	257	235	221	117	101	156	97	90	108	163	254	183	288	207	218	68	94	72	83	71	68	100	87	93					
5	"Число избирательных бюллетеней, выданных вне помещения"	3744	50	263	94	46	72	18	43	35	65	80	66	62	98	51	75	166	130	39	30	58	147	118	85	88	113	170	48	46	210	255	73	50	84	89	62	39	84	78	52	59	45	69	139					
6	Число погашенных избирательных бюллетеней	6653	181	416	471	681	714	564	409	462	480	630	5	7	1	17	44	198	208	63	35	115	38	21	33	36	0	83	17	1	77	141	44	112	109	73	35	22	14	19	17	13	15	24	8					
7	Число избирательных бюллетеней в переносных ящиках	3744	50	263	94	46	72	18	43	35	65	80	66	62	98	51	75	166	130	39	30	58	147	118	85	88	113	170	48	46	210	255	73	50	84	89	62	39	84	78	52	59	45	69	139					
8	Число бюллетеней в стационарных ящиках для голосования	12364	259	706	630	1086	1109	703	518	853	820	739	9	131	86	82	101	436	412	158	95	257	235	221	117	101	156	97	90	108	163	254	183	288	207	218	68	94	72	83	71	68	100	87	93					
9	Число недействительных избирательных бюллетеней	57	2	6	1	0	6	3	6	3	3	5	1	0	1	0	0	0	3	0	0	2	1	0	2	0	0	1	0	0	0	4	0	1	3	0	0	0	0	0	0	0	1	1	1					
10	Число действительных избирательных бюллетеней	16051	307	963	723	1132	1175	718	555	885	882	814	74	193	183	133	176	602	539	197	125	313	381	339	200	189	269	266	138	154	373	505	256	337	288	307	130	133	156	161	123	127	144	155	231					
