Выборы Президента Российской Федерации																							
																							
"Наименование Избирательной комиссии:    г. Грозный, Ленинская"																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №424	УИК №425	УИК №426					
1	"Число избирателей, внесенных в список"	22368	1088	1246	1105	1279	2007	1072	1025	1173	1609	1652	1326	1126	1144	2358	2925	233					
2	Число полученных избирательных бюллетеней	20942	972	1121	994	1130	1900	970	960	1070	1450	1400	1320	1080	1030	2380	2925	240					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19907	962	1121	994	1123	1827	970	939	981	1331	1284	916	941	1002	2358	2925	233					
5	"Число избирательных бюллетеней, выданных вне помещения"	478	0	0	0	7	0	0	14	42	30	94	286	5	0	0	0	0					
6	Число погашенных избирательных бюллетеней	557	10	0	0	0	73	0	7	47	89	22	118	134	28	22	0	7					
7	Число избирательных бюллетеней в переносных ящиках	478	0	0	0	7	0	0	14	42	30	94	286	5	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	19907	962	1121	994	1123	1827	970	939	981	1331	1284	916	941	1002	2358	2925	233					
9	Число недействительных избирательных бюллетеней	88	9	7	0	0	9	1	7	8	13	18	7	4	0	5	0	0					
10	Число действительных избирательных бюллетеней	20297	953	1114	994	1130	1818	969	946	1015	1348	1360	1195	942	1002	2353	2925	233					
11	Число полученных открепительных  удостоверений	467	12	12	12	12	20	12	12	12	20	17	12	12	12	14	276	0					
12	Число выданных открепительных удостоверений	262	0	0	0	1	3	0	1	0	0	0	0	0	1	5	251	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	112	0	0	0	0	0	0	0	2	0	1	3	0	0	18	63	25					
14	Число неиспользованных открепительных удостоверений	205	12	12	12	11	17	12	11	12	20	17	12	12	11	9	25	0					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	420	7	2	0	41	114	15	4	19	108	23	54	4	4	2	21	2					
		2.06%	0.73%	0.18%	0.00%	3.63%	6.24%	1.55%	0.42%	1.86%	7.94%	1.67%	4.49%	0.42%	0.40%	0.08%	0.72%	0.86%					
19	. Малышкин Олег Александрович	216	1	0	0	1	16	3	0	3	7	3	13	44	0	7	113	5					
		1.06%	0.10%	0.00%	0.00%	0.09%	0.88%	0.31%	0.00%	0.29%	0.51%	0.22%	1.08%	4.65%	0.00%	0.30%	3.86%	2.15%					
20	. Миронов Сергей Михайлович	119	4	2	6	3	5	1	5	2	19	4	3	12	32	7	14	0					
		0.58%	0.42%	0.18%	0.60%	0.27%	0.27%	0.10%	0.52%	0.20%	1.40%	0.29%	0.25%	1.27%	3.19%	0.30%	0.48%	0.00%					
21	. Путин Владимир Владимирович	17645	878	1037	911	1005	1470	895	868	856	984	1004	968	748	939	2334	2555	193					
		86.56%	91.27%	92.51%	91.65%	88.94%	80.46%	92.27%	91.08%	83.68%	72.30%	72.86%	80.53%	79.07%	93.71%	98.98%	87.35%	82.83%					
22	. Хакамада Ирина Муцуовна	839	25	24	49	48	159	38	40	79	101	74	77	27	17	1	57	23					
		4.12%	2.60%	2.14%	4.93%	4.25%	8.70%	3.92%	4.20%	7.72%	7.42%	5.37%	6.41%	2.85%	1.70%	0.04%	1.95%	9.87%					
23	. Харитонов Николай Михайлович	719	22	40	28	30	39	12	17	34	101	246	58	15	6	1	62	8					
		3.53%	2.29%	3.57%	2.82%	2.65%	2.13%	1.24%	1.78%	3.32%	7.42%	17.85%	4.83%	1.59%	0.60%	0.04%	2.12%	3.43%					
																							
24	Против всех	339	16	9	0	2	15	5	12	22	28	6	22	92	4	1	103	2					
		1.66%	1.66%	0.80%	0.00%	0.18%	0.82%	0.52%	1.26%	2.15%	2.06%	0.44%	1.83%	9.73%	0.40%	0.04%	3.52%	0.86%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
