Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Красногвардейская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664					
1	"Число избирателей, внесенных в список"	30549	2669	1926	2577	820	1833	1860	2363	1284	1439	1634	1152	1089	2620	1178	1179	754	2410	1432	330					
2	Число полученных избирательных бюллетеней	31175	2724	1944	2576	869	1793	1838	2399	1344	1523	1684	1209	1076	2722	1190	1262	764	2410	1523	325					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17661	1515	1090	1483	306	1234	1047	1171	611	796	1026	791	636	1509	618	739	592	1381	898	218					
5	"Число избирательных бюллетеней, выданных вне помещения"	3268	277	194	239	257	183	241	258	152	153	170	136	172	231	100	103	58	218	104	22					
6	Число погашенных избирательных бюллетеней	10246	932	660	854	306	376	550	970	581	574	488	282	268	982	472	420	114	811	521	85					
7	Число избирательных бюллетеней в переносных ящиках	3268	277	194	239	257	183	241	258	152	153	170	136	172	231	100	103	58	218	104	22					
8	Число бюллетеней в стационарных ящиках для голосования	17661	1515	1090	1483	306	1234	1047	1171	611	796	1026	791	636	1509	618	739	592	1381	898	218					
9	Число недействительных избирательных бюллетеней	160	12	6	18	3	14	15	12	4	11	6	15	7	9	3	6	2	12	5	0					
10	Число действительных избирательных бюллетеней	20769	1780	1278	1704	560	1403	1273	1417	759	938	1190	912	801	1731	715	836	648	1587	997	240					
11	Число полученных открепительных  удостоверений	299	34	25	25	4	37	19	5	10	7	20	15	5	10	20	25	21	10	7	0					
12	Число выданных открепительных удостоверений	289	34	25	25	4	37	19	5	10	7	17	11	5	10	20	25	21	7	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	81	5	12	4	0	7	2	6	1	10	3	5	2	3	3	5	2	4	5	2					
14	Число неиспользованных открепительных удостоверений	10	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	3	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	578	45	32	47	13	40	40	47	15	27	38	16	29	50	17	24	15	40	36	7					
		2.76%	2.51%	2.49%	2.73%	2.31%	2.82%	3.11%	3.29%	1.97%	2.85%	3.18%	1.73%	3.59%	2.87%	2.37%	2.85%	2.31%	2.50%	3.59%	2.92%					
19	. Малышкин Олег Александрович	713	54	27	65	24	46	28	46	14	24	38	27	37	68	17	31	23	64	64	16					
		3.41%	3.01%	2.10%	3.77%	4.26%	3.25%	2.17%	3.22%	1.83%	2.53%	3.18%	2.91%	4.58%	3.91%	2.37%	3.68%	3.54%	4.00%	6.39%	6.67%					
20	. Миронов Сергей Михайлович	135	13	14	3	2	9	9	9	3	11	5	1	8	17	5	4	3	6	13	0					
		0.65%	0.73%	1.09%	0.17%	0.36%	0.64%	0.70%	0.63%	0.39%	1.16%	0.42%	0.11%	0.99%	0.98%	0.70%	0.48%	0.46%	0.38%	1.30%	0.00%					
21	. Путин Владимир Владимирович	12326	1159	847	941	329	820	822	916	549	556	704	628	345	923	442	411	406	968	414	146					
		58.89%	64.68%	65.97%	54.65%	58.44%	57.87%	63.82%	64.10%	71.95%	58.59%	58.86%	67.75%	42.70%	53.05%	61.56%	48.81%	62.46%	60.54%	41.32%	60.83%					
22	. Хакамада Ирина Муцуовна	350	24	34	23	7	29	29	16	9	16	19	10	27	27	7	14	13	19	22	5					
		1.67%	1.34%	2.65%	1.34%	1.24%	2.05%	2.25%	1.12%	1.18%	1.69%	1.59%	1.08%	3.34%	1.55%	0.97%	1.66%	2.00%	1.19%	2.20%	2.08%					
23	. Харитонов Николай Михайлович	5944	411	270	541	167	395	274	354	155	284	352	197	334	595	210	327	151	446	417	64					
		28.40%	22.94%	21.03%	31.42%	29.66%	27.88%	21.27%	24.77%	20.31%	29.93%	29.43%	21.25%	41.34%	34.20%	29.25%	38.84%	23.23%	27.89%	41.62%	26.67%					
																										
24	Против всех	723	74	54	84	18	64	71	29	14	20	34	33	21	51	17	25	37	44	31	2					
		3.45%	4.13%	4.21%	4.88%	3.20%	4.52%	5.51%	2.03%	1.83%	2.11%	2.84%	3.56%	2.60%	2.93%	2.37%	2.97%	5.69%	2.75%	3.09%	0.83%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
