Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Красноуральская городская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049					
1	"Число избирателей, внесенных в список"	24018	768	1137	797	1237	2281	2203	1750	1388	2060	2281	1135	1413	2031	2149	678	63	199	370	78					
2	Число полученных избирательных бюллетеней	21416	696	1035	715	1020	2050	1975	1590	1260	1860	2060	1020	1270	1660	1935	602	70	185	335	78					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14540	369	744	436	743	1580	1441	1124	881	1392	1550	564	606	1071	1300	338	22	111	233	35					
5	"Число избирательных бюллетеней, выданных вне помещения"	488	13	13	10	34	33	25	15	20	27	10	31	26	90	20	46	30	7	13	25					
6	Число погашенных избирательных бюллетеней	6388	314	278	269	243	437	509	451	359	441	500	425	638	499	615	218	18	67	89	18					
7	Число избирательных бюллетеней в переносных ящиках	488	13	13	10	34	33	25	15	20	27	10	31	26	90	20	46	30	7	13	25					
8	Число бюллетеней в стационарных ящиках для голосования	14537	369	744	436	743	1580	1441	1124	881	1392	1550	564	606	1071	1298	337	22	111	233	35					
9	Число недействительных избирательных бюллетеней	190	3	10	10	7	23	16	20	12	4	18	6	14	15	18	4	1	3	6	0					
10	Число действительных избирательных бюллетеней	14835	379	747	436	770	1590	1450	1119	889	1415	1542	589	618	1146	1300	379	51	115	240	60					
11	Число полученных открепительных  удостоверений	496	23	25	25	25	35	35	35	34	35	35	25	25	35	35	20	0	20	20	9					
12	Число выданных открепительных удостоверений	80	3	1	2	2	6	7	11	7	6	13	1	0	11	6	2	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	1	5	2	4	6	2	1	3	1	0	0	0	1	2	6	0	3	3	4					
14	Число неиспользованных открепительных удостоверений	416	20	24	23	23	29	28	24	27	29	22	24	25	24	29	18	0	18	20	9					
15	"Число открепительных удостоверений, выданных в ТИК"	4	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	541	25	29	14	19	46	57	28	37	75	66	20	7	32	59	12	1	4	9	1					
		3.60%	6.54%	3.83%	3.14%	2.45%	2.85%	3.89%	2.46%	4.11%	5.29%	4.23%	3.36%	1.11%	2.76%	4.48%	3.13%	1.92%	3.39%	3.66%	1.67%					
19	. Малышкин Олег Александрович	673	16	36	28	36	62	52	42	32	85	79	28	45	47	55	19	2	1	5	3					
		4.48%	4.19%	4.76%	6.28%	4.63%	3.84%	3.55%	3.69%	3.55%	5.99%	5.06%	4.71%	7.12%	4.05%	4.17%	4.96%	3.85%	0.85%	2.03%	5.00%					
20	. Миронов Сергей Михайлович	136	3	12	6	9	14	8	12	8	9	17	4	3	12	12	3	0	1	3	0					
		0.91%	0.79%	1.59%	1.35%	1.16%	0.87%	0.55%	1.05%	0.89%	0.63%	1.09%	0.67%	0.47%	1.03%	0.91%	0.78%	0.00%	0.85%	1.22%	0.00%					
21	. Путин Владимир Владимирович	10656	262	540	313	564	1181	1081	812	636	1000	1090	426	447	826	845	257	43	91	196	46					
		70.92%	68.59%	71.33%	70.18%	72.59%	73.22%	73.74%	71.29%	70.59%	70.47%	69.87%	71.60%	70.73%	71.15%	64.11%	67.10%	82.69%	77.12%	79.67%	76.67%					
22	. Хакамада Ирина Муцуовна	613	20	24	23	36	69	56	40	37	63	72	15	17	56	72	8	1	0	3	1					
		4.08%	5.24%	3.17%	5.16%	4.63%	4.28%	3.82%	3.51%	4.11%	4.44%	4.62%	2.52%	2.69%	4.82%	5.46%	2.09%	1.92%	0.00%	1.22%	1.67%					
23	. Харитонов Николай Михайлович	1587	41	77	34	72	160	139	131	94	122	146	70	81	117	195	61	2	16	20	9					
		10.56%	10.73%	10.17%	7.62%	9.27%	9.92%	9.48%	11.50%	10.43%	8.60%	9.36%	11.76%	12.82%	10.08%	14.80%	15.93%	3.85%	13.56%	8.13%	15.00%					
																										
24	Против всех	629	12	29	18	34	58	57	54	45	61	72	26	18	56	62	19	2	2	4	0					
		4.19%	3.14%	3.83%	4.04%	4.38%	3.60%	3.89%	4.74%	4.99%	4.30%	4.62%	4.37%	2.85%	4.82%	4.70%	4.96%	3.85%	1.69%	1.63%	0.00%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
