Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    район Щукино																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №2864	УИК №2865	УИК №2866	УИК №2867	УИК №2868	УИК №2869	УИК №2870	УИК №2871	УИК №2872	УИК №2873	УИК №2874	УИК №2875	УИК №2876	УИК №2877	УИК №2878	УИК №2879	УИК №2880	УИК №2881	УИК №2882	УИК №2883	УИК №2884	УИК №2885	УИК №2886	УИК №2887	УИК №2888	УИК №2889	УИК №2890	УИК №2891	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3219					
1	"Число избирателей, внесенных в список"	69438	2468	2453	2501	2609	2812	2466	2827	2265	2670	2191	2404	2231	2573	2145	2204	2641	2498	2247	2667	2887	2382	2225	1805	1489	1648	2534	2501	2247	696	741	404	100	251	380	114	40	122					
2	Число полученных избирательных бюллетеней	61150	2100	2100	2200	2300	2300	2300	2500	2000	2000	1900	1900	2000	2300	1900	2000	2400	2300	2000	2200	2300	1900	2000	1600	1300	1500	2200	2300	1900	750	800	500	300	300	400	100	100	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	38211	1316	1229	1228	1271	1554	1380	1699	1357	1811	1118	1324	1164	1346	1159	1225	1473	1404	1198	1405	1547	1272	1218	883	759	888	1294	1272	1065	422	648	349	100	251	339	95	40	108					
5	"Число избирательных бюллетеней, выданных вне помещения"	1060	36	32	45	16	26	41	36	28	25	23	29	25	42	31	28	44	37	29	33	14	16	38	34	22	10	44	37	46	193	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	21879	748	839	927	1013	720	879	765	615	164	759	547	811	912	710	747	883	859	773	762	739	612	744	683	519	602	862	991	789	135	152	151	200	49	61	5	60	92					
7	Число избирательных бюллетеней в переносных ящиках	1060	36	32	45	16	26	41	36	28	25	23	29	25	42	31	28	44	37	29	33	14	16	38	34	22	10	44	37	46	193	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	37992	1316	1212	1228	1271	1554	1380	1652	1350	1811	1118	1318	1153	1297	1157	1222	1469	1400	1196	1384	1538	1263	1218	873	758	885	1294	1266	1059	420	648	349	100	251	339	95	40	108					
9	Число недействительных избирательных бюллетеней	348	2	9	71	13	15	19	12	8	8	6	5	17	14	8	10	6	9	11	14	13	6	8	6	4	10	15	8	6	8	2	1	1	2	0	0	1	0					
10	Число действительных избирательных бюллетеней	38704	1350	1235	1202	1274	1565	1402	1676	1370	1828	1135	1342	1161	1325	1180	1240	1507	1428	1214	1403	1539	1273	1248	901	776	885	1323	1295	1099	605	646	348	99	249	339	95	39	108					
11	Число полученных открепительных  удостоверений	1590	50	50	50	50	50	50	100	120	90	80	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	1016	36	24	34	44	45	33	72	104	61	48	29	29	26	38	27	23	38	35	22	33	36	31	17	16	36	37	25	17	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1168	19	32	28	25	27	29	12	59	51	22	12	21	24	14	17	21	22	16	23	16	20	13	11	21	17	11	12	36	47	27	45	13	51	339	8	5	2					
14	Число неиспользованных открепительных удостоверений	574	14	26	16	6	5	17	28	16	29	32	21	21	24	12	23	27	12	15	28	17	14	19	33	34	14	13	25	33	0	0	0	0	0	0	0	0	0					
