Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Район Коньково																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №3164					
1	"Число избирателей, внесенных в список"	102922	2829	2799	2807	2363	2618	2550	2791	2711	2407	2373	2293	2281	2534	2626	2526	2073	2037	1978	2743	2804	2732	2863	2844	2909	2941	2748	2948	2946	2836	2867	2851	2613	2658	2659	2527	2610	2546	2833	2769	79					
2	Число полученных избирательных бюллетеней	97500	2700	2600	2700	2200	2500	2400	2600	2600	2300	2200	2200	2100	2400	2500	2400	2000	1900	2000	2600	2700	2600	2700	2700	2800	2800	2700	2800	2700	2700	2700	2500	2400	2500	2600	2400	2500	2400	2700	2600	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	55883	1845	1617	1579	1289	1414	1409	1539	1280	1384	1304	1197	1687	1391	1456	1366	1088	925	1093	1348	1490	1522	1329	1483	1554	1640	1596	1613	1537	1534	1649	1400	1384	1393	1375	1329	1351	1452	1501	1493	47					
5	"Число избирательных бюллетеней, выданных вне помещения"	1432	2	52	41	30	19	37	47	95	24	30	22	25	44	33	53	29	39	72	36	57	30	44	10	29	63	27	19	24	17	21	6	47	36	35	46	42	40	43	48	18					
6	Число погашенных избирательных бюллетеней	40185	853	931	1080	881	1067	954	1014	1225	892	866	981	388	965	1011	981	883	936	835	1216	1153	1048	1327	1207	1217	1097	1077	1168	1139	1149	1030	1094	969	1071	1190	1025	1107	908	1156	1059	35					
7	Число избирательных бюллетеней в переносных ящиках	1432	2	52	41	30	19	37	47	95	24	30	22	25	44	33	53	29	39	72	36	57	30	44	10	29	63	27	19	24	17	21	6	47	36	35	46	42	40	43	48	18					
8	Число бюллетеней в стационарных ящиках для голосования	55559	1845	1611	1578	1280	1395	1409	1539	1280	1384	1303	1194	1687	1391	1440	1366	1088	919	1091	1331	1489	1512	1322	1475	1525	1640	1569	1590	1537	1529	1642	1400	1368	1387	1372	1324	1346	1403	1458	1493	47					
9	Число недействительных избирательных бюллетеней	480	11	15	16	6	9	4	5	15	0	8	9	14	8	11	10	9	6	16	3	6	12	10	8	12	62	100	3	14	3	12	5	9	7	3	4	10	10	8	7	0					
10	Число действительных избирательных бюллетеней	56511	1836	1648	1603	1304	1405	1442	1581	1360	1408	1325	1207	1698	1427	1462	1409	1108	952	1147	1364	1540	1530	1356	1477	1542	1641	1496	1606	1547	1543	1651	1401	1406	1416	1404	1366	1378	1433	1493	1534	65					
11	Число полученных открепительных  удостоверений	2800	150	75	75	75	60	75	75	200	50	60	50	150	60	50	60	75	50	75	50	75	50	50	50	75	50	75	75	50	50	50	150	50	50	75	50	60	75	50	75	0					
12	Число выданных открепительных удостоверений	1773	90	47	49	32	42	30	35	167	41	32	43	150	36	24	37	38	27	54	29	43	33	36	33	37	48	38	36	22	30	46	98	25	30	36	26	35	37	47	34	0					
