Выборы Президента Российской Федерации																																																																				
																																																																				
Наименование Избирательной комиссии:    Сармановская																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2581	УИК №2582	УИК №2583	УИК №2584	УИК №2585	УИК №2586	УИК №2587	УИК №2588	УИК №2589	УИК №2590	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №2595	УИК №2596	УИК №2597	УИК №2598					
1	"Число избирателей, внесенных в список"	27155	342	213	132	386	243	112	337	328	88	202	490	250	214	158	210	107	228	270	381	402	116	72	256	137	463	171	286	798	166	122	316	133	471	199	197	161	223	318	80	156	477	347	289	297	554	717	679	645	854	696	520	179	181	1194	1594	1403	1170	1297	1334	1351	1443					
2	Число полученных избирательных бюллетеней	27441	353	213	134	386	243	113	347	333	89	203	494	250	218	166	210	108	230	272	386	402	118	75	257	138	465	172	289	815	168	124	319	133	471	201	201	163	225	327	82	158	481	351	292	295	555	733	679	653	867	692	525	182	183	1203	1602	1487	1182	1303	1344	1365	1416					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25821	313	200	120	381	215	112	327	302	81	180	485	239	203	147	191	97	209	267	368	374	111	72	223	137	424	166	249	776	165	110	277	124	451	172	188	153	220	306	74	143	449	344	282	279	544	687	665	606	807	653	500	179	174	1109	1497	1393	1112	1206	1276	1332	1375					
5	"Число избирательных бюллетеней, выданных вне помещения"	858	29	13	12	5	28	0	10	26	7	22	5	11	11	11	19	10	15	3	13	28	5	0	33	0	39	5	37	22	1	12	39	9	20	27	9	8	3	12	6	13	25	3	7	15	3	13	14	23	21	24	20	0	6	11	15	10	16	15	15	19	5					
6	Число погашенных избирательных бюллетеней	762	11	0	2	0	0	1	10	5	1	1	4	0	4	8	0	1	6	2	5	0	2	3	1	1	2	1	3	17	2	2	3	0	0	2	4	2	2	9	2	2	7	4	3	1	8	33	0	24	39	15	5	3	3	83	90	84	54	82	53	14	36					
7	Число избирательных бюллетеней в переносных ящиках	858	29	13	12	5	28	0	10	26	7	22	5	11	11	11	19	10	15	3	13	28	5	0	33	0	39	5	37	22	1	12	39	9	20	27	9	8	3	12	6	13	25	3	7	15	3	13	14	23	21	24	20	0	6	11	15	10	16	15	15	19	5					
8	Число бюллетеней в стационарных ящиках для голосования	25821	313	200	120	381	215	112	327	302	81	180	485	239	203	147	191	97	209	267	368	374	111	72	223	137	424	166	249	776	165	110	277	124	451	172	188	153	220	306	74	143	449	344	282	279	544	687	665	606	807	653	500	179	174	1109	1497	1393	1112	1206	1276	1332	1375					
9	Число недействительных избирательных бюллетеней	73	0	0	0	0	0	5	0	0	0	0	0	0	0	3	5	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	4	14	2	10	0	7	9	3					
10	Число действительных избирательных бюллетеней	26606	342	213	132	386	243	107	337	328	88	202	490	250	214	155	205	104	222	270	380	402	116	72	256	137	463	171	286	798	166	122	316	133	471	199	197	161	223	318	80	155	474	347	289	294	546	699	679	629	828	675	520	179	180	1116	1498	1401	1118	1221	1284	1342	1377					
