Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Орджоникидзевская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284					
1	"Число избирателей, внесенных в список"	10608	1492	1570	342	558	183	152	880	148	205	111	280	831	154	87	192	174	918	161	287	826	554	503					
2	Число полученных избирательных бюллетеней	10613	1446	1575	331	558	186	152	884	162	207	111	275	835	157	90	196	181	922	162	291	826	559	507					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5788	733	837	168	305	132	83	479	100	128	53	166	435	106	70	131	111	514	104	163	386	264	320					
5	"Число избирательных бюллетеней, выданных вне помещения"	682	87	64	48	19	10	9	61	5	8	17	34	36	7	3	15	4	52	8	8	107	80	0					
6	Число погашенных избирательных бюллетеней	4143	626	674	115	234	44	60	344	57	71	41	75	364	44	17	50	66	356	50	120	333	215	187					
7	Число избирательных бюллетеней в переносных ящиках	682	87	64	48	19	10	9	61	5	8	17	34	36	7	3	15	4	52	8	8	107	80	0					
8	Число бюллетеней в стационарных ящиках для голосования	5787	733	836	168	305	132	83	479	100	128	53	166	435	106	70	131	111	514	104	163	386	264	320					
9	Число недействительных избирательных бюллетеней	64	11	14	0	1	0	1	4	2	0	0	3	7	0	1	0	0	4	1	5	6	2	2					
10	Число действительных избирательных бюллетеней	6405	809	886	216	323	142	91	536	103	136	70	197	464	113	72	146	115	562	111	166	487	342	318					
11	Число полученных открепительных  удостоверений	245	25	25	25	15	5	5	15	5	5	5	10	15	5	5	5	5	15	5	5	15	15	15					
12	Число выданных открепительных удостоверений	68	5	10	9	3	0	0	5	3	0	0	0	6	2	0	0	0	11	0	0	2	6	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	38	4	6	4	2	0	0	4	0	0	0	3	3	1	0	0	1	3	0	0	1	4	2					
14	Число неиспользованных открепительных удостоверений	177	20	15	16	12	5	5	10	2	5	5	10	9	3	5	5	5	4	5	5	13	9	9					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	169	30	20	6	9	0	0	9	2	2	1	4	21	3	6	3	0	13	2	3	8	16	11					
		2.61%	3.66%	2.22%	2.78%	2.78%	0.00%	0.00%	1.67%	1.90%	1.47%	1.43%	2.00%	4.46%	2.65%	8.22%	2.05%	0.00%	2.30%	1.79%	1.75%	1.62%	4.65%	3.44%					
19	. Малышкин Олег Александрович	209	37	35	5	9	6	5	12	0	3	1	6	8	6	2	3	2	25	5	3	9	10	17					
		3.23%	4.51%	3.89%	2.31%	2.78%	4.23%	5.43%	2.22%	0.00%	2.21%	1.43%	3.00%	1.70%	5.31%	2.74%	2.05%	1.74%	4.42%	4.46%	1.75%	1.83%	2.91%	5.31%					
20	. Миронов Сергей Михайлович	45	5	6	1	1	3	1	4	0	0	0	3	3	2	0	1	0	4	0	2	2	5	2					
		0.70%	0.61%	0.67%	0.46%	0.31%	2.11%	1.09%	0.74%	0.00%	0.00%	0.00%	1.50%	0.64%	1.77%	0.00%	0.68%	0.00%	0.71%	0.00%	1.17%	0.41%	1.45%	0.62%					
21	. Путин Владимир Владимирович	4610	577	580	160	214	121	71	380	91	109	53	131	332	82	51	126	101	386	87	117	362	228	251					
		71.26%	70.37%	64.44%	74.07%	66.05%	85.21%	77.17%	70.37%	86.67%	80.15%	75.71%	65.50%	70.49%	72.57%	69.86%	86.30%	87.83%	68.20%	77.68%	68.42%	73.43%	66.28%	78.44%					
22	. Хакамада Ирина Муцуовна	84	12	12	0	1	2	6	6	2	2	2	1	11	0	0	0	1	10	1	0	7	6	2					
		1.30%	1.46%	1.33%	0.00%	0.31%	1.41%	6.52%	1.11%	1.90%	1.47%	2.86%	0.50%	2.34%	0.00%	0.00%	0.00%	0.87%	1.77%	0.89%	0.00%	1.42%	1.74%	0.62%					
23	. Харитонов Николай Михайлович	1191	133	213	40	86	10	5	116	5	17	13	47	86	19	12	13	11	119	16	39	96	65	30					
		18.41%	16.22%	23.67%	18.52%	26.54%	7.04%	5.43%	21.48%	4.76%	12.50%	18.57%	23.50%	18.26%	16.81%	16.44%	8.90%	9.57%	21.02%	14.29%	22.81%	19.47%	18.90%	9.38%					
																													
24	Против всех	97	15	20	4	3	0	3	9	3	3	0	5	3	1	1	0	0	5	0	2	3	12	5					
		1.50%	1.83%	2.22%	1.85%	0.93%	0.00%	3.26%	1.67%	2.86%	2.21%	0.00%	2.50%	0.64%	0.88%	1.37%	0.00%	0.00%	0.88%	0.00%	1.17%	0.61%	3.49%	1.56%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
