Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Сосновоборская городская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	590	18	33	31	24	10	21	29	19	11	9	31	11	19	25	20	32	24	27	29	35	53	25	36	18									
		2.21%	1.48%	2.58%	2.51%	2.08%	1.73%	2.33%	2.68%	1.76%	1.39%	1.57%	2.40%	1.49%	1.61%	2.18%	1.54%	2.39%	2.03%	1.97%	2.18%	2.49%	3.61%	1.80%	3.25%	3.22%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	532	28	22	20	17	7	19	27	22	12	18	28	6	31	38	21	24	25	33	23	29	20	26	24	12									
		1.99%	2.30%	1.72%	1.62%	1.47%	1.21%	2.11%	2.49%	2.04%	1.52%	3.14%	2.17%	0.81%	2.62%	3.31%	1.62%	1.80%	2.12%	2.40%	1.73%	2.06%	1.36%	1.87%	2.17%	2.15%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	634	15	39	21	36	8	16	21	27	18	14	38	9	29	20	31	52	32	19	39	28	38	43	31	10									
		2.37%	1.23%	3.05%	1.70%	3.12%	1.39%	1.78%	1.94%	2.50%	2.28%	2.44%	2.94%	1.22%	2.45%	1.74%	2.39%	3.89%	2.71%	1.38%	2.93%	1.99%	2.59%	3.09%	2.80%	1.79%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11200	655	531	507	469	244	375	437	481	320	223	539	417	461	475	549	514	472	650	535	554	568	560	417	247									
		41.94%	53.73%	41.52%	41.09%	40.68%	42.29%	41.62%	40.35%	44.50%	40.56%	38.85%	41.75%	56.58%	38.97%	41.34%	42.30%	38.44%	39.97%	47.34%	40.20%	39.37%	38.69%	40.23%	37.67%	44.19%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	267	19	2	16	16	4	6	5	8	4	6	9	11	13	9	14	13	13	12	19	21	15	14	13	5									
		0.99%	1.56%	0.16%	1.30%	1.39%	0.69%	0.67%	0.46%	0.74%	0.51%	1.05%	0.70%	1.49%	1.10%	0.78%	1.08%	0.97%	1.10%	0.87%	1.43%	1.49%	1.02%	1.01%	1.17%	0.89%									
24	"6. Политическая партия ""Гражданская Платформа"""	62	4	2	1	5	1	1	3	2	1	0	3	3	1	3	3	2	3	6	2	2	6	4	3	1									
		0.23%	0.33%	0.16%	0.08%	0.43%	0.17%	0.11%	0.28%	0.19%	0.13%	0.00%	0.23%	0.41%	0.08%	0.26%	0.23%	0.15%	0.25%	0.44%	0.15%	0.14%	0.41%	0.29%	0.27%	0.18%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3445	205	156	150	133	79	143	144	116	92	59	152	118	165	142	187	172	175	148	163	173	172	193	135	73									
		12.90%	16.82%	12.20%	12.16%	11.54%	13.69%	15.87%	13.30%	10.73%	11.66%	10.28%	11.77%	16.01%	13.95%	12.36%	14.41%	12.86%	14.82%	10.78%	12.25%	12.30%	11.72%	13.86%	12.20%	13.06%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	261	6	14	6	16	10	8	7	11	5	4	13	7	10	16	10	18	10	18	13	17	13	14	13	2									
		0.98%	0.49%	1.09%	0.49%	1.39%	1.73%	0.89%	0.65%	1.02%	0.63%	0.70%	1.01%	0.95%	0.85%	1.39%	0.77%	1.35%	0.85%	1.31%	0.98%	1.21%	0.89%	1.01%	1.17%	0.36%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	782	13	48	39	39	15	15	28	23	20	29	30	5	26	16	40	49	33	52	44	54	73	34	47	10									
		2.93%	1.07%	3.75%	3.16%	3.38%	2.60%	1.66%	2.59%	2.13%	2.53%	5.05%	2.32%	0.68%	2.20%	1.39%	3.08%	3.66%	2.79%	3.79%	3.31%	3.84%	4.97%	2.44%	4.25%	1.79%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	46	6	8	3	2	1	1	3	2	1	1	0	0	2	0	2	4	0	0	4	1	1	2	1	1									
		0.17%	0.49%	0.63%	0.24%	0.17%	0.17%	0.11%	0.28%	0.19%	0.13%	0.17%	0.00%	0.00%	0.17%	0.00%	0.15%	0.30%	0.00%	0.00%	0.30%	0.07%	0.07%	0.14%	0.09%	0.18%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	936	32	45	38	36	17	24	34	41	32	16	39	21	41	48	48	66	41	39	52	53	54	48	47	24									
